motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP2	7	22	3.434305682048409	0.00019998000199980003	chr9	21994352.0	21994466.0	antisense	0.07784221577842215	1.1087848103727236	0.1
SP3	11	22	2.5737824483449456	0.0016998300169983002	chr9	21994352.0	21994466.0	antisense	0.11027647235276472	0.9575171350420745	0.1
SP1	11	22	2.5464321924969626	0.0007999200079992001	chr9	21994352.0	21994466.0	antisense	0.07784221577842215	1.1087848103727236	0.1
EGR1	8	22	2.52764530389384	0.0065993400659934	chr9	21994352.0	21994466.0	antisense	0.2854214578542146	0.5445133799341609	0.1
SP8	10	22	2.37886706756539	0.0008999100089991	chr9	21994352.0	21994466.0	antisense	0.07784221577842215	1.1087848103727236	0.1
KLF16	11	22	2.337948250928133	0.0008999100089991	chr9	21994352.0	21994466.0	antisense	0.07784221577842215	1.1087848103727236	0.1
SP4	8	25	2.239780631159599	0.0004999500049995	chr9	21994352.0	21994466.0	antisense	0.07784221577842215	1.1087848103727236	0.1
Zfx	11	25	2.165844681086168	0.0005999400059994001	chr9	21994352.0	21994466.0	sense	0.07784221577842215	1.1087848103727236	0.1
KLF14	9	23	2.1283319582815605	0.0011998800119988001	chr9	21994352.0	21994466.0	antisense	0.08896253231819676	1.0507928633950367	0.1
ZNF263	8	29	2.0807470713053653	0.0994900509949005	chr9	21994352.0	21994466.0	sense	0.4694121496941215	0.3284456738409044	0.1
KLF5	12	22	2.059966567700117	0.0021997800219978004	chr9	21994352.0	21994466.0	antisense	0.12685398126853983	0.8966958980455233	0.1
Hes1	17	27	2.0289390772622715	0.0216978302169783	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
Gmeb1	9	26	1.984373737630678	0.036396360363963605	chr9	21994352.0	21994466.0	sense	0.38666721563137807	0.41266264890953097	0.1
THAP1	10	19	1.9214352496169438	0.009499050094990502	chr9	21994352.0	21994466.0	antisense	0.32866713328667135	0.48324372319523823	0.1
Tcfl5	17	27	1.707238398742377	0.029597040295970403	chr9	21994352.0	21994466.0	sense	0.38666721563137807	0.41266264890953097	0.1
RREB1	9	29	1.7066951499129681	0.0451954804519548	chr9	21994352.0	21994466.0	antisense	0.4258953415003327	0.37069711027084895	0.1
PAX5	8	27	1.6698905158988884	0.025797420257974202	chr9	21994352.0	21994466.0	sense	0.382538888968246	0.4173244078154503	0.1
ZIC4	15	30	1.6304737134142846	0.031196880311968805	chr9	21994352.0	21994466.0	antisense	0.38666721563137807	0.41266264890953097	0.1
Pparg::Rxra	15	30	1.5954152671019786	0.0337966203379662	chr9	21994352.0	21994466.0	sense	0.38666721563137807	0.41266264890953097	0.1
Klf4	12	22	1.585351557919746	0.015998400159984	chr9	21994352.0	21994466.0	sense	0.3766558827988169	0.424055245151315	0.1
ZNF740	9	19	1.5761216143134205	0.050994900509949	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
ZIC3	15	30	1.5363050072063937	0.0221977802219778	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
MZF1(var.2)	8	18	1.5278043096298015	0.046995300469953004	chr9	21994352.0	21994466.0	sense	0.4258953415003327	0.37069711027084895	0.1
Hes2	13	26	1.4344522843798426	0.0542945705429457	chr9	21994352.0	21994466.0	sense	0.4293612743988759	0.3671771286778447	0.1
EGR2	19	30	1.3946232433768282	0.008799120087991202	chr9	21994352.0	21994466.0	antisense	0.32866713328667135	0.48324372319523823	0.1
ZBTB7C	19	31	1.3823660147535826	0.05959404059594041	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
HINFP	9	21	1.3681662549490112	0.011398860113988602	chr9	21994352.0	21994466.0	antisense	0.3603806286038063	0.44323856152365443	0.1
Rhox11	10	27	1.3582688457257317	0.05829417058294171	chr9	21994352.0	21994466.0	sense	0.4293612743988759	0.3671771286778447	0.1
REL	12	22	1.313259513766563	0.0047995200479952005	chr9	21994352.0	21994466.0	sense	0.22645008226450083	0.6450275172110426	0.1
TFAP2A	19	30	1.2287331379304312	0.030796920307969204	chr9	21994352.0	21994466.0	antisense	0.38666721563137807	0.41266264890953097	0.1
Nr1h3::Rxra	11	30	1.216419590586666	0.08969103089691031	chr9	21994352.0	21994466.0	antisense	0.444043331515905	0.3525746476330798	0.1
MNT	17	27	1.1825965774614513	0.008899110088991101	chr9	21994352.0	21994466.0	antisense	0.32866713328667135	0.48324372319523823	0.1
ZIC1	7	21	1.1727131288891997	0.0235976402359764	chr9	21994352.0	21994466.0	antisense	0.382538888968246	0.4173244078154503	0.1
TFAP2C(var.2)	19	30	1.139273431816348	0.022497750224977502	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
ZBTB7A	8	20	1.1376628450079116	0.06179382061793821	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
ZBTB7B	19	31	1.1362669046925309	0.0451954804519548	chr9	21994352.0	21994466.0	antisense	0.4258953415003327	0.37069711027084895	0.1
Ddit3::Cebpa	14	26	1.1327173404684823	0.0183981601839816	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
GLIS2	16	30	1.129151285734357	0.0638936106389361	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
EGR4	10	26	1.1242757254814637	0.15028497150284972	chr9	21994352.0	21994466.0	antisense	0.5598014666618445	0.2519659680307863	0.1
NFYA	12	30	1.1177500310231667	0.047595240475952406	chr9	21994352.0	21994466.0	sense	0.4258953415003327	0.37069711027084895	0.1
Klf1	12	23	1.1043084541976051	0.07529247075292471	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
PLAG1	12	26	1.1039830630831393	0.09069093090690931	chr9	21994352.0	21994466.0	sense	0.444043331515905	0.3525746476330798	0.1
Ahr::Arnt	19	25	1.1004649956818024	0.0031996800319968005	chr9	21994352.0	21994466.0	sense	0.16606339366063397	0.7797260911084988	0.1
Rfx1	17	31	1.0961880418215966	0.0124987501249875	chr9	21994352.0	21994466.0	antisense	0.3603806286038063	0.44323856152365443	0.1
TFAP2A(var.2)	17	29	1.0959985485534398	0.13308669133086692	chr9	21994352.0	21994466.0	antisense	0.548089037250121	0.26114888449848656	0.1
Mitf	16	26	1.0956657827792065	0.0903909609039096	chr9	21994352.0	21994466.0	sense	0.444043331515905	0.3525746476330798	0.1
TFAP2B(var.2)	19	30	1.093809363583222	0.0197980201979802	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
NR2C2	15	30	1.0933718692205805	0.0775922407759224	chr9	21994352.0	21994466.0	sense	0.4293612743988759	0.3671771286778447	0.1
HIC2	10	19	1.0899658123590046	0.0785921407859214	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
Pax2	20	28	1.072204795466414	0.0491950804919508	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
Myod1	10	23	1.0637352169427778	0.0336966303369663	chr9	21994352.0	21994466.0	antisense	0.38666721563137807	0.41266264890953097	0.1
CENPB	12	27	1.0632526264246258	0.1070892910708929	chr9	21994352.0	21994466.0	antisense	0.49414881520697485	0.3061422415814542	0.1
RARA::RXRA	12	29	1.0369769337261847	0.1327867213278672	chr9	21994352.0	21994466.0	sense	0.548089037250121	0.26114888449848656	0.1
Klf12	13	28	1.033410605739265	0.06869313068693131	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
NFKB2	11	24	1.0185271389118074	0.014998500149985002	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
HEY1	17	27	1.0132542404425526	0.0193980601939806	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
TFAP2C	18	30	1.0091137452579557	0.15878412158784122	chr9	21994352.0	21994466.0	antisense	0.5704850204634709	0.24375575460328613	0.1
MAX	17	27	1.0057993618740815	0.0170982901709829	chr9	21994352.0	21994466.0	antisense	0.3766558827988169	0.424055245151315	0.1
RARA(var.2)	13	30	0.9888818405424102	0.012198780121987801	chr9	21994352.0	21994466.0	sense	0.3603806286038063	0.44323856152365443	0.1
ARNT::HIF1A	18	26	0.9760727569176773	0.0244975502449755	chr9	21994352.0	21994466.0	sense	0.382538888968246	0.4173244078154503	0.1
ESR2	10	25	0.9578564710691521	0.10988901109889011	chr9	21994352.0	21994466.0	antisense	0.4943428070986005	0.3059717806341938	0.1
JUN(var.2)	10	24	0.941859073181004	0.0690930906909309	chr9	21994352.0	21994466.0	sense	0.4293612743988759	0.3671771286778447	0.1
Nr5a2	15	30	0.9387905643671618	0.0694930506949305	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
PPARG	8	28	0.938001163517619	0.05299470052994701	chr9	21994352.0	21994466.0	sense	0.4293612743988759	0.3671771286778447	0.1
LBX2	17	27	0.9324838573510682	0.21077892210778923	chr9	21994352.0	21994466.0	antisense	0.6473033170055775	0.18889216750156937	0.1
MZF1	10	16	0.9294179911679143	0.0678932106789321	chr9	21994352.0	21994466.0	sense	0.4293612743988759	0.3671771286778447	0.1
KLF13	11	29	0.9285399643213996	0.07579242075792421	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
EGR3	11	26	0.9239952188921604	0.14508549145085492	chr9	21994352.0	21994466.0	antisense	0.5534183807896582	0.2569464206505148	0.1
TFE3	17	27	0.9235448444626126	0.0750924907509249	chr9	21994352.0	21994466.0	antisense	0.4293612743988759	0.3671771286778447	0.1
Stat6	16	31	0.9225330619097956	0.10258974102589741	chr9	21994352.0	21994466.0	sense	0.47967635668865544	0.3190516874392648	0.1
TFAP2B	18	30	0.9208007472568098	0.18908109189081093	chr9	21994352.0	21994466.0	antisense	0.6290582480213517	0.2013091389378267	0.1
MYBL2	14	29	0.9206520312109732	0.0292970702929707	chr9	21994352.0	21994466.0	antisense	0.38666721563137807	0.41266264890953097	0.1
Znf423	16	31	0.917290775822086	0.0377962203779622	chr9	21994352.0	21994466.0	antisense	0.38666721563137807	0.41266264890953097	0.1
Npas2	17	27	0.9138632583230628	0.0254974502549745	chr9	21994352.0	21994466.0	sense	0.382538888968246	0.4173244078154503	0.1
