motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	37	54	1.0046033679423518	0.008099190080991902	chr3	169482812.0	169482926.0	antisense	0.3045295470452955	0.5163705634705518	0.1
HLTF	40	50	0.9946091675662645	0.00029997000299970003	chr3	169482812.0	169482926.0	antisense	0.056394360563943605	1.2487643232935204	0.1
TBP	38	53	0.8137258586050747	0.006199380061993801	chr3	169482812.0	169482926.0	sense	0.2913708629137086	0.5355538798428914	0.1
NRL	42	53	0.7517450654486932	0.013098690130986902	chr3	169482812.0	169482926.0	antisense	0.31330200313302004	0.5040368283968264	0.1
Nkx3-1	42	51	0.6337244791495964	0.0026997300269973002	chr3	169482812.0	169482926.0	antisense	0.24437556244375566	0.6119422257063459	0.1
MIXL1	38	48	0.6255964638042391	0.033096690330966905	chr3	169482812.0	169482926.0	antisense	0.3536831502034981	0.4513856298882509	0.1
LBX2	38	48	0.6250130018951099	0.0453954604539546	chr3	169482812.0	169482926.0	sense	0.3536831502034981	0.4513856298882509	0.1
Foxj3	37	54	0.5803664442209798	0.014998500149985002	chr3	169482812.0	169482926.0	sense	0.31330200313302004	0.5040368283968264	0.1
Gata4	37	48	0.5703879988551221	0.0038996100389961006	chr3	169482812.0	169482926.0	antisense	0.24437556244375566	0.6119422257063459	0.1
GATA2	38	52	0.5553474668151135	0.014598540145985401	chr3	169482812.0	169482926.0	antisense	0.31330200313302004	0.5040368283968264	0.1
MAFK	38	53	0.5463167918363061	0.026597340265973404	chr3	169482812.0	169482926.0	sense	0.3536831502034981	0.4513856298882509	0.1
MNX1	38	48	0.5439447404572787	0.026597340265973404	chr3	169482812.0	169482926.0	antisense	0.3536831502034981	0.4513856298882509	0.1
NFYA	35	53	0.5423279049485088	0.022797720227977204	chr3	169482812.0	169482926.0	antisense	0.3536831502034981	0.4513856298882509	0.1
HLF	36	48	0.5380574256125329	0.019698030196980302	chr3	169482812.0	169482926.0	sense	0.3486196834861969	0.457648095745509	0.1
