motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	33	48	2.393812127756683	0.0006999300069993001	chr1	173837092.0	173837206.0	antisense	0.12388761123887612	0.9069721209007992	0.15
Arid5a	39	53	1.7445640408134575	0.0093990600939906	chr1	173837092.0	173837206.0	sense	0.3333166683331667	0.47714296781527993	0.15
ALX3	38	48	1.6170599733970803	0.013498650134986502	chr1	173837092.0	173837206.0	sense	0.3413230105560872	0.4668344324343068	0.15
HLTF	36	46	1.579678696557277	0.005699430056994301	chr1	173837092.0	173837206.0	sense	0.3333166683331667	0.47714296781527993	0.15
POU2F1	35	47	1.3244549697785453	0.0112988701129887	chr1	173837092.0	173837206.0	antisense	0.3333166683331667	0.47714296781527993	0.15
MEF2C	38	53	1.3161561906904131	0.0187981201879812	chr1	173837092.0	173837206.0	antisense	0.41590840915908406	0.3810022986433198	0.15
HOXB2	38	48	1.3030092886627629	0.048995100489951	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
FOXH1	38	49	1.3000530782525597	0.0026997300269973002	chr1	173837092.0	173837206.0	sense	0.23892610738926107	0.62173639242005	0.15
Hmx3	32	49	1.271968126791047	0.048795120487951205	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
Foxj3	33	50	1.2594513885982588	0.05349465053494651	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
Foxk1	33	50	1.2394284156941147	0.03519648035196481	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
CENPB	37	52	1.2352051760202851	0.027797220277972202	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
HOXB3	38	48	1.2310734187325245	0.053594640535946404	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
GATA2	34	48	1.175785118524306	0.026497350264973504	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
Gata1	37	48	1.1413113639605024	0.010798920107989201	chr1	173837092.0	173837206.0	sense	0.3333166683331667	0.47714296781527993	0.15
FOXP1	37	52	1.0923192460723534	0.058994100589941006	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
Arid3b	37	48	1.0741082787748948	0.0547945205479452	chr1	173837092.0	173837206.0	sense	0.4764363563643636	0.32199510536311676	0.15
LEF1	33	48	0.9572904695529925	0.034996500349965	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
POU4F1	36	50	0.9532223343146553	0.11148885111488852	chr1	173837092.0	173837206.0	antisense	0.6166727077292271	0.20994527185078252	0.15
Gmeb1	33	50	0.9498097120697852	0.6074392560743925	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
Hoxc9	39	52	0.94583464386899	0.06459354064593541	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
HSF4	35	48	0.8607194378542676	0.0988901109889011	chr1	173837092.0	173837206.0	sense	0.5970202979702031	0.2240109031309381	0.15
NR3C1	33	50	0.8590384741139073	0.048595140485951406	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
Gfi1b	35	46	0.8456340568983852	0.050794920507949204	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
Dmbx1	33	50	0.8372345796398913	0.25777422257774224	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
Mecom	33	47	0.8237386251281079	0.06729327067293271	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
Bcl6	38	52	0.8182361274384502	0.15278472152784722	chr1	173837092.0	173837206.0	sense	0.676072392760724	0.17000679800334728	0.15
Tcf7	36	48	0.8161020582696655	0.042995700429957005	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
NFATC1	36	46	0.8150632387667077	0.22977702229777022	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
TEF	38	50	0.8019742761765293	0.06629337066293371	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
NFATC3	36	46	0.7998099594238036	0.20217978202179782	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
Nr2f6	33	47	0.7965051391251068	0.06329367063293671	chr1	173837092.0	173837206.0	antisense	0.4764363563643636	0.32199510536311676	0.15
IRF1	32	53	0.7632566571194849	0.1344865513448655	chr1	173837092.0	173837206.0	sense	0.6653577885454699	0.17694475499000453	0.15
TBX19	32	52	0.7621549618366766	0.1772822717728227	chr1	173837092.0	173837206.0	sense	0.7471181453283243	0.1266107157120387	0.15
Hes1	33	43	0.7585029006005833	0.6907309269073093	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
GRHL1	32	44	0.742140242237852	0.11138886111388861	chr1	173837092.0	173837206.0	antisense	0.6166727077292271	0.20994527185078252	0.15
ETV4	41	51	0.7286809539467323	0.15898410158984103	chr1	173837092.0	173837206.0	antisense	0.6863459995463869	0.16345689331434002	0.15
ETV1	41	51	0.6992888112339213	0.19168083191680832	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
NFYA	33	51	0.6789903362309175	0.26977302269773024	chr1	173837092.0	173837206.0	sense	0.7579337304364802	0.12036876503275229	0.15
JUN	32	45	0.6729718578175251	0.15108489151084892	chr1	173837092.0	173837206.0	antisense	0.676072392760724	0.17000679800334728	0.15
JUN(var.2)	35	49	0.6712773601876307	0.255974402559744	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
HIC2	42	51	0.6678207495463375	0.28987101289871015	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
ZNF143	34	50	0.6616437466279006	0.08089191080891911	chr1	173837092.0	173837206.0	sense	0.5506872389684109	0.25909498727360164	0.15
LIN54	35	44	0.65341289270157	0.11728827117288271	chr1	173837092.0	173837206.0	antisense	0.6290916362909164	0.2012860886774143	0.15
MAFK	33	48	0.6509947774287766	0.36826317368263173	chr1	173837092.0	173837206.0	antisense	0.7776686617052581	0.10920540178128053	0.15
TEAD4	37	47	0.6467619793672208	0.2836716328367163	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
JUND(var.2)	35	50	0.6413520136370254	0.2615738426157384	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
HMBOX1	42	52	0.6413116637934781	0.32986701329867013	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
HSF2	35	48	0.6399576781402356	0.1334866513348665	chr1	173837092.0	173837206.0	sense	0.6653577885454699	0.17694475499000453	0.15
TEAD1	37	47	0.6298845836148321	0.3203679632036796	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
HSF1	35	48	0.626560689741188	0.10118988101189881	chr1	173837092.0	173837206.0	sense	0.5970202979702031	0.2240109031309381	0.15
ETV3	41	51	0.6181134937808899	0.24487551244875513	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
ETV5	41	51	0.6180942717002085	0.3477652234776522	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
NR2C2	33	48	0.6179782039947305	0.23817618238176183	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
REL	40	50	0.6143316872378528	0.2636736326367363	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
MAFG	33	54	0.6078467763027772	0.3401659834016598	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
TFCP2	34	44	0.603662098477001	0.2186781321867813	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
ZNF410	35	52	0.6029482929005229	0.09459054094590541	chr1	173837092.0	173837206.0	antisense	0.5970202979702031	0.2240109031309381	0.15
NFYB	32	47	0.6005200030356905	0.34966503349665035	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
RUNX1	35	46	0.597471562501697	0.39646035396460355	chr1	173837092.0	173837206.0	antisense	0.8065917546176417	0.09334622188005198	0.15
IRF7	32	46	0.5940322408976328	0.18998100189981001	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
Stat6	39	54	0.5869618153429594	0.36906309369063095	chr1	173837092.0	173837206.0	sense	0.7776686617052581	0.10920540178128053	0.15
Mitf	44	54	0.5778512494229744	0.6412358764123588	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
MAFF	33	51	0.5768576570375833	0.611038896110389	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
Rarg(var.2)	33	50	0.5741857866558927	0.09829017098290171	chr1	173837092.0	173837206.0	antisense	0.5970202979702031	0.2240109031309381	0.15
RARA(var.2)	33	50	0.5653558998215985	0.13908609139086092	chr1	173837092.0	173837206.0	antisense	0.6653577885454699	0.17694475499000453	0.15
Myb	33	43	0.5604520682152031	0.1842815718428157	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
ZBTB18	34	47	0.558712308470761	0.2582741725827417	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
YY1	36	48	0.5333010262356124	0.3234676532346765	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
TP53	35	53	0.5322308286054525	0.296970302969703	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
Sox6	43	53	0.5314018257079	0.19918008199180082	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
Esrra	32	43	0.5313854912623649	0.1386861313868613	chr1	173837092.0	173837206.0	antisense	0.6653577885454699	0.17694475499000453	0.15
TCF3	32	42	0.5282818706214684	0.32786721327867213	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
NFAT5	35	45	0.5266291816401093	0.40675932406759324	chr1	173837092.0	173837206.0	sense	0.8095448882078083	0.09175906518056937	0.15
Tcfl5	43	53	0.525827484761958	0.8465153484651535	chr1	173837092.0	173837206.0	sense	0.9192221882106268	0.03657950118102236	0.15
Myc	42	52	0.5246559526878817	0.2258774122587741	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
MYBL2	37	52	0.5217532021799037	0.3788621137886211	chr1	173837092.0	173837206.0	sense	0.7889246369480698	0.10296448135435564	0.15
Crem	44	54	0.5138885535805195	0.31356864313568644	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
TFAP4	32	42	0.5098370851601965	0.22127787221277873	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
CLOCK	35	45	0.506701637932216	0.3498650134986501	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
ZBTB7B	32	44	0.5032310704256239	0.3541645835416458	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
STAT1	43	54	0.5029981249592849	0.26017398260173985	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
XBP1	40	54	0.4993287527946507	0.4216578342165783	chr1	173837092.0	173837206.0	sense	0.8201476555641138	0.08610795222128621	0.15
THAP1	43	52	0.4978758264877524	0.7110288971102889	chr1	173837092.0	173837206.0	sense	0.8894589707695896	0.05087408038425223	0.15
Zfx	32	46	0.4934210117876441	0.51004899510049	chr1	173837092.0	173837206.0	antisense	0.8765729196311137	0.0572119503332575	0.15
STAT3	42	53	0.4888927389034095	0.3595640435956404	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
Nfe2l2	33	48	0.4813302791164711	0.5331466853314668	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
JUNB	33	44	0.4795267912579835	0.34096590340965904	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
JUND	34	45	0.4793416238808319	0.29387061293870614	chr1	173837092.0	173837206.0	sense	0.7761321428832726	0.1100643302375816	0.15
FOS	32	43	0.47628020215082423	0.3578642135786421	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
ERF	41	51	0.47482168927523677	0.3387661233876612	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
REST	33	54	0.4709983534369132	0.22097790220977903	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
TFE3	43	53	0.4665357046425598	0.6782321767823217	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
Pax6	33	47	0.4649005370285911	0.6217378262173783	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
MZF1(var.2)	36	46	0.46194354367130863	0.5026497350264973	chr1	173837092.0	173837206.0	antisense	0.8765729196311137	0.0572119503332575	0.15
NFE2	34	45	0.4520125367317009	0.23987601239876014	chr1	173837092.0	173837206.0	antisense	0.7527456931726182	0.12335172061987561	0.15
JDP2	35	44	0.43642321066580475	0.21537846215378462	chr1	173837092.0	173837206.0	sense	0.7527456931726182	0.12335172061987561	0.15
Tcf12	32	43	0.43588209665177086	0.4310568943105689	chr1	173837092.0	173837206.0	sense	0.8293159814453337	0.08127996540672323	0.15
FOSL1	34	45	0.43257171664808847	0.385961403859614	chr1	173837092.0	173837206.0	sense	0.794362424222694	0.09998130748686881	0.15
ESRRB	41	52	0.4311806831990933	0.3147685231476852	chr1	173837092.0	173837206.0	antisense	0.7761321428832726	0.1100643302375816	0.15
ELF1	35	47	0.41925265348126417	0.42005799420057993	chr1	173837092.0	173837206.0	sense	0.8201476555641138	0.08610795222128621	0.15
BCL6B	33	50	0.4145040150940112	0.1494850514948505	chr1	173837092.0	173837206.0	antisense	0.676072392760724	0.17000679800334728	0.15
HEY1	43	53	0.40404072954522474	0.5249475052494751	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
MLXIPL	43	53	0.4032911867498826	0.5048495150484952	chr1	173837092.0	173837206.0	antisense	0.8765729196311137	0.0572119503332575	0.15
ELF4	35	47	0.40199987546938887	0.44275572442755723	chr1	173837092.0	173837206.0	sense	0.836978802119788	0.07728554109752053	0.15
TFEB	43	53	0.3933236240555151	0.6317368263173683	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
USF1	43	54	0.38592804796508584	0.6084391560843916	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
ELK1	41	51	0.38132023741881715	0.4520547945205479	chr1	173837092.0	173837206.0	antisense	0.836978802119788	0.07728554109752053	0.15
BHLHE40	43	53	0.37753167534339005	0.527947205279472	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
ATF4	32	45	0.3742289883467074	0.5666433356664333	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
RFX3	35	51	0.3681349679786304	0.6843315668433156	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
ZNF263	33	54	0.3676146027499036	0.6040395960403959	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
Creb3l2	44	53	0.36079214683610167	0.45395460453954606	chr1	173837092.0	173837206.0	antisense	0.836978802119788	0.07728554109752053	0.15
ZEB1	42	51	0.3486197960498497	0.4717528247175283	chr1	173837092.0	173837206.0	sense	0.8608273193299228	0.06508395863172416	0.15
SP3	33	44	0.34808780319080984	0.6062393760623938	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
RELA	38	48	0.3475077871157539	0.40705929407059294	chr1	173837092.0	173837206.0	sense	0.8095448882078083	0.09175906518056937	0.15
CREB3L1	35	49	0.3469360914637008	0.6864313568643136	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
USF2	36	47	0.34295229475713745	0.6836316368363163	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
MNT	43	53	0.33504507782982745	0.7487251274872513	chr1	173837092.0	173837206.0	sense	0.9005904778649652	0.04547264923691429	0.15
TCF4	32	42	0.33112030675575	0.6574342565743425	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
Klf1	32	43	0.32927531537935995	0.5437456254374563	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
CREB3	32	46	0.3287582156192525	0.7651234876512348	chr1	173837092.0	173837206.0	sense	0.9028457154284572	0.04438645861547903	0.15
NFIX	42	51	0.326749003687073	0.9037096290370963	chr1	173837092.0	173837206.0	sense	0.9521226448783693	0.021307105645735944	0.15
RFX2	35	51	0.3181384269202863	0.601939806019398	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
MAX	43	53	0.3133357621619065	0.7893210678932107	chr1	173837092.0	173837206.0	sense	0.9131361373666554	0.03946446967315834	0.15
SREBF1	34	44	0.3118930668264266	0.5585441455854414	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
NRF1	43	54	0.31165631242695946	0.6254374562543745	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
MLX	43	53	0.3114691346558689	0.6031396860313969	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
CTCF	35	54	0.3097046769207472	0.6955304469553044	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
RFX5	35	51	0.3003429870661384	0.6200379962003799	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
ELK4	40	51	0.28669316703467734	0.7226277372262774	chr1	173837092.0	173837206.0	sense	0.8894589707695896	0.05087408038425223	0.15
ETV6	35	45	0.28623527824968237	0.7421257874212579	chr1	173837092.0	173837206.0	sense	0.8997004409148127	0.04590206668672881	0.15
PLAG1	36	50	0.28268443223719875	0.4861513848615138	chr1	173837092.0	173837206.0	antisense	0.8765729196311137	0.0572119503332575	0.15
E2F1	32	44	0.28242554841474593	0.8705129487051295	chr1	173837092.0	173837206.0	antisense	0.928197541691614	0.032359586133731646	0.15
Rxra	33	47	0.27617798803120364	0.49235076492350766	chr1	173837092.0	173837206.0	antisense	0.8765729196311137	0.0572119503332575	0.15
MTF1	39	53	0.27608507299672264	0.6035396460353964	chr1	173837092.0	173837206.0	sense	0.8793492079363491	0.055838623262619284	0.15
Srebf1(var.2)	34	44	0.27061333154657635	0.6897310268973103	chr1	173837092.0	173837206.0	antisense	0.8793492079363491	0.055838623262619284	0.15
Gabpa	39	50	0.26894134810891407	0.7961203879612039	chr1	173837092.0	173837206.0	antisense	0.9140421361590549	0.03903378339136769	0.15
NFIA	35	45	0.2660421857729964	0.83991600839916	chr1	173837092.0	173837206.0	antisense	0.91768600917686	0.03730588939580534	0.15
ZNF740	34	44	0.26603262301712305	0.44625537446255376	chr1	173837092.0	173837206.0	sense	0.836978802119788	0.07728554109752053	0.15
CEBPB	41	51	0.26351886267485747	0.8252174782521747	chr1	173837092.0	173837206.0	sense	0.9140421361590549	0.03903378339136769	0.15
