motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
NRF1	12	23	9.38075610149892	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.012973702629737027	1.8869360607563672	0.05
TCF4	14	24	8.018363815847529	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.012973702629737027	1.8869360607563672	0.05
NHLH1	14	24	7.584126141766264	9.999000099990002e-05	chr20	47895099.0	47895213.0	sense	0.012973702629737027	1.8869360607563672	0.05
Gmeb1	7	24	7.426821855386341	0.010198980101989802	chr20	47895099.0	47895213.0	sense	0.17817218278172184	0.7491600994428951	0.05
Hes2	10	23	6.451653958334848	0.0072992700729927005	chr20	47895099.0	47895213.0	sense	0.15153284671532846	0.8194932179799865	0.05
Hes1	14	24	6.408892943222154	0.016198380161983803	chr20	47895099.0	47895213.0	sense	0.22533272988490624	0.6471757218313087	0.05
TCF3	14	24	6.371042146566399	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.012973702629737027	1.8869360607563672	0.05
SNAI2	14	23	6.17733996135062	0.00039996000399960006	chr20	47895099.0	47895213.0	sense	0.02965417743939892	1.5279141181146991	0.05
TBX2	16	27	5.733869327667552	0.0011998800119988001	chr20	47895099.0	47895213.0	sense	0.051894810518948106	1.2848760694284047	0.05
Mitf	13	23	5.58737770440756	0.0040995900409959	chr20	47895099.0	47895213.0	sense	0.09671305596713056	1.0145148935308756	0.05
Myod1	11	24	5.585560228563124	0.0007999200079992001	chr20	47895099.0	47895213.0	antisense	0.04151584841515849	1.3817860824364612	0.05
EGR4	9	25	5.3832049974000675	0.0051994800519948	chr20	47895099.0	47895213.0	antisense	0.11243875612438756	0.9490839675052117	0.05
ID4	14	24	5.28936355408377	0.0005999400059994001	chr20	47895099.0	47895213.0	antisense	0.03892110788921108	1.4098148060367048	0.05
Ascl2	14	24	5.2095172553931715	0.00019998000199980003	chr20	47895099.0	47895213.0	antisense	0.020757924207579246	1.6828160781004424	0.05
TBX5	17	25	5.2030223955109705	0.0011998800119988001	chr20	47895099.0	47895213.0	sense	0.051894810518948106	1.2848760694284047	0.05
FIGLA	14	24	5.091790284235388	0.0014998500149985001	chr20	47895099.0	47895213.0	antisense	0.051894810518948106	1.2848760694284047	0.05
TBR1	17	27	4.8437661981546976	0.0006999300069993001	chr20	47895099.0	47895213.0	sense	0.04036263040362631	1.3940205388534728	0.05
ZEB1	16	25	4.819662581926	0.00039996000399960006	chr20	47895099.0	47895213.0	antisense	0.02965417743939892	1.5279141181146991	0.05
Tcfl5	14	24	4.808230760267393	0.048995100489951	chr20	47895099.0	47895213.0	sense	0.434509091463735	0.36200113214690205	0.05
TBX4	17	25	4.665483727503208	0.0012998700129987	chr20	47895099.0	47895213.0	sense	0.051894810518948106	1.2848760694284047	0.05
HEY2	14	24	4.531418917635977	0.0026997300269973002	chr20	47895099.0	47895213.0	antisense	0.06672189923864756	1.1757316000033367	0.05
Myog	14	25	4.301687247938136	0.0014998500149985001	chr20	47895099.0	47895213.0	sense	0.051894810518948106	1.2848760694284047	0.05
Tcf12	14	25	4.174437042339917	0.0023997600239976003	chr20	47895099.0	47895213.0	sense	0.062273772622737734	1.2056948233807798	0.05
ISL2	7	15	4.129601930132683	0.012598740125987402	chr20	47895099.0	47895213.0	antisense	0.18451488184514886	0.7339686005478236	0.05
MGA	17	25	4.092748108636054	0.0022997700229977	chr20	47895099.0	47895213.0	sense	0.062273772622737734	1.2056948233807798	0.05
TBX21	16	26	4.086579638277934	0.0021997800219978004	chr20	47895099.0	47895213.0	sense	0.062273772622737734	1.2056948233807798	0.05
TFE3	14	24	3.998052955993946	0.019098090190980903	chr20	47895099.0	47895213.0	antisense	0.24588255460168268	0.6092722834165987	0.05
HINFP	7	19	3.9191227678383735	0.010298970102989701	chr20	47895099.0	47895213.0	sense	0.17817218278172184	0.7491600994428951	0.05
Arntl	13	23	3.761073854731296	0.0124987501249875	chr20	47895099.0	47895213.0	sense	0.18451488184514886	0.7339686005478236	0.05
TBX15	17	25	3.714968600881427	0.0017998200179982	chr20	47895099.0	47895213.0	sense	0.058381661833816614	1.2337235469810235	0.05
TBX1	17	25	3.7141349299765953	0.0020997900209979003	chr20	47895099.0	47895213.0	sense	0.062273772622737734	1.2056948233807798	0.05
TFEC	14	24	3.5706431970147166	0.0164983501649835	chr20	47895099.0	47895213.0	sense	0.22533272988490624	0.6471757218313087	0.05
CEBPE	10	20	3.487570439415061	0.012798720127987202	chr20	47895099.0	47895213.0	antisense	0.18451488184514886	0.7339686005478236	0.05
EGR2	12	23	3.4735223339470913	0.008999100089991	chr20	47895099.0	47895213.0	antisense	0.172982701729827	0.7619973241480673	0.05
NKX2-8	6	15	3.456253444390016	0.025997400259974	chr20	47895099.0	47895213.0	antisense	0.2810968903109689	0.5511439588331741	0.05
ARNT::HIF1A	15	23	3.405547546204262	0.011998800119988001	chr20	47895099.0	47895213.0	antisense	0.18451488184514886	0.7339686005478236	0.05
CEBPB	10	20	3.3747263415240987	0.009499050094990502	chr20	47895099.0	47895213.0	antisense	0.1760716785464311	0.7543104954817762	0.05
MNT	14	24	3.365714318723962	0.017998200179982	chr20	47895099.0	47895213.0	sense	0.23951451008745275	0.620668171351598	0.05
NKX2-3	6	16	3.343531709402794	0.0221977802219778	chr20	47895099.0	47895213.0	antisense	0.25832083458320837	0.5878405648695857	0.05
TBX19	7	27	3.32621274048855	0.0268973102689731	chr20	47895099.0	47895213.0	sense	0.2848919189713682	0.5453198694545105	0.05
CEBPD	10	20	3.298119028149797	0.008799120087991202	chr20	47895099.0	47895213.0	antisense	0.172982701729827	0.7619973241480673	0.05
Neurog1	14	24	3.2730187035261853	0.1628837116288371	chr20	47895099.0	47895213.0	antisense	0.8935637686231377	0.04887444889652574	0.05
CEBPG	10	20	3.254999524843383	0.0046995300469953	chr20	47895099.0	47895213.0	antisense	0.1060459171474157	0.9745060475102802	0.05
MAX	14	24	3.221566631250552	0.021497850214978503	chr20	47895099.0	47895213.0	sense	0.25832083458320837	0.5878405648695857	0.05
HEY1	14	24	3.212376450435604	0.0198980101989801	chr20	47895099.0	47895213.0	sense	0.24588255460168268	0.6092722834165987	0.05
Npas2	14	24	3.1976067588704304	0.023497650234976502	chr20	47895099.0	47895213.0	sense	0.26511479286853923	0.5765660388382426	0.05
HIC2	10	19	3.1936620004748346	0.0613938606139386	chr20	47895099.0	47895213.0	antisense	0.5223510435841662	0.2820375332980042	0.05
THAP1	10	19	3.1838732606742393	0.14408559144085592	chr20	47895099.0	47895213.0	antisense	0.8556746598067467	0.0676913291408375	0.05
NFIX	18	27	3.1686173954047376	0.07629237076292371	chr20	47895099.0	47895213.0	sense	0.5738513105211218	0.24120062221077965	0.05
GSC2	7	17	3.118631253964516	0.13908609139086092	chr20	47895099.0	47895213.0	sense	0.8544540894747734	0.06831126731822235	0.05
USF2	14	25	3.0170836547062034	0.019698030196980302	chr20	47895099.0	47895213.0	sense	0.24588255460168268	0.6092722834165987	0.05
PAX5	7	26	2.959474606188621	0.07879212078792121	chr20	47895099.0	47895213.0	sense	0.5841872955561587	0.2334478919531063	0.05
Barhl1	6	16	2.92028939587704	0.2450754924507549	chr20	47895099.0	47895213.0	sense	0.9110422291104224	0.040461491913307	0.05
Pparg::Rxra	8	23	2.8998954374121184	0.14108589141085892	chr20	47895099.0	47895213.0	sense	0.8544540894747734	0.06831126731822235	0.05
NRL	16	27	2.8569705611473224	0.21777822217778223	chr20	47895099.0	47895213.0	sense	0.9110422291104224	0.040461491913307	0.05
HNF4G	10	25	2.845156237492318	0.07389261073892611	chr20	47895099.0	47895213.0	sense	0.5700797567302093	0.24406438031924238	0.05
Id2	15	23	2.822905006338473	0.011898810118988102	chr20	47895099.0	47895213.0	sense	0.18451488184514886	0.7339686005478236	0.05
NKX3-2	7	16	2.794158323009679	0.04939506049395061	chr20	47895099.0	47895213.0	antisense	0.434509091463735	0.36200113214690205	0.05
Mlxip	15	23	2.7899330696097167	0.012798720127987202	chr20	47895099.0	47895213.0	sense	0.18451488184514886	0.7339686005478236	0.05
EGR1	8	22	2.7809409772248936	0.0817918208179182	chr20	47895099.0	47895213.0	antisense	0.5895827083958272	0.2294552621883502	0.05
LBX2	13	23	2.7762907924574973	0.2840715928407159	chr20	47895099.0	47895213.0	sense	0.9272525577630916	0.032801960025920465	0.05
MAX::MYC	13	24	2.7070328494185243	0.035096490350964904	chr20	47895099.0	47895213.0	sense	0.3502899710028997	0.45557229659737986	0.05
GCM2	12	22	2.694850039139411	0.0670932906709329	chr20	47895099.0	47895213.0	sense	0.5473280796920308	0.26175227058126704	0.05
Myc	15	25	2.6545209065213253	0.025097490250974904	chr20	47895099.0	47895213.0	sense	0.277140371069276	0.5573002058830842	0.05
BHLHE40	14	24	2.6512235482419118	0.028097190280971903	chr20	47895099.0	47895213.0	sense	0.29164883511648837	0.5351397538593436	0.05
MSC	14	24	2.6124094798595254	0.022397760223977603	chr20	47895099.0	47895213.0	antisense	0.25832083458320837	0.5878405648695857	0.05
ESR2	11	26	2.5663810567664074	0.131986801319868	chr20	47895099.0	47895213.0	antisense	0.8353798766464817	0.07811599060627163	0.05
Nkx3-1	7	16	2.566071319812261	0.05089491050894911	chr20	47895099.0	47895213.0	antisense	0.4402409759024098	0.3563095374752897	0.05
TBP	5	20	2.545079393791189	0.23997600239976002	chr20	47895099.0	47895213.0	sense	0.9110422291104224	0.040461491913307	0.05
ESX1	6	16	2.5288222771519817	0.26987301269873015	chr20	47895099.0	47895213.0	antisense	0.9187055487999587	0.03682366056398224	0.05
GSX2	7	17	2.509444393916866	0.45055494450554945	chr20	47895099.0	47895213.0	antisense	1.0	-0.0	0.05
EN2	6	16	2.5084906582749458	0.16968303169683033	chr20	47895099.0	47895213.0	antisense	0.9078916850582983	0.04196596137697386	0.05
GSX1	7	17	2.446713438311355	0.47225277472252775	chr20	47895099.0	47895213.0	antisense	1.0	-0.0	0.05
EOMES	8	21	2.4183544014801766	0.14158584141585842	chr20	47895099.0	47895213.0	sense	0.8544540894747734	0.06831126731822235	0.05
T	9	25	2.359116064846342	0.038696130386961305	chr20	47895099.0	47895213.0	sense	0.37893003152514937	0.42144097401028247	0.05
POU6F2	8	18	2.3507406315242423	0.072992700729927	chr20	47895099.0	47895213.0	antisense	0.5700797567302093	0.24406438031924238	0.05
Nkx2-5(var.2)	6	17	2.3415547293318806	0.0746925307469253	chr20	47895099.0	47895213.0	antisense	0.5700797567302093	0.24406438031924238	0.05
USF1	5	16	2.327749807393053	0.0654934506549345	chr20	47895099.0	47895213.0	antisense	0.5473280796920308	0.26175227058126704	0.05
TFEB	6	16	2.325875892781296	0.09419058094190581	chr20	47895099.0	47895213.0	antisense	0.6517988201179882	0.1858864300272275	0.05
MEOX2	6	16	2.3151692821005323	0.3575642435756424	chr20	47895099.0	47895213.0	antisense	1.0	-0.0	0.05
NEUROD2	14	24	2.299528047108851	0.10978902109789021	chr20	47895099.0	47895213.0	antisense	0.7497434467079608	0.12508732159512306	0.05
CLOCK	14	24	2.2639807354855384	0.08699130086991301	chr20	47895099.0	47895213.0	antisense	0.6101146642092548	0.2145885365407625	0.05
