motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ETV5	82	92	5.856039316026498	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
FEV	82	92	5.190759668097033	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ETV3	82	92	5.11503972450304	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ERG	82	92	5.031417463748604	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ETS1	82	92	5.0142577562196	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ETV1	82	92	4.901454883062331	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ETV4	82	92	4.871525602070238	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ERF	82	92	4.816964555443842	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
Gabpa	83	94	4.789300265257175	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
FLI1	82	92	4.732200943006638	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ELK3	82	92	4.6768016467923195	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ELK1	82	92	4.586926562156286	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ELK4	82	93	4.306885647775132	9.999000099990002e-05	chr1	211555971.0	211556085.0	antisense	0.0034596540345965404	2.460967328484086	0.05
ETV6	82	92	4.112068857362067	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
ELF5	81	92	4.091430262222823	9.999000099990002e-05	chr1	211555971.0	211556085.0	sense	0.0034596540345965404	2.460967328484086	0.05
NFATC1	82	92	3.7102662550699823	0.0006999300069993001	chr1	211555971.0	211556085.0	antisense	0.017298270172982702	1.7619973241480673	0.05
ELF1	80	92	3.412343746614468	0.00029997000299970003	chr1	211555971.0	211556085.0	sense	0.008193917450360227	2.086508415661571	0.05
NFATC3	82	92	3.400915035157876	0.000999900009999	chr1	211555971.0	211556085.0	antisense	0.023588550235885502	1.627298750250611	0.05
ELF4	80	92	3.3062422766227995	0.00029997000299970003	chr1	211555971.0	211556085.0	sense	0.008193917450360227	2.086508415661571	0.05
ETV2	81	92	3.2863364408230376	0.00029997000299970003	chr1	211555971.0	211556085.0	sense	0.008193917450360227	2.086508415661571	0.05
EHF	80	92	3.0946409522436764	0.0006999300069993001	chr1	211555971.0	211556085.0	sense	0.017298270172982702	1.7619973241480673	0.05
SPIB	82	89	2.8174894141024405	0.00019998000199980003	chr1	211555971.0	211556085.0	sense	0.006486851314868513	2.1879660564203482	0.05
GSC2	83	93	2.6308527262831873	0.0156984301569843	chr1	211555971.0	211556085.0	antisense	0.19871915247499639	0.7017602737389066	0.05
Neurog1	82	92	2.628698869664888	0.014798520147985201	chr1	211555971.0	211556085.0	sense	0.192010798920108	0.7166743453614098	0.05
ELF3	80	93	2.6037124738838093	0.0014998500149985001	chr1	211555971.0	211556085.0	sense	0.03243425657434257	1.4889960520843295	0.05
THAP1	79	88	2.5204182256446854	0.021397860213978603	chr1	211555971.0	211556085.0	sense	0.2582671965361603	0.5879307516588006	0.05
SPDEF	81	92	2.4634842427141397	0.0014998500149985001	chr1	211555971.0	211556085.0	sense	0.03243425657434257	1.4889960520843295	0.05
SPIC	78	92	2.4240240279779357	0.0117988201179882	chr1	211555971.0	211556085.0	sense	0.16100697622545437	0.793155306138454	0.05
HSF4	81	94	2.2852806109688744	0.0064993500649935	chr1	211555971.0	211556085.0	sense	0.11243875612438756	0.9490839675052117	0.05
NFATC2	84	91	2.248321848702084	0.001999800019998	chr1	211555971.0	211556085.0	antisense	0.041515848415158485	1.3817860824364612	0.05
Stat4	76	90	2.1916343049201856	0.0108989101089891	chr1	211555971.0	211556085.0	antisense	0.15287930666392818	0.8156512955547762	0.05
RUNX3	80	90	2.1795378473553404	0.008899110088991101	chr1	211555971.0	211556085.0	sense	0.13584229812312887	0.8669649798257472	0.05
Hes2	81	94	2.174821450614649	0.1050894910508949	chr1	211555971.0	211556085.0	sense	0.5864671597356393	0.23175630195409772	0.05
ZBTB7C	76	88	2.1532215886267503	0.0336966303369663	chr1	211555971.0	211556085.0	sense	0.3363182912477983	0.4732495121918654	0.05
RUNX2	80	89	2.145660348979516	0.006299370062993701	chr1	211555971.0	211556085.0	sense	0.11243875612438756	0.9490839675052117	0.05
Pax2	77	85	2.08364897763902	0.039896010398960104	chr1	211555971.0	211556085.0	antisense	0.3834449888344499	0.4162969335646251	0.05
Gmeb1	77	94	2.0816496200242525	0.25607439256074394	chr1	211555971.0	211556085.0	sense	0.7864059747871367	0.10435319557364865	0.05
E2F4	80	91	2.0407732400804113	0.007099290070992901	chr1	211555971.0	211556085.0	sense	0.11514161083891612	0.9387676990292355	0.05
Stat6	77	92	2.033555312731581	0.019998000199980003	chr1	211555971.0	211556085.0	antisense	0.24711814532832432	0.607095364162324	0.05
Mitf	75	85	2.02498286313766	0.059394060593940604	chr1	211555971.0	211556085.0	antisense	0.4796338547963386	0.31909016995950645	0.05
E2F6	80	91	1.9515348525881058	0.006799320067993201	chr1	211555971.0	211556085.0	sense	0.11383377791253133	0.9437288505564412	0.05
