motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Foxk1	14	31	2.229153995743224	0.0004999500049995	chr7	130796183.0	130796297.0	antisense	0.031330200313302005	1.5040368283968264	0.05
Foxj3	14	31	2.189180153957448	0.0014998500149985001	chr7	130796183.0	130796297.0	antisense	0.0704929507049295	1.151854310285464	0.05
HNF1A	19	34	2.163588770518405	9.999000099990002e-05	chr7	130796183.0	130796297.0	sense	0.009399060093990603	2.026915573677164	0.05
HNF1B	20	33	1.9723440242711534	9.999000099990002e-05	chr7	130796183.0	130796297.0	sense	0.009399060093990603	2.026915573677164	0.05
MAFG	21	42	1.7752499056194797	0.025097490250974904	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
Arid5a	18	32	1.6853901150595918	0.0197980201979802	chr7	130796183.0	130796297.0	sense	0.151429301514293	0.819790080881514	0.05
MAFF	19	37	1.6295006169117352	0.0352964703529647	chr7	130796183.0	130796297.0	antisense	0.1658934106589341	0.7801708639533227	0.05
NRL	15	26	1.4528412564705198	0.040495950404959506	chr7	130796183.0	130796297.0	sense	0.17085402570854025	0.7673747837811847	0.05
THAP1	29	38	1.3955055413404895	0.0390960903909609	chr7	130796183.0	130796297.0	sense	0.17085402570854025	0.7673747837811847	0.05
JUN(var.2)	24	38	1.3953058251521915	0.0100989901009899	chr7	130796183.0	130796297.0	antisense	0.14501407002156927	0.8385898582044712	0.05
FOXP1	16	31	1.3898319133122639	0.0221977802219778	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
NFAT5	27	37	1.3497365016108969	0.010798920107989201	chr7	130796183.0	130796297.0	sense	0.14501407002156927	0.8385898582044712	0.05
HMBOX1	27	37	1.3460173845022831	0.013298670132986702	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
NFATC3	27	37	1.3424137975639057	0.025297470252974703	chr7	130796183.0	130796297.0	sense	0.151429301514293	0.819790080881514	0.05
TCF7L2	13	27	1.3417343091693732	0.020497950204979503	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
SRY	23	32	1.3245187437390389	0.0065993400659934	chr7	130796183.0	130796297.0	antisense	0.14501407002156927	0.8385898582044712	0.05
Gmeb1	8	25	1.3028783397984152	0.6222377762223777	chr7	130796183.0	130796297.0	sense	0.6761890284959943	0.16993188015750774	0.05
JUND(var.2)	17	32	1.2658697994522987	0.025397460253974602	chr7	130796183.0	130796297.0	sense	0.151429301514293	0.819790080881514	0.05
MAFK	21	36	1.2638480616850576	0.047495250474952504	chr7	130796183.0	130796297.0	antisense	0.17171359787098212	0.7651953120231154	0.05
CREB3	19	33	1.2575713321012931	0.015298470152984701	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
Nfe2l2	20	35	1.254648777932611	0.026797320267973202	chr7	130796183.0	130796297.0	sense	0.151429301514293	0.819790080881514	0.05
HLF	15	27	1.245669015762119	0.020997900209979003	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
ZNF263	7	28	1.23241833838484	0.18498150184981502	chr7	130796183.0	130796297.0	sense	0.33493189142624197	0.47504349799306567	0.05
JUN	18	31	1.2120206963083842	0.013498650134986502	chr7	130796183.0	130796297.0	sense	0.151429301514293	0.819790080881514	0.05
FOS	23	34	1.2114699891329483	0.007099290070992901	chr7	130796183.0	130796297.0	antisense	0.14501407002156927	0.8385898582044712	0.05
IRF1	15	36	1.1987544489719304	0.11968803119688032	chr7	130796183.0	130796297.0	sense	0.28244175582441755	0.5490710973384056	0.05
Gfi1	22	32	1.1870023116387938	0.0374962503749625	chr7	130796183.0	130796297.0	antisense	0.16784035882126072	0.7751036006833645	0.05
POU2F1	15	27	1.1757487974847034	0.0408959104089591	chr7	130796183.0	130796297.0	sense	0.17085402570854025	0.7673747837811847	0.05
NR3C1	18	35	1.175564805847007	0.023697630236976304	chr7	130796183.0	130796297.0	antisense	0.151429301514293	0.819790080881514	0.05
Arid3b	17	28	1.1692657679617224	0.04329567043295671	chr7	130796183.0	130796297.0	antisense	0.17171359787098212	0.7651953120231154	0.05
ELF1	30	42	1.1656070865305745	0.009299070092990702	chr7	130796183.0	130796297.0	sense	0.14501407002156927	0.8385898582044712	0.05
ELF4	30	42	1.1640343268221787	0.008799120087991202	chr7	130796183.0	130796297.0	sense	0.14501407002156927	0.8385898582044712	0.05
MIXL1	20	30	1.1624587448990813	0.15008499150084992	chr7	130796183.0	130796297.0	antisense	0.31703346519280656	0.4988948924148252	0.05
FOXA1	21	36	1.161815382117466	0.0655934406559344	chr7	130796183.0	130796297.0	sense	0.19889623940831724	0.7013734281357764	0.05
TBX2	23	34	1.1520914185591167	0.063993600639936	chr7	130796183.0	130796297.0	sense	0.19889623940831724	0.7013734281357764	0.05
NFYB	14	29	1.1437561061674189	0.06519348065193481	chr7	130796183.0	130796297.0	antisense	0.19889623940831724	0.7013734281357764	0.05
FOSL1	23	34	1.1420603426674218	0.007699230076992301	chr7	130796183.0	130796297.0	antisense	0.14501407002156927	0.8385898582044712	0.05
LBX2	20	30	1.137703098115244	0.1680831916808319	chr7	130796183.0	130796297.0	antisense	0.33262778985259367	0.47804146986255963	0.05
PPARG	17	37	1.134219594428892	0.12018798120187982	chr7	130796183.0	130796297.0	sense	0.28244175582441755	0.5490710973384056	0.05
GATA2	23	37	1.1280955521111447	0.06429357064293571	chr7	130796183.0	130796297.0	sense	0.19889623940831724	0.7013734281357764	0.05
