motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Pax2	20	28	2.5040458315148904	9.999000099990002e-05	chr11	65190189.0	65190303.0	antisense	0.010378962103789623	1.9838460737644235	0.05
XBP1	21	35	2.1753775799849815	9.999000099990002e-05	chr11	65190189.0	65190303.0	antisense	0.010378962103789623	1.9838460737644235	0.05
Mitf	18	28	2.1611771805691284	0.000999900009999	chr11	65190189.0	65190303.0	antisense	0.027313058167867423	1.5636296703812338	0.05
Hes1	24	34	2.1571052571665326	0.0057994200579942	chr11	65190189.0	65190303.0	antisense	0.06270622937706229	1.2026893132410548	0.05
CREB3	20	34	1.976810308816219	9.999000099990002e-05	chr11	65190189.0	65190303.0	antisense	0.010378962103789623	1.9838460737644235	0.05
Atf3	21	29	1.7938454604874738	9.999000099990002e-05	chr11	65190189.0	65190303.0	sense	0.010378962103789623	1.9838460737644235	0.05
HINFP	19	31	1.7899246634720463	0.00029997000299970003	chr11	65190189.0	65190303.0	antisense	0.017298270172982702	1.7619973241480673	0.05
Nfe2l2	18	33	1.7349741982704685	0.00039996000399960006	chr11	65190189.0	65190303.0	sense	0.018870840188708403	1.7242087632586673	0.05
MEIS3	22	30	1.7309830474436119	0.0004999500049995	chr11	65190189.0	65190303.0	sense	0.019959542507287733	1.6998494173992227	0.05
CREB3L1	20	34	1.7168333190029323	0.00029997000299970003	chr11	65190189.0	65190303.0	antisense	0.017298270172982702	1.7619973241480673	0.05
MAFK	16	31	1.7090497840013634	0.000999900009999	chr11	65190189.0	65190303.0	antisense	0.027313058167867423	1.5636296703812338	0.05
JUND	21	32	1.702744930325176	0.00019998000199980003	chr11	65190189.0	65190303.0	sense	0.017298270172982702	1.7619973241480673	0.05
NRL	16	27	1.681961044691634	0.0071992800719928	chr11	65190189.0	65190303.0	sense	0.06555133960288181	1.1834184286696279	0.05
FOS::JUN	23	30	1.6397537425733544	0.00029997000299970003	chr11	65190189.0	65190303.0	sense	0.017298270172982702	1.7619973241480673	0.05
MAFG	16	37	1.6390007000060645	0.0028997100289971	chr11	65190189.0	65190303.0	sense	0.048546758227403064	1.3138397653637215	0.05
CREB1	23	31	1.608393315195172	9.999000099990002e-05	chr11	65190189.0	65190303.0	sense	0.010378962103789623	1.9838460737644235	0.05
Atf1	22	30	1.6002475161214766	0.0004999500049995	chr11	65190189.0	65190303.0	sense	0.019959542507287733	1.6998494173992227	0.05
Bach1::Mafk	19	34	1.592721985701359	0.0005999400059994001	chr11	65190189.0	65190303.0	sense	0.020757924207579243	1.6828160781004424	0.05
FOSL1	21	32	1.5636130404577755	0.00039996000399960006	chr11	65190189.0	65190303.0	sense	0.018870840188708403	1.7242087632586673	0.05
MEIS1	22	29	1.5448481667144773	0.000999900009999	chr11	65190189.0	65190303.0	sense	0.027313058167867423	1.5636296703812338	0.05
Mafb	16	28	1.4832186200250974	0.0047995200479952005	chr11	65190189.0	65190303.0	sense	0.06270622937706229	1.2026893132410548	0.05
USF1	17	28	1.4767079199710684	0.0018998100189981002	chr11	65190189.0	65190303.0	sense	0.037923130763846694	1.4210958164463938	0.05
Gmeb1	19	36	1.4759174485369355	0.0741925807419258	chr11	65190189.0	65190303.0	sense	0.2423906677655216	0.6154841048686123	0.05
Hes2	20	33	1.470312222480932	0.0273972602739726	chr11	65190189.0	65190303.0	sense	0.15682497684297506	0.8045847679192357	0.05
TFE3	17	27	1.4373975071330318	0.0052994700529947	chr11	65190189.0	65190303.0	sense	0.06270622937706229	1.2026893132410548	0.05
RORA	23	33	1.4271865984012495	0.0011998800119988001	chr11	65190189.0	65190303.0	antisense	0.029654177439398917	1.5279141181146993	0.05
NR2F1	19	32	1.4203040896437191	0.0034996500349965005	chr11	65190189.0	65190303.0	antisense	0.056759949005099494	1.245958003398035	0.05
MAFG::NFE2L1	21	27	1.4187438476708847	0.000999900009999	chr11	65190189.0	65190303.0	sense	0.027313058167867423	1.5636296703812338	0.05
MAF::NFE2	22	37	1.4180395520925797	0.0017998200179982	chr11	65190189.0	65190303.0	sense	0.037364263573642635	1.4275435729971364	0.05
Arntl	18	28	1.404025355266504	0.0044995500449955	chr11	65190189.0	65190303.0	antisense	0.06270622937706229	1.2026893132410548	0.05
Creb5	21	33	1.3732082507512124	0.0005999400059994001	chr11	65190189.0	65190303.0	antisense	0.020757924207579243	1.6828160781004424	0.05
ATF7	20	34	1.3723620917817647	0.0011998800119988001	chr11	65190189.0	65190303.0	sense	0.029654177439398917	1.5279141181146993	0.05
JUNB	20	31	1.3509179865830945	0.0017998200179982	chr11	65190189.0	65190303.0	sense	0.037364263573642635	1.4275435729971364	0.05
FOSL2	20	31	1.3496902488370557	0.0017998200179982	chr11	65190189.0	65190303.0	sense	0.037364263573642635	1.4275435729971364	0.05
ZBTB33	19	34	1.3309603613340977	0.006399360063993601	chr11	65190189.0	65190303.0	antisense	0.06321731463217314	1.1991639562218221	0.05
NFIX	21	30	1.3238072903531817	0.013398660133986601	chr11	65190189.0	65190303.0	antisense	0.10850733108507332	0.9645409185690369	0.05
TFEB	17	27	1.312932033464692	0.004199580041995801	chr11	65190189.0	65190303.0	sense	0.06227377262273773	1.20569482338078	0.05
JUN(var.2)	17	31	1.312057357088832	0.0065993400659934	chr11	65190189.0	65190303.0	sense	0.06321731463217314	1.1991639562218221	0.05
FOS	21	32	1.3075384812132713	0.0021997800219978004	chr11	65190189.0	65190303.0	sense	0.040774493979173515	1.3896114199484177	0.05
Tcfl5	24	34	1.2855380174494035	0.07139286071392861	chr11	65190189.0	65190303.0	sense	0.2423906677655216	0.6154841048686123	0.05
ATF4	20	33	1.2735340987801165	0.0037996200379962005	chr11	65190189.0	65190303.0	sense	0.05975766059757661	1.2236064126894821	0.05
TFEC	17	27	1.2690009072276183	0.0066993300669933005	chr11	65190189.0	65190303.0	sense	0.06321731463217314	1.1991639562218221	0.05
NR4A2	22	30	1.249194788184252	0.0026997300269973002	chr11	65190189.0	65190303.0	antisense	0.046705329467053296	1.33063355998908	0.05
HOXA2	21	31	1.2407924476641667	0.027997200279972004	chr11	65190189.0	65190303.0	antisense	0.15735845770261683	0.8031099096629788	0.05
NR2C2	16	31	1.2068392793124645	0.006999300069993001	chr11	65190189.0	65190303.0	antisense	0.06486851314868514	1.1879660564203482	0.05
SP3	22	33	1.2003717278905333	0.018198180181981802	chr11	65190189.0	65190303.0	sense	0.12468233696110909	0.9041950661978729	0.05
TBX5	23	31	1.1865863060742399	0.012898710128987101	chr11	65190189.0	65190303.0	antisense	0.1079746864023275	0.9666780486274097	0.05
USF2	17	28	1.1839534231827957	0.004999500049995001	chr11	65190189.0	65190303.0	sense	0.06270622937706229	1.2026893132410548	0.05
Crem	21	31	1.1654677486244405	0.0051994800519948	chr11	65190189.0	65190303.0	sense	0.06270622937706229	1.2026893132410548	0.05
