motif	start	end
IRF1	5	25
Rarb(var.2)	15	31
MEF2C	18	32
MEF2A	19	30
MEF2C	19	33
MEF2D	19	30
MEF2B	19	30
MEF2B	20	31
MEF2D	20	31
MEF2A	20	31
SP1	45	55
INSM1	47	58
E2F6	48	58
GLIS3	48	61
GLIS2	48	61
ZNF740	48	57
Sox2	55	62
SP2	55	69
Sox2	56	63
SP2	57	71
SP1	59	69
ZNF263	59	79
EGR1	59	72
Rarb	60	75
EGR1	61	74
Rarg	61	76
E2F4	61	71
SP1	61	71
NR2C2	61	75
EGR1	62	75
PLAG1	62	75
ELF4	63	74
ELF3	63	75
ELF1	63	74
ETV4	65	74
ELK4	65	75
ETV3	65	74
ETV5	65	74
ELK1	65	74
ETV6	65	74
ETV1	65	74
ELK3	65	74
ETS1	65	74
FEV	65	74
Esrra	66	76
Gabpa	66	76
Hnf4a	72	87
CUX1	74	83
CUX2	74	83
