motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
EGR1	1	15	2.7615335451284717	0.0011998800119988001	chr1	211556065.0	211556179.0	sense	0.21237876212378762	0.6728889148674312	0.15
SP1	1	12	1.6921616082380444	0.020097990200979902	chr1	211556065.0	211556179.0	sense	0.5081920379390632	0.293972143508824	0.15
CTCF	2	21	1.548590883770901	0.015798420157984203	chr1	211556065.0	211556179.0	antisense	0.5081920379390632	0.293972143508824	0.15
MZF1(var.2)	2	12	1.4635029607277847	0.0382961703829617	chr1	211556065.0	211556179.0	antisense	0.5840415958404159	0.23355622103716858	0.15
E2F4	1	12	1.4287786541037804	0.027297270272972702	chr1	211556065.0	211556179.0	antisense	0.5368463153684631	0.2701500233136249	0.15
ZNF263	1	22	1.4196895146477007	0.18668133186681332	chr1	211556065.0	211556179.0	antisense	0.6970935559505274	0.15670893193579596	0.15
MAFG	1	22	1.3850171881417517	0.0240975902409759	chr1	211556065.0	211556179.0	antisense	0.5331591840815918	0.27314310533213126	0.15
SP3	1	12	1.3816811272085874	0.11598840115988401	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
Hes1	5	15	1.3600882797132754	0.2278772122787721	chr1	211556065.0	211556179.0	sense	0.748178407965655	0.12599482946670945	0.15
Tcfl5	1	11	1.3443202361178357	0.1528847115288471	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
THAP1	4	13	1.261051082042396	0.12988701129887012	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
E2F1	2	14	1.1860319560009749	0.015498450154984501	chr1	211556065.0	211556179.0	sense	0.5081920379390632	0.293972143508824	0.15
E2F6	5	16	1.1357119164975076	0.07779222077792221	chr1	211556065.0	211556179.0	antisense	0.6955404459554044	0.15767761053962934	0.15
CENPB	3	18	1.135367611916475	0.09019098090190981	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
ELK4	4	15	1.0742485920388303	0.0408959104089591	chr1	211556065.0	211556179.0	sense	0.5840415958404159	0.23355622103716858	0.15
KLF16	3	14	1.0200919451110246	0.1518848115188481	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
Gabpa	3	14	1.0072176398868347	0.047295270472952705	chr1	211556065.0	211556179.0	antisense	0.5979473481223305	0.22333705585548255	0.15
TFAP2A(var.2)	5	17	0.9680338017537807	0.19908009199080093	chr1	211556065.0	211556179.0	sense	0.7047435256474353	0.1519689052236653	0.15
ZBTB33	1	16	0.947849827651978	0.12098790120987901	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
CEBPB	1	11	0.9464218719679142	0.0187981201879812	chr1	211556065.0	211556179.0	sense	0.5081920379390632	0.293972143508824	0.15
Gmeb1	1	18	0.9459658315735822	0.6491350864913509	chr1	211556065.0	211556179.0	antisense	0.9183559585217947	0.036988951851139706	0.15
NRF1	3	14	0.9434876558622254	0.0731926807319268	chr1	211556065.0	211556179.0	antisense	0.6955404459554044	0.15767761053962934	0.15
ZNF740	4	14	0.9360761994600333	0.18818118188181182	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
CEBPD	1	11	0.9180500023372408	0.019498050194980503	chr1	211556065.0	211556179.0	sense	0.5081920379390632	0.293972143508824	0.15
SP4	3	20	0.9176436199144247	0.0958904109589041	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
STAT3	1	12	0.9152498686298777	0.0367963203679632	chr1	211556065.0	211556179.0	sense	0.5840415958404159	0.23355622103716858	0.15
IRF1	1	22	0.9067436918009086	0.1912808719128087	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
Pax6	1	15	0.8841455000126632	0.11938806119388061	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
HSF4	2	15	0.8748865210064467	0.11188881111888811	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
TCF4	5	15	0.862672301280234	0.0745925407459254	chr1	211556065.0	211556179.0	sense	0.6955404459554044	0.15767761053962934	0.15
CEBPG	1	11	0.8593958296495334	0.014298570142985701	chr1	211556065.0	211556179.0	sense	0.5081920379390632	0.293972143508824	0.15
ZBTB7A	3	15	0.8578143514803092	0.1887811218878112	chr1	211556065.0	211556179.0	antisense	0.6970935559505274	0.15670893193579596	0.15
ETV5	3	13	0.8559950545427291	0.1618838116188381	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
NR2C2	5	20	0.8506496231519195	0.1521847815218478	chr1	211556065.0	211556179.0	antisense	0.6970935559505274	0.15670893193579596	0.15
Bcl6	1	15	0.8487786324009162	0.14428557144285573	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
HINFP	2	14	0.8360327451166731	0.17248275172482752	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
REST	2	23	0.8358374159243511	0.052094790520947905	chr1	211556065.0	211556179.0	sense	0.6147185281471853	0.21132369667121279	0.15
TFAP2A	5	16	0.8296021558995782	0.192980701929807	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
ZEB1	4	13	0.8140002815011862	0.059994000599940006	chr1	211556065.0	211556179.0	sense	0.6636836316368363	0.1780388931873372	0.15
HIC2	2	11	0.8123978973772803	0.2313768623137686	chr1	211556065.0	211556179.0	sense	0.748178407965655	0.12599482946670945	0.15
MTF1	3	17	0.7809741604850837	0.0428957104289571	chr1	211556065.0	211556179.0	sense	0.5840415958404159	0.23355622103716858	0.15
Tcf12	1	12	0.7774091538942384	0.0785921407859214	chr1	211556065.0	211556179.0	antisense	0.6955404459554044	0.15767761053962934	0.15
TBP	4	19	0.7653967429650812	0.42795720427957207	chr1	211556065.0	211556179.0	antisense	0.8465653434656534	0.07233951456470739	0.15
TFCP2	1	11	0.7540739590930969	0.0928907109289071	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
IRF2	1	19	0.7394421164935393	0.1598840115988401	chr1	211556065.0	211556179.0	antisense	0.6970935559505274	0.15670893193579596	0.15
KLF13	5	23	0.7386222476210332	0.1267873212678732	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
ZBTB7B	2	14	0.7329249291085652	0.22227777222277773	chr1	211556065.0	211556179.0	antisense	0.748178407965655	0.12599482946670945	0.15
ETV6	5	15	0.7301831580440152	0.16698330166983302	chr1	211556065.0	211556179.0	antisense	0.6970935559505274	0.15670893193579596	0.15
Zfx	4	18	0.7273906756283525	0.30926907309269075	chr1	211556065.0	211556179.0	antisense	0.7733143352331433	0.11164393905905648	0.15
STAT1	1	12	0.7071765525335288	0.0872912708729127	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
NFYA	4	22	0.6901476860590907	0.2753724627537246	chr1	211556065.0	211556179.0	antisense	0.7706774777067747	0.11312733265871787	0.15
HSF2	2	15	0.6894148067309865	0.12658734126587343	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
Klf1	2	13	0.6832953244750357	0.23947605239476052	chr1	211556065.0	211556179.0	sense	0.748178407965655	0.12599482946670945	0.15
HSF1	2	15	0.6413848116813552	0.10848915108489152	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
ETV3	3	13	0.640894430599038	0.24527547245275472	chr1	211556065.0	211556179.0	sense	0.748178407965655	0.12599482946670945	0.15
CREB3	1	15	0.6396988460875838	0.22627737226277372	chr1	211556065.0	211556179.0	sense	0.748178407965655	0.12599482946670945	0.15
RREB1	3	23	0.6396719981637149	0.26207379262073793	chr1	211556065.0	211556179.0	sense	0.748178407965655	0.12599482946670945	0.15
TFAP2A(var.3)	7	20	0.6306885755833683	0.3123687631236876	chr1	211556065.0	211556179.0	antisense	0.7733143352331433	0.11164393905905648	0.15
TFE3	1	11	0.6277177922011385	0.39136086391360864	chr1	211556065.0	211556179.0	sense	0.8373608422290301	0.07708735202071174	0.15
MAFF	3	21	0.6215062454698378	0.5438456154384561	chr1	211556065.0	211556179.0	sense	0.9011211028429867	0.045216839695536935	0.15
PLAG1	3	17	0.6121038510250517	0.25337466253374663	chr1	211556065.0	211556179.0	antisense	0.748178407965655	0.12599482946670945	0.15
NFIX	5	14	0.6114029558758943	0.44625537446255376	chr1	211556065.0	211556179.0	sense	0.8465653434656534	0.07233951456470739	0.15
RUNX1	1	12	0.5946587767268129	0.4423557644235576	chr1	211556065.0	211556179.0	antisense	0.8465653434656534	0.07233951456470739	0.15
ETV1	3	13	0.5945353364177068	0.34436556344365565	chr1	211556065.0	211556179.0	sense	0.8127027297270274	0.09006828152513888	0.15
ELK1	3	13	0.5841997032266923	0.1730826917308269	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
Mitf	2	12	0.5796564205750256	0.6107389261073892	chr1	211556065.0	211556179.0	antisense	0.9183559585217947	0.036988951851139706	0.15
YY1	3	15	0.5728462507437744	0.28387161283871615	chr1	211556065.0	211556179.0	antisense	0.7706774777067747	0.11312733265871787	0.15
MYBL2	2	17	0.5693847431739752	0.2873712628737126	chr1	211556065.0	211556179.0	sense	0.7706774777067747	0.11312733265871787	0.15
ERF	5	15	0.558562220347675	0.24797520247975202	chr1	211556065.0	211556179.0	antisense	0.748178407965655	0.12599482946670945	0.15
ZNF143	7	23	0.5570109336028211	0.1745825417458254	chr1	211556065.0	211556179.0	sense	0.6970935559505274	0.15670893193579596	0.15
E2F8	1	13	0.5552443772193022	0.12148785121487851	chr1	211556065.0	211556179.0	sense	0.6966666969666669	0.15697494971991566	0.15
TCF3	5	15	0.5526062400980347	0.30546945305469453	chr1	211556065.0	211556179.0	sense	0.7733143352331433	0.11164393905905648	0.15
ETV4	3	13	0.5524072703002578	0.38006199380061995	chr1	211556065.0	211556179.0	sense	0.8372792350394591	0.07712967938719893	0.15
TBX19	2	22	0.5384766773695658	0.411958804119588	chr1	211556065.0	211556179.0	antisense	0.8465653434656534	0.07233951456470739	0.15
Crem	2	12	0.5326206626752621	0.2852714728527147	chr1	211556065.0	211556179.0	antisense	0.7706774777067747	0.11312733265871787	0.15
