motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	33	50	2.946534989476435	0.0037996200379962005	chr9	21994622.0	21994736.0	sense	0.29654177439398915	0.5279141181146993	0.15
ZBTB7A	38	50	2.1699283328643957	0.000999900009999	chr9	21994622.0	21994736.0	sense	0.17644235576442358	0.7533971523861497	0.15
TFAP2A(var.3)	40	53	2.155408726560702	0.0016998300169983002	chr9	21994622.0	21994736.0	antisense	0.17644235576442358	0.7533971523861497	0.15
TFAP2C(var.3)	40	53	2.1273751365170077	0.0016998300169983002	chr9	21994622.0	21994736.0	antisense	0.17644235576442358	0.7533971523861497	0.15
TFAP2B(var.3)	40	53	2.10654255378899	0.0015998400159984002	chr9	21994622.0	21994736.0	antisense	0.17644235576442358	0.7533971523861497	0.15
EGR1	32	46	1.9763050715051913	0.05449455054494551	chr9	21994622.0	21994736.0	antisense	0.7284493772844937	0.13760062361931985	0.15
Hes1	36	46	1.9388691877147148	0.08449155084491551	chr9	21994622.0	21994736.0	antisense	0.7284493772844937	0.13760062361931985	0.15
ZBTB7C	39	51	1.9223965713414684	0.0221977802219778	chr9	21994622.0	21994736.0	sense	0.64003599640036	0.19379560008107222	0.15
GLI2	39	51	1.8922975838846088	0.0012998700129987	chr9	21994622.0	21994736.0	sense	0.17644235576442358	0.7533971523861497	0.15
Tcfl5	36	46	1.8104120946995181	0.0680931906809319	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
ZIC4	37	52	1.7611660994013345	0.036096390360963904	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
KLF14	33	47	1.6742039654740322	0.013998600139986002	chr9	21994622.0	21994736.0	antisense	0.5588671902040565	0.25269138605700353	0.15
THAP1	34	43	1.6364893256836528	0.0655934406559344	chr9	21994622.0	21994736.0	antisense	0.7284493772844937	0.13760062361931985	0.15
ZNF263	32	53	1.6282581893089563	0.1317868213178682	chr9	21994622.0	21994736.0	sense	0.7371295128551661	0.1324562003678127	0.15
NRF1	33	44	1.6198174999964439	0.0093990600939906	chr9	21994622.0	21994736.0	sense	0.44346474443464745	0.3531409009869312	0.15
SP3	32	43	1.6178858228919346	0.09429057094290572	chr9	21994622.0	21994736.0	antisense	0.7284493772844937	0.13760062361931985	0.15
SP8	36	48	1.5650492822034925	0.0560943905609439	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
ZBTB7B	39	51	1.5454365921366624	0.0187981201879812	chr9	21994622.0	21994736.0	sense	0.5983166389243428	0.2230689194502027	0.15
RARA::RXRA	36	53	1.5334616313831104	0.028897110288971104	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
EGR4	37	53	1.5145807352968608	0.06319368063193681	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
E2F1	35	47	1.495436629582641	0.005699430056994301	chr9	21994622.0	21994736.0	sense	0.36975052494750527	0.432091200747857	0.15
EGR2	32	43	1.4862656627082562	0.011898810118988102	chr9	21994622.0	21994736.0	antisense	0.5146235376462355	0.2885103540834988	0.15
Mitf	41	51	1.4568687122227253	0.046995300469953004	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
TFAP2A(var.2)	40	52	1.4459078095502653	0.07739226077392261	chr9	21994622.0	21994736.0	sense	0.7284493772844937	0.13760062361931985	0.15
ZNF740	33	43	1.3694882357495448	0.10358964103589641	chr9	21994622.0	21994736.0	antisense	0.7284493772844937	0.13760062361931985	0.15
