motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	41	58	1.017675308994324	0.0040995900409959	chrX	73164097.0	73164211.0	antisense	0.055051637693373526	1.2592297569716853	0.05
ETV4	43	53	0.8474011683699088	0.00039996000399960006	chrX	73164097.0	73164211.0	antisense	0.023497650234976502	1.6289755650051263	0.05
ETV5	43	53	0.7920389183570496	0.0014998500149985001	chrX	73164097.0	73164211.0	antisense	0.03524647535246475	1.4528843059494452	0.05
ELK3	43	53	0.7719974972828538	0.0004999500049995	chrX	73164097.0	73164211.0	antisense	0.023497650234976502	1.6289755650051263	0.05
NRL	46	57	0.7429165094046077	0.007899210078992101	chrX	73164097.0	73164211.0	antisense	0.08250286082502861	1.0835309918260474	0.05
HINFP	42	54	0.7046242839982917	0.0007999200079992001	chrX	73164097.0	73164211.0	sense	0.026854457411401716	1.5709836180274397	0.05
ELF3	42	55	0.7034168238545871	0.00029997000299970003	chrX	73164097.0	73164211.0	antisense	0.023497650234976502	1.6289755650051263	0.05
ETV6	43	53	0.6938026344867487	0.000999900009999	chrX	73164097.0	73164211.0	antisense	0.026854457411401716	1.5709836180274397	0.05
EGR1	45	59	0.6907827099729966	0.00019998000199980003	chrX	73164097.0	73164211.0	sense	0.023497650234976502	1.6289755650051263	0.05
ELK4	42	53	0.6809022154294747	0.0008999100089991	chrX	73164097.0	73164211.0	sense	0.026854457411401716	1.5709836180274397	0.05
ETV3	43	53	0.6224117529195449	0.0028997100289971	chrX	73164097.0	73164211.0	antisense	0.04856181048561811	1.3137051302265348	0.05
MZF1(var.2)	46	56	0.5914406726994101	0.0071992800719928	chrX	73164097.0	73164211.0	antisense	0.0796155678549792	1.0990020029601884	0.05
Hes1	45	55	0.5866663314434158	0.1024897510248975	chrX	73164097.0	73164211.0	sense	0.3105898365387342	0.5078127598352864	0.05
ELF1	43	55	0.5718268873700992	0.0021997800219978004	chrX	73164097.0	73164211.0	antisense	0.041355864413558645	1.3834628971909766	0.05
Gabpa	41	52	0.568042269465997	0.0047995200479952005	chrX	73164097.0	73164211.0	antisense	0.060153984601539846	1.220735599693277	0.05
ERF	43	53	0.5674316199969734	0.0030996900309969004	chrX	73164097.0	73164211.0	antisense	0.04856181048561811	1.3137051302265348	0.05
ELF4	43	55	0.5656186318909694	0.0021997800219978004	chrX	73164097.0	73164211.0	antisense	0.041355864413558645	1.3834628971909766	0.05
ELK1	43	53	0.5417138297200343	0.0034996500349965005	chrX	73164097.0	73164211.0	antisense	0.05061032358302631	1.295760885969744	0.05
