motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP2	74	89	1.6506039250447226	9.999000099990002e-05	chr9	21994352.0	21994466.0	sense	0.051894810518948106	1.2848760694284047	0.1
EGR1	74	88	1.1496780636022115	0.020997900209979003	chr9	21994352.0	21994466.0	sense	0.3606024012983317	0.4429713855804983	0.1
SP3	74	85	1.1461103627743086	0.0052994700529947	chr9	21994352.0	21994466.0	sense	0.2292020797920208	0.6397814458752406	0.1
SP8	74	86	1.1158653194138373	0.0013998600139986002	chr9	21994352.0	21994466.0	sense	0.1326200713262007	0.8773907428501369	0.1
SP4	71	88	1.0724311510915798	0.0006999300069993001	chr9	21994352.0	21994466.0	sense	0.09081591840815918	1.0418380207421105	0.1
SP1	74	85	1.0673290799200623	0.0020997900209979003	chr9	21994352.0	21994466.0	sense	0.1326200713262007	0.8773907428501369	0.1
ZNF263	70	91	1.0506220357434897	0.1591840815918408	chr9	21994352.0	21994466.0	antisense	0.6300986922584338	0.2005914217426502	0.1
PAX5	69	88	1.0376701605992333	0.008599140085991401	chr9	21994352.0	21994466.0	antisense	0.3022109553750507	0.5196897962091288	0.1
KLF16	74	85	1.0183067876720135	0.0028997100289971	chr9	21994352.0	21994466.0	sense	0.15049495050494952	0.8224780715294486	0.1
INSM1	78	90	1.0124131053510868	0.00029997000299970003	chr9	21994352.0	21994466.0	antisense	0.07784221577842217	1.1087848103727236	0.1
Zfx	71	85	0.9958303036715018	0.0018998100189981002	chr9	21994352.0	21994466.0	antisense	0.1326200713262007	0.8773907428501369	0.1
RREB1	70	90	0.9957115659071727	0.025897410258974102	chr9	21994352.0	21994466.0	sense	0.3606024012983317	0.4429713855804983	0.1
KLF14	73	87	0.9902406036188203	0.0022997700229977	chr9	21994352.0	21994466.0	sense	0.1326200713262007	0.8773907428501369	0.1
Hes1	79	89	0.9816674867147025	0.031596840315968405	chr9	21994352.0	21994466.0	antisense	0.36569624287571245	0.4368795015343314	0.1
ZIC4	75	90	0.9175252390289163	0.020097990200979902	chr9	21994352.0	21994466.0	sense	0.3606024012983317	0.4429713855804983	0.1
KLF5	74	84	0.9004144962422409	0.0052994700529947	chr9	21994352.0	21994466.0	sense	0.2292020797920208	0.6397814458752406	0.1
CTCF	72	91	0.8758014824807577	0.0115988401159884	chr9	21994352.0	21994466.0	antisense	0.32229408638083556	0.4917476630751084	0.1
KLF13	72	90	0.863279167780946	0.0022997700229977	chr9	21994352.0	21994466.0	sense	0.1326200713262007	0.8773907428501369	0.1
