motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
THAP1	2	11	3.1297746060935463	0.0006999300069993001	chr1	173837438.0	173837552.0	sense	0.026317368263173685	1.5797575423349448	0.05
E2F4	1	12	2.8308248235629296	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.018798120187981205	1.7258855780131828	0.05
E2F6	1	12	2.79943063785729	0.00019998000199980003	chr1	173837438.0	173837552.0	antisense	0.018798120187981205	1.7258855780131828	0.05
ZNF263	1	22	2.375703687077832	0.021097890210978902	chr1	173837438.0	173837552.0	antisense	0.3051079507433872	0.5155464750223269	0.05
STAT3	2	13	1.986736175629426	0.00039996000399960006	chr1	173837438.0	173837552.0	sense	0.025064160250641607	1.6009468414048829	0.05
HSF4	3	16	1.7891298422349475	0.0034996500349965005	chr1	173837438.0	173837552.0	sense	0.09399060093990601	1.026915573677164	0.05
Bcl6	2	16	1.7277610705380582	0.007499250074992501	chr1	173837438.0	173837552.0	sense	0.12816900128169	0.8922169997797078	0.05
STAT1	2	13	1.6818971882756817	0.0006999300069993001	chr1	173837438.0	173837552.0	sense	0.026317368263173685	1.5797575423349448	0.05
EGR1	2	16	1.6466018062636525	0.07979202079792021	chr1	173837438.0	173837552.0	sense	0.5357464253574643	0.27104071800467255	0.05
HSF2	3	16	1.4999587856481034	0.0038996100389961006	chr1	173837438.0	173837552.0	sense	0.09399060093990601	1.026915573677164	0.05
ZBTB18	2	15	1.453556610161121	0.0059994000599940004	chr1	173837438.0	173837552.0	sense	0.12532080125320802	0.901976837068864	0.05
ETV5	4	14	1.3969600182594573	0.032096790320967905	chr1	173837438.0	173837552.0	sense	0.35937582712317	0.44445113841258244	0.05
Gmeb1	1	18	1.389206408422427	0.3344665533446655	chr1	173837438.0	173837552.0	antisense	0.7959457218835078	0.09911654719978238	0.05
HSF1	3	16	1.388500188985942	0.003999600039996	chr1	173837438.0	173837552.0	sense	0.09399060093990601	1.026915573677164	0.05
NFIX	1	10	1.3589263469396655	0.04739526047395261	chr1	173837438.0	173837552.0	sense	0.4547354788330691	0.3422411604631828	0.05
MZF1(var.2)	3	13	1.3453143203131075	0.0740925907409259	chr1	173837438.0	173837552.0	antisense	0.5159039651590396	0.287431134192842	0.05
ETV4	4	14	1.3106666536336613	0.029197080291970802	chr1	173837438.0	173837552.0	sense	0.35937582712317	0.44445113841258244	0.05
E2F8	2	14	1.242157729885663	0.0066993300669933005	chr1	173837438.0	173837552.0	sense	0.12594740525947404	0.8998107753123564	0.05
