motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes2	53	66	0.5831820290384994	0.0663933606639336	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
TFAP2A	59	70	0.5656327173897936	0.019498050194980503	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
Hes1	52	62	0.5098819574118887	0.23127687231276872	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
SP2	55	70	0.4981186578461936	0.14978502149785022	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
HNF4G	56	71	0.4912139705308362	0.051894810518948106	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
TFAP2B	58	70	0.4826084660963492	0.0744925507449255	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
TFAP2C	58	70	0.4818194353849724	0.0852914708529147	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
E2F6	60	71	0.47405888027559384	0.06479352064793521	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
TFAP2A(var.2)	59	71	0.46829288896983384	0.10168983101689831	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
Stat6	56	71	0.46497751237125257	0.04279572042795721	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
TFAP2C(var.2)	59	70	0.4626393920605115	0.040695930406959305	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
E2F4	60	71	0.4611401483163578	0.0680931906809319	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Pparg::Rxra	51	66	0.45612237578850606	0.15598440155984403	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Gmeb1	51	68	0.4446228560417441	0.42075792420757924	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
REL	53	63	0.43463462219220145	0.039196080391960805	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
TFAP2B(var.2)	59	70	0.4337687122308733	0.0435956404359564	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
Myod1	52	65	0.4313103248641647	0.0430956904309569	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
RREB1	51	71	0.427234223514339	0.09609039096090391	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
GSC2	61	71	0.4241638191876324	0.14558544145585442	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
CTCF	52	71	0.4138167858448305	0.08159184081591841	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
RARA::RXRA	54	71	0.41102023715452707	0.10288971102889712	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Tcfl5	60	70	0.41029669130360097	0.3013698630136986	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
HIC2	51	60	0.4048513237442135	0.10388961103889612	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
PITX3	61	70	0.40266189611112974	0.0831916808319168	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
NR2F1	54	67	0.4008855473545364	0.08089191080891911	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Myb	61	71	0.3991311273854156	0.024797520247975203	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
CENPB	54	69	0.3939459231236198	0.132986701329867	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
KLF5	61	71	0.3885948263965545	0.1401859814018598	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
Rhox11	54	71	0.386940690687105	0.23647635236476353	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Gata4	53	64	0.3852916920091075	0.08659134086591341	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
Stat4	55	69	0.38390602264246343	0.0841915808419158	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
GSC	61	71	0.3814220474311518	0.1080891910808919	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
USF2	59	70	0.38096143939720106	0.026097390260973904	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
TBX5	63	71	0.3786457214603669	0.1277872212778722	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Myog	51	62	0.37675141542578267	0.0415958404159584	chr1	150488170.0	150488284.0	antisense	0.8024857935752091	0.09556264718041833	0.15
Klf1	60	71	0.36960155273584067	0.12268773122687732	chr1	150488170.0	150488284.0	sense	0.8024857935752091	0.09556264718041833	0.15
