motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
YY1	64	76	1.5899838458455255	0.00019998000199980003	chr13	50656285.0	50656399.0	antisense	0.035396460353964605	1.451040165251075	0.05
MAFF	68	86	1.280124908063054	0.030496950304969503	chr13	50656285.0	50656399.0	antisense	0.37362930373629305	0.42755906940155197	0.05
Hes1	68	78	1.211517353247921	0.17818218178182182	chr13	50656285.0	50656399.0	antisense	0.39916972158205866	0.39884240888904354	0.05
ATF4	71	84	1.18400670314635	0.0057994200579942	chr13	50656285.0	50656399.0	antisense	0.33184181581841815	0.4790688888513184	0.05
Mitf	69	79	1.1012311181075858	0.055594440555944404	chr13	50656285.0	50656399.0	antisense	0.37362930373629305	0.42755906940155197	0.05
TFAP2A	74	85	1.098485630981978	0.0211978802119788	chr13	50656285.0	50656399.0	antisense	0.37362930373629305	0.42755906940155197	0.05
Tcfl5	68	78	1.0882750089427056	0.16818318168183183	chr13	50656285.0	50656399.0	sense	0.39916972158205866	0.39884240888904354	0.05
Gmeb1	68	85	1.0840962187950896	0.3955604439556044	chr13	50656285.0	50656399.0	antisense	0.534459531146122	0.2720851736456785	0.05
MAX	68	78	1.0838282288648455	0.007499250074992501	chr13	50656285.0	50656399.0	sense	0.33184181581841815	0.4790688888513184	0.05
NFYB	69	84	1.042478694591359	0.0292970702929707	chr13	50656285.0	50656399.0	antisense	0.37362930373629305	0.42755906940155197	0.05
Myc	69	79	1.037777827555672	0.0037996200379962005	chr13	50656285.0	50656399.0	sense	0.33184181581841815	0.4790688888513184	0.05
THAP1	65	74	1.0294872521973224	0.10258974102589741	chr13	50656285.0	50656399.0	sense	0.37362930373629305	0.42755906940155197	0.05
Foxj3	69	86	1.02794140218969	0.08449155084491551	chr13	50656285.0	50656399.0	antisense	0.37362930373629305	0.42755906940155197	0.05
