motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes2	45	58	3.1508214018787806	0.0006999300069993001	chrX	73164003.0	73164117.0	sense	0.060543945605439464	1.2179292797977916	0.1
Tcf21	44	58	2.5996357768674154	9.999000099990002e-05	chrX	73164003.0	73164117.0	sense	0.051894810518948106	1.2848760694284047	0.1
FIGLA	46	56	2.1494462889021646	0.0010998900109989002	chrX	73164003.0	73164117.0	antisense	0.07135536446355366	1.1465733712621233	0.1
TAL1::TCF3	46	58	2.1185033994357196	0.0005999400059994001	chrX	73164003.0	73164117.0	antisense	0.060543945605439464	1.2179292797977916	0.1
Neurog1	46	56	2.1165686180190977	0.012698730126987301	chrX	73164003.0	73164117.0	antisense	0.16899079322836946	0.7721369554989472	0.1
SP2	43	58	2.1103950303988297	0.0108989101089891	chrX	73164003.0	73164117.0	antisense	0.1666096548239913	0.7782998353704668	0.1
Tcf12	46	57	1.950548986492309	0.0010998900109989002	chrX	73164003.0	73164117.0	sense	0.07135536446355366	1.1465733712621233	0.1
SCRT1	42	57	1.8851546858281143	0.0020997900209979003	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
Gmeb1	41	58	1.8604639779002001	0.15208479152084792	chrX	73164003.0	73164117.0	sense	0.6110321298697198	0.21393595267356602	0.1
MSC	46	56	1.8593579756577918	0.00029997000299970003	chrX	73164003.0	73164117.0	antisense	0.060543945605439464	1.2179292797977916	0.1
MYF6	46	56	1.8520623352229106	0.0004999500049995	chrX	73164003.0	73164117.0	antisense	0.060543945605439464	1.2179292797977916	0.1
TFAP4	46	56	1.839464373057066	0.0004999500049995	chrX	73164003.0	73164117.0	sense	0.060543945605439464	1.2179292797977916	0.1
Hes1	46	56	1.8029456726317177	0.12918708129187081	chrX	73164003.0	73164117.0	antisense	0.5936587375745184	0.2264631357908878	0.1
SNAI2	49	58	1.7978327120484232	0.0040995900409959	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
ETV5	46	56	1.791200428461685	0.008399160083991601	chrX	73164003.0	73164117.0	antisense	0.14061819624489164	0.8519584772007958	0.1
OLIG3	46	56	1.7750966440533458	0.0025997400259974	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
ETV1	46	56	1.7478316902533997	0.0047995200479952005	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
ZBTB18	45	58	1.7243515226496233	0.0022997700229977	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
ETV4	46	56	1.7187955640547612	0.0053994600539946005	chrX	73164003.0	73164117.0	antisense	0.09341065893410659	1.0296035643250987	0.1
ETV3	46	56	1.7138947034576597	0.004199580041995801	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
ELK3	46	56	1.687759119150972	0.0044995500449955	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
GCM1	47	58	1.6821665190726134	0.004899510048995101	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
TCF3	46	56	1.6787763900676587	0.0032996700329967	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
FEV	46	56	1.6755324141430687	0.0046995300469953	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
ZIC4	42	57	1.6652696811367995	0.0292970702929707	chrX	73164003.0	73164117.0	antisense	0.3167745725427457	0.4992496864498826	0.1
Myog	46	57	1.6536498860946078	0.0029997000299970002	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
ERG	46	56	1.6300493926393156	0.005099490050994901	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
Twist2	46	56	1.6267792737763502	0.0044995500449955	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
Myod1	43	56	1.6155026261799152	0.011498850114988501	chrX	73164003.0	73164117.0	antisense	0.1666096548239913	0.7782998353704668	0.1
Hmx1	39	56	1.6067802336191737	0.055194480551944806	chrX	73164003.0	73164117.0	antisense	0.4747987887778386	0.32349039761081627	0.1
ZIC3	42	57	1.605998614073002	0.011898810118988102	chrX	73164003.0	73164117.0	antisense	0.1666096548239913	0.7782998353704668	0.1
ETS1	46	56	1.5951565818114941	0.004999500049995001	chrX	73164003.0	73164117.0	antisense	0.09305276368914832	1.0312707236925618	0.1
Ascl2	46	56	1.5913299967948153	0.0028997100289971	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
Hmx3	39	56	1.5856222976533418	0.06059394060593941	chrX	73164003.0	73164117.0	antisense	0.4747987887778386	0.32349039761081627	0.1
Znf423	43	58	1.5703821389355663	0.0025997400259974	chrX	73164003.0	73164117.0	sense	0.09305276368914832	1.0312707236925618	0.1
