motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	69	79	2.0998142025259443	0.016998300169983	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
RUNX1	65	76	1.866826880460675	0.0022997700229977	chr14	101292375.0	101292489.0	antisense	0.15665100156651005	0.8050668240608075	0.15
NRL	65	76	1.4675988723894569	0.025897410258974102	chr14	101292375.0	101292489.0	sense	0.31486851314868514	0.5018707666403188	0.15
NRF1	67	78	1.3975017301591601	0.0024997500249975004	chr14	101292375.0	101292489.0	antisense	0.15665100156651005	0.8050668240608075	0.15
HINFP	68	80	1.3969858989945492	0.007699230076992301	chr14	101292375.0	101292489.0	antisense	0.24124254241242546	0.6175461032243446	0.15
PROX1	70	82	1.3703923755948488	0.000999900009999	chr14	101292375.0	101292489.0	sense	0.15665100156651005	0.8050668240608075	0.15
STAT3	66	77	1.36872241483035	0.0034996500349965005	chr14	101292375.0	101292489.0	antisense	0.16448355164483552	0.7838775249908696	0.15
YY1	70	82	1.3094988928004538	0.007099290070992901	chr14	101292375.0	101292489.0	sense	0.24124254241242546	0.6175461032243446	0.15
Bcl6	66	80	1.2392489521506769	0.021497850214978503	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
HNF4G	65	80	1.2171975086297246	0.029897010298970104	chr14	101292375.0	101292489.0	sense	0.31539068315390684	0.5011511401593383	0.15
Stat6	63	78	1.1787592196218954	0.026797320267973202	chr14	101292375.0	101292489.0	sense	0.31486851314868514	0.5018707666403188	0.15
NR2C2	65	80	1.1662066863710994	0.0156984301569843	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
THAP1	71	80	1.157749579819124	0.0953904609539046	chr14	101292375.0	101292489.0	sense	0.4596587960251594	0.33756442481380505	0.15
ZBTB7B	71	83	1.1397894604005216	0.0231976802319768	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
CTCF	64	83	1.1092286028075873	0.034896510348965105	chr14	101292375.0	101292489.0	sense	0.34529178661081267	0.46181375200683183	0.15
TCF3	69	79	1.096310464235098	0.022797720227977204	chr14	101292375.0	101292489.0	antisense	0.3115117059722599	0.5065256288005211	0.15
ZBTB18	67	80	1.0243187248740306	0.0230976902309769	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
MZF1(var.2)	72	82	1.0218187644075916	0.06409359064093591	chr14	101292375.0	101292489.0	sense	0.4170832916708329	0.3797772076140135	0.15
HLTF	70	80	1.0138361129349045	0.11358864113588642	chr14	101292375.0	101292489.0	antisense	0.4642318376857967	0.33326507831975677	0.15
Nr2f6	66	80	0.970571509556398	0.0301969803019698	chr14	101292375.0	101292489.0	sense	0.31539068315390684	0.5011511401593383	0.15
JUN(var.2)	69	83	0.9700415200603735	0.059394060593940604	chr14	101292375.0	101292489.0	sense	0.4170832916708329	0.3797772076140135	0.15
ZBTB7A	63	75	0.957460006236344	0.07749225077492251	chr14	101292375.0	101292489.0	sense	0.42848656310839506	0.36806279254912766	0.15
Crem	72	82	0.9246320995679139	0.0390960903909609	chr14	101292375.0	101292489.0	antisense	0.3500030949286024	0.45592811535123523	0.15
MTF1	67	81	0.9160221010286603	0.0193980601939806	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
ZNF143	67	83	0.9064579491129816	0.020997900209979003	chr14	101292375.0	101292489.0	sense	0.3115117059722599	0.5065256288005211	0.15
CENPB	67	82	0.8973162464185824	0.1227877212278772	chr14	101292375.0	101292489.0	sense	0.4706760093221447	0.32727793741580885	0.15
NR2F1	64	77	0.8959539010258364	0.08649135086491351	chr14	101292375.0	101292489.0	sense	0.4596587960251594	0.33756442481380505	0.15
Zfx	65	79	0.8857256322151685	0.1284871512848715	chr14	101292375.0	101292489.0	antisense	0.4706760093221447	0.32727793741580885	0.15
CREB3	69	83	0.8753644082453232	0.06509349065093491	chr14	101292375.0	101292489.0	antisense	0.4170832916708329	0.3797772076140135	0.15
MAFK	65	80	0.8746778659182074	0.12668733126687332	chr14	101292375.0	101292489.0	antisense	0.4706760093221447	0.32727793741580885	0.15
TEAD4	70	80	0.869206326278207	0.13018698130186981	chr14	101292375.0	101292489.0	antisense	0.4706760093221447	0.32727793741580885	0.15
USF1	68	79	0.8619086872433039	0.058694130586941305	chr14	101292375.0	101292489.0	antisense	0.4170832916708329	0.3797772076140135	0.15
