motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
NFYA	7	25	5.12688642125687	9.999000099990002e-05	chr3	169482812.0	169482926.0	antisense	0.009399060093990603	2.026915573677164	0.05
NFYB	4	19	5.109160635425525	9.999000099990002e-05	chr3	169482812.0	169482926.0	sense	0.009399060093990603	2.026915573677164	0.05
LBX2	10	20	4.594614660196235	0.0005999400059994001	chr3	169482812.0	169482926.0	sense	0.028197180281971802	1.5497943189575016	0.05
Gfi1	11	21	3.945591590646557	0.00019998000199980003	chr3	169482812.0	169482926.0	sense	0.012532080125320803	1.901976837068864	0.05
NFIX	7	16	3.5048446673189635	0.0013998600139986002	chr3	169482812.0	169482926.0	sense	0.05263473652634737	1.2787275466709636	0.05
Arid5a	7	21	3.101439091030984	0.004999500049995001	chr3	169482812.0	169482926.0	antisense	0.11748825117488253	0.9300055606691076	0.05
SOX9	9	18	2.80409741494986	0.0032996700329967	chr3	169482812.0	169482926.0	antisense	0.10338966103389662	0.985522888518939	0.05
MIXL1	10	20	2.5979411243618062	0.020597940205979402	chr3	169482812.0	169482926.0	sense	0.30494728304947283	0.5157752316680706	0.05
NRL	6	17	2.5475118153866796	0.0332966703329667	chr3	169482812.0	169482926.0	antisense	0.3186281371862814	0.4967158754740818	0.05
Hes1	13	23	2.3991128797636003	0.1331866813318668	chr3	169482812.0	169482926.0	antisense	0.5007819218078192	0.30035135751491937	0.05
CENPB	6	21	2.3334914297190483	0.015298470152984701	chr3	169482812.0	169482926.0	antisense	0.26146476261464763	0.582586832353809	0.05
NFIA	7	17	2.182337090768811	0.009599040095990401	chr3	169482812.0	169482926.0	sense	0.18046195380461955	0.7436143449736143	0.05
Gmeb1	9	26	2.1315354082493903	0.27647235276472354	chr3	169482812.0	169482926.0	antisense	0.6338557155520403	0.19800958923324294	0.05
FOXH1	10	21	2.117685083855202	0.004899510048995101	chr3	169482812.0	169482926.0	sense	0.11748825117488253	0.9300055606691076	0.05
HIC2	8	17	2.098890707876569	0.027697230276972302	chr3	169482812.0	169482926.0	sense	0.30494728304947283	0.5157752316680706	0.05
MNX1	10	20	1.9693589494677584	0.0365963403659634	chr3	169482812.0	169482926.0	sense	0.32762438041910097	0.4846237873526914	0.05
REL	8	18	1.909597691646844	0.0282971702829717	chr3	169482812.0	169482926.0	sense	0.30494728304947283	0.5157752316680706	0.05
THAP1	15	24	1.8878361116104339	0.11098890110988902	chr3	169482812.0	169482926.0	antisense	0.45360681323172036	0.3433204309080994	0.05
HNF1A	9	24	1.8058316282204427	0.027497250274972504	chr3	169482812.0	169482926.0	antisense	0.30494728304947283	0.5157752316680706	0.05
MZF1(var.2)	8	18	1.731404958432715	0.0423957604239576	chr3	169482812.0	169482926.0	antisense	0.34463220344632206	0.46264414323860137	0.05
SRY	7	16	1.6929196849734691	0.043995600439956005	chr3	169482812.0	169482926.0	sense	0.34463220344632206	0.46264414323860137	0.05
Tcfl5	13	23	1.6687388448281342	0.3193680631936806	chr3	169482812.0	169482926.0	sense	0.6571342865713429	0.18234587251383855	0.05
MAFG	4	25	1.6322846406517917	0.08209179082091791	chr3	169482812.0	169482926.0	antisense	0.44095019069521624	0.3556104652440176	0.05
E2F1	4	16	1.608999318156914	0.0734926507349265	chr3	169482812.0	169482926.0	antisense	0.418685404186854	0.3781121788068754	0.05
FOXA1	6	21	1.6010123048704754	0.06579342065793421	chr3	169482812.0	169482926.0	antisense	0.40944655534446556	0.38780277823507936	0.05
HNF1B	10	23	1.5993831972525556	0.0268973102689731	chr3	169482812.0	169482926.0	antisense	0.30494728304947283	0.5157752316680706	0.05
PLAG1	7	21	1.5880902469637734	0.0071992800719928	chr3	169482812.0	169482926.0	sense	0.1503849615038496	0.8227955910212392	0.05
PPARG	6	26	1.4824605245640374	0.06869313068693131	chr3	169482812.0	169482926.0	sense	0.40944655534446556	0.38780277823507936	0.05
Foxa2	5	17	1.4818300036065433	0.0552944705529447	chr3	169482812.0	169482926.0	antisense	0.37864784950076424	0.42176450537205973	0.05
Zfx	7	21	1.4583797472411988	0.1070892910708929	chr3	169482812.0	169482926.0	antisense	0.44739526047395256	0.3493086209566709	0.05
NFATC3	6	16	1.4431021681600318	0.16178382161783822	chr3	169482812.0	169482926.0	sense	0.5052706850527069	0.2964758980593438	0.05
KLF16	10	21	1.4251181980163818	0.023997600239976002	chr3	169482812.0	169482926.0	sense	0.30494728304947283	0.5157752316680706	0.05
HMBOX1	6	16	1.4137457960598696	0.1613838616138386	chr3	169482812.0	169482926.0	antisense	0.5052706850527069	0.2964758980593438	0.05
TEAD1	10	20	1.4131444575276257	0.1287871212878712	chr3	169482812.0	169482926.0	sense	0.49412201636979153	0.30616579501790325	0.05
Npas2	13	23	1.3599257799895117	0.10618938106189381	chr3	169482812.0	169482926.0	antisense	0.44739526047395256	0.3493086209566709	0.05
Gabpa	10	21	1.3323991142087956	0.08839116088391161	chr3	169482812.0	169482926.0	antisense	0.44739526047395256	0.3493086209566709	0.05
ONECUT2	9	23	1.325195376187326	0.07829217078292171	chr3	169482812.0	169482926.0	sense	0.4329096502114494	0.36360273299749457	0.05
POU2F1	5	17	1.311923663106599	0.1633836616338366	chr3	169482812.0	169482926.0	sense	0.5052706850527069	0.2964758980593438	0.05
NR2F1	5	18	1.3096371924956949	0.1511848815118488	chr3	169482812.0	169482926.0	sense	0.5052706850527069	0.2964758980593438	0.05
YY1	7	19	1.2978758436746087	0.10548945105489452	chr3	169482812.0	169482926.0	antisense	0.44739526047395256	0.3493086209566709	0.05
TBX19	6	26	1.2855540743892524	0.1434856514348565	chr3	169482812.0	169482926.0	sense	0.5052706850527069	0.2964758980593438	0.05
NFAT5	6	16	1.262061437868708	0.15498450154984503	chr3	169482812.0	169482926.0	sense	0.5052706850527069	0.2964758980593438	0.05
RORA	4	14	1.2532135579993182	0.09059094090590941	chr3	169482812.0	169482926.0	sense	0.44739526047395256	0.3493086209566709	0.05
mix-a	10	21	1.2449970333502685	0.09049095090490951	chr3	169482812.0	169482926.0	antisense	0.44739526047395256	0.3493086209566709	0.05
HNF4G	6	21	1.2270887067167564	0.23007699230076992	chr3	169482812.0	169482926.0	sense	0.5767263273672633	0.2390302227362395	0.05
