unique_id	MPRA_mean_activ	MPRA_tissue_sp	avg_tf_tissue_sp	log_avg_tf_tissue_sp	num_motifs	log_num_motifs	num_bp_covered	log_num_bp_covered	max_coverage	log_max_coverage
CONTROL_BUT_HAS_SNP__control.flip.sense__chr11:5248266..5248380,-__1715.1.0.0	-1.9747116207046027	0.38672072773750016	0.2493829973675071	0.22264982734659344	10	2.3978952727983707	45	3.828641396489095	6	1.9459101490553132
CONTROL_BUT_HAS_SNP__control.flip.sense__chr16:67993585..67993700,+__2318.1.0.0	-0.7007924050054823	0.16501909521393976	0.41690896709475656	0.3484777152395945	53	3.9889840465642745	101	4.624972813284271	24	3.2188758248682006
CONTROL_BUT_HAS_SNP__control.flip.sense__chr17:33571488..33571603,+__2316.1.0.0	-0.8867223295849737	0.26122474486191966	0.4295984940535514	0.35739363145846326	24	3.2188758248682006	84	4.442651256490317	12	2.5649493574615367
CONTROL_BUT_HAS_SNP__control.flip.sense__chr17:76375037..76375152,+__2319.1.0.0	-1.4452089395587073	0.26562172491875174	0.435871110106426	0.36177171040440753	13	2.6390573296152584	54	4.007333185232471	9	2.302585092994046
CONTROL_BUT_HAS_SNP__control.flip.sense__chr1:153518247..153518361,-__1714.1.0.0	-1.0629725980451834	0.11743836953947384	0.4621811063928575	0.3799292294373239	16	2.833213344056216	99	4.605170185988092	5	1.791759469228055
CONTROL_BUT_HAS_SNP__control.flip.sense__chr2:61378128..61378243,+__2317.1.0.0	-1.8646790806455316	0.38532157124830396	0.4034285008064833	0.3389181720283588	15	2.772588722239781	43	3.784189633918261	7	2.0794415416798357
CONTROL_BUT_HAS_SNP__control.flip.sense__chr9:104195642..104195756,+__2320.1.0.0	-1.8509388417613633	0.40564250388141176	0.5429239792093836	0.4336793039945166	32	3.4965075614664802	93	4.543294782270004	11	2.4849066497880004
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	1.4000562770744425	0.1290867619642133	0.4056056078528716	0.3404682475333834	48	3.8918202981106265	83	4.430816798843313	19	2.995732273553991
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	-0.05456837853854077	0.21508529919674688	0.4069737757322781	0.3414411395308914	41	3.7376696182833684	84	4.442651256490317	16	2.833213344056216
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	1.3788496004279145	0.12647576944976846	0.35802977555971216	0.30603495493421196	10	2.3978952727983707	77	4.356708826689592	3	1.3862943611198906
