motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ZBTB7A	9	21	0.7424923240166534	0.0098990100989901	chr9	21994716.0	21994830.0	sense	0.3634303236343032	0.439578839169908	0.15
ATF7	8	22	0.7179905993691533	0.0006999300069993001	chr9	21994716.0	21994830.0	sense	0.13158684131586842	0.8807875379989258	0.15
CREB3	8	22	0.6998194459154884	0.005099490050994901	chr9	21994716.0	21994830.0	antisense	0.3634303236343032	0.439578839169908	0.15
Hes1	2	12	0.6637260266013806	0.20837916208379162	chr9	21994716.0	21994830.0	sense	0.5037420308602051	0.2977918112842123	0.15
ZBTB7B	10	22	0.6380647749607167	0.023997600239976002	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
XBP1	9	23	0.6174966584039644	0.0115988401159884	chr9	21994716.0	21994830.0	antisense	0.3634303236343032	0.439578839169908	0.15
Nfe2l2	6	21	0.6093580242026052	0.020497950204979503	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
THAP1	10	19	0.5982970578420322	0.126987301269873	chr9	21994716.0	21994830.0	sense	0.459357700593577	0.3378489987896202	0.15
EGR1	4	18	0.5876459511044186	0.12168783121687832	chr9	21994716.0	21994830.0	sense	0.45754624537546246	0.33956500411913665	0.15
SP3	10	21	0.5792359601029353	0.11828817118288171	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
MAFG	2	23	0.5649124457933047	0.04279572042795721	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
KLF5	2	12	0.5632045966797962	0.0392960703929607	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
SP1	2	13	0.5440627987474647	0.0654934506549345	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
PLAG1	4	18	0.5409732584100777	0.03849615038496151	chr9	21994716.0	21994830.0	antisense	0.45690941109970634	0.340169896558919	0.15
Creb5	9	21	0.5376416559029528	0.008799120087991202	chr9	21994716.0	21994830.0	antisense	0.3634303236343032	0.439578839169908	0.15
NRL	4	15	0.5357447756201195	0.13068693130686931	chr9	21994716.0	21994830.0	sense	0.459357700593577	0.3378489987896202	0.15
Gmeb1	6	23	0.528914940237796	0.5697430256974303	chr9	21994716.0	21994830.0	antisense	0.7368351600214128	0.13262965881696476	0.15
HIC2	10	19	0.516023168693718	0.0861913808619138	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
NFIX	14	23	0.5124099549358991	0.0827917208279172	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
NR2C2	4	19	0.5063561363317438	0.07599240075992401	chr9	21994716.0	21994830.0	antisense	0.45690941109970634	0.340169896558919	0.15
JDP2(var.2)	9	21	0.4961707709649744	0.0091990800919908	chr9	21994716.0	21994830.0	sense	0.3634303236343032	0.439578839169908	0.15
YY1	6	18	0.49380855433729615	0.041995800419958006	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
HINFP	11	23	0.491320023281093	0.08849115088491151	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
ZBTB33	2	17	0.48787733902908687	0.11348865113488651	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
E2F1	9	21	0.47605849621587754	0.060493950604939506	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
Rfx1	4	18	0.47120744894347044	0.07549245075492451	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
RFX3	3	19	0.4653815707130469	0.07119288071192881	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
Tcfl5	2	12	0.4626913047861114	0.3975602439756024	chr9	21994716.0	21994830.0	sense	0.6629149050906875	0.17854221612221172	0.15
NR2F1	7	20	0.4625191476402112	0.1105889411058894	chr9	21994716.0	21994830.0	antisense	0.45690941109970634	0.340169896558919	0.15
TFE3	5	15	0.45734117988648737	0.11898810118988101	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
RREB1	3	23	0.45530939617038924	0.13438656134386562	chr9	21994716.0	21994830.0	sense	0.459357700593577	0.3378489987896202	0.15
JUND	9	20	0.45104934073386643	0.020097990200979902	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
MAFF	5	23	0.44992398847747794	0.2685731426857314	chr9	21994716.0	21994830.0	antisense	0.5737698957376989	0.24126224183065495	0.15
CENPB	4	19	0.44742312161840364	0.1932806719328067	chr9	21994716.0	21994830.0	sense	0.4902549745025498	0.3095779909533002	0.15
NFYB	7	22	0.43973813892307323	0.17268273172682733	chr9	21994716.0	21994830.0	sense	0.4902549745025498	0.3095779909533002	0.15
Crem	11	21	0.4347257710768827	0.0463953604639536	chr9	21994716.0	21994830.0	antisense	0.45690941109970634	0.340169896558919	0.15
USF1	5	16	0.4290722826260019	0.07219278072192781	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
Nr2f6	4	18	0.4250607920419861	0.0741925807419258	chr9	21994716.0	21994830.0	antisense	0.45690941109970634	0.340169896558919	0.15
Zfx	4	18	0.4201531259862409	0.22757724227577242	chr9	21994716.0	21994830.0	sense	0.5348065193480652	0.2718033072820928	0.15
TEAD4	12	22	0.41838247701240644	0.18538146185381463	chr9	21994716.0	21994830.0	sense	0.4902549745025498	0.3095779909533002	0.15
NRF1	10	21	0.41810793187108897	0.10128987101289871	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
JUND(var.2)	6	21	0.41583146696979384	0.16748325167483252	chr9	21994716.0	21994830.0	sense	0.4902549745025498	0.3095779909533002	0.15
TEAD1	12	22	0.41188773298580655	0.2116788321167883	chr9	21994716.0	21994830.0	sense	0.5037420308602051	0.2977918112842123	0.15
JUN(var.2)	5	19	0.41135308279413363	0.1713828617138286	chr9	21994716.0	21994830.0	sense	0.4902549745025498	0.3095779909533002	0.15
PROX1	9	21	0.40798910534055066	0.040195980401959805	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
RFX2	3	19	0.40519236595101094	0.0643935606439356	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
TFEB	5	15	0.4014114308315893	0.098990100989901	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
ZNF740	12	22	0.4005651205811055	0.18088191180881913	chr9	21994716.0	21994830.0	sense	0.4902549745025498	0.3095779909533002	0.15
RFX5	3	19	0.39666592437134046	0.0680931906809319	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
FOSL1	9	20	0.39580066177054535	0.0514948505149485	chr9	21994716.0	21994830.0	sense	0.45690941109970634	0.340169896558919	0.15
