motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	28	45	4.389690313035775	0.0108989101089891	chr1	150488170.0	150488284.0	sense	0.1286071392860714	0.8907349220301136	0.05
Hes1	33	43	4.200968824883428	0.0108989101089891	chr1	150488170.0	150488284.0	antisense	0.1286071392860714	0.8907349220301136	0.05
Tcfl5	35	45	4.033834096140164	0.007399260073992601	chr1	150488170.0	150488284.0	sense	0.11906082119060821	0.9242311263423049	0.05
NRF1	33	44	3.8789036878183545	0.00029997000299970003	chr1	150488170.0	150488284.0	antisense	0.044245575442455755	1.3541301522430185	0.05
ETV5	33	43	3.2317283670931682	0.0032996700329967	chr1	150488170.0	150488284.0	sense	0.0991100889911009	1.0038821339088555	0.05
ZBTB18	31	44	3.2196853254460285	0.0008999100089991	chr1	150488170.0	150488284.0	sense	0.053094690530946904	1.2749489061953936	0.05
Myc	36	46	2.9890450184656827	0.0004999500049995	chr1	150488170.0	150488284.0	sense	0.044245575442455755	1.3541301522430185	0.05
Mitf	34	44	2.9755165041734988	0.0165983401659834	chr1	150488170.0	150488284.0	antisense	0.1468953104689531	0.8329920685389821	0.05
Tcf12	32	43	2.9702030911038153	0.0015998400159984002	chr1	150488170.0	150488284.0	antisense	0.07079292070792921	1.1500101695870937	0.05
ETV3	33	43	2.820040774352646	0.0038996100389961006	chr1	150488170.0	150488284.0	sense	0.0991100889911009	1.0038821339088555	0.05
HEY1	33	43	2.6757857776879383	0.004299570042995701	chr1	150488170.0	150488284.0	antisense	0.0991100889911009	1.0038821339088555	0.05
MAX	35	45	2.622828330274454	0.005499450054994501	chr1	150488170.0	150488284.0	sense	0.0991100889911009	1.0038821339088555	0.05
USF2	35	46	2.441905131273858	0.0047995200479952005	chr1	150488170.0	150488284.0	sense	0.0991100889911009	1.0038821339088555	0.05
CLOCK	33	43	2.4317477497386784	0.009999000099990002	chr1	150488170.0	150488284.0	sense	0.1286071392860714	0.8907349220301136	0.05
ETV4	33	43	2.378829540508732	0.015998400159984	chr1	150488170.0	150488284.0	sense	0.1468953104689531	0.8329920685389821	0.05
ETV1	33	43	2.341339990331717	0.0174982501749825	chr1	150488170.0	150488284.0	sense	0.1474852514748525	0.8312514069626808	0.05
TFE3	35	45	2.3250073558733724	0.033896610338966106	chr1	150488170.0	150488284.0	antisense	0.2003896384555093	0.6981247382835046	0.05
ELK1	33	43	2.3064215958927567	0.005599440055994401	chr1	150488170.0	150488284.0	sense	0.0991100889911009	1.0038821339088555	0.05
