motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ELF5	35	46	1.216485620625169	9.999000099990002e-05	chr3	169482079.0	169482193.0	antisense	0.025947405259474053	1.585906065092386	0.05
ETV4	35	45	1.0597881377524725	0.00039996000399960006	chr3	169482079.0	169482193.0	antisense	0.034596540345965404	1.460967328484086	0.05
ETV1	35	45	1.0555582905901295	0.00039996000399960006	chr3	169482079.0	169482193.0	antisense	0.034596540345965404	1.460967328484086	0.05
ELK3	35	45	1.0184784748789064	0.00039996000399960006	chr3	169482079.0	169482193.0	antisense	0.034596540345965404	1.460967328484086	0.05
ETV5	35	45	0.9540010936990155	0.0014998500149985001	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
Nr5a2	35	50	0.8964909111691779	0.0018998100189981002	chr3	169482079.0	169482193.0	sense	0.051894810518948106	1.2848760694284047	0.05
FEV	35	45	0.852271171641604	0.0013998600139986002	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
E2F4	36	47	0.8522364243890709	0.00019998000199980003	chr3	169482079.0	169482193.0	antisense	0.034596540345965404	1.460967328484086	0.05
ETV3	35	45	0.8477894061376751	0.0015998400159984002	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
THAP1	37	46	0.8385571175479193	0.009099090090990901	chr3	169482079.0	169482193.0	sense	0.13885368219934763	0.8574425988978499	0.05
EHF	35	47	0.8312421226871617	0.0017998200179982	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
Bcl6	37	51	0.8289047166634267	0.005099490050994901	chr3	169482079.0	169482193.0	sense	0.09126328746435702	1.0397038912294245	0.05
ETV2	35	46	0.82623771292648	0.0006999300069993001	chr3	169482079.0	169482193.0	antisense	0.047177100471771004	1.3262687545866298	0.05
ELF3	34	47	0.8199203993601362	0.0008999100089991	chr3	169482079.0	169482193.0	antisense	0.047177100471771004	1.3262687545866298	0.05
ELK4	34	45	0.8050546489480565	0.000999900009999	chr3	169482079.0	169482193.0	sense	0.047177100471771004	1.3262687545866298	0.05
ERF	35	45	0.8036203563015555	0.0013998600139986002	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
E2F6	36	47	0.7965303590435391	9.999000099990002e-05	chr3	169482079.0	169482193.0	antisense	0.025947405259474053	1.585906065092386	0.05
SPIC	35	49	0.7908684694222676	0.0029997000299970002	chr3	169482079.0	169482193.0	antisense	0.061874581772591974	1.20848772356495	0.05
Gabpa	33	44	0.7739159915437731	0.0015998400159984002	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
Stat4	34	48	0.7730303029280439	0.0071992800719928	chr3	169482079.0	169482193.0	antisense	0.12454754524547546	0.9046648277167988	0.05
SPDEF	35	46	0.7645857009773265	0.0020997900209979003	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
ELK1	35	45	0.7596533390366352	0.000999900009999	chr3	169482079.0	169482193.0	antisense	0.047177100471771004	1.3262687545866298	0.05
Stat6	35	50	0.742498580864781	0.009799020097990201	chr3	169482079.0	169482193.0	sense	0.13885368219934763	0.8574425988978499	0.05
ERG	35	45	0.735927053614217	0.0026997300269973002	chr3	169482079.0	169482193.0	antisense	0.061874581772591974	1.20848772356495	0.05
SPIB	38	45	0.7340712747556224	0.0007999200079992001	chr3	169482079.0	169482193.0	antisense	0.047177100471771004	1.3262687545866298	0.05
ETS1	35	45	0.7160728476300761	0.0027997200279972004	chr3	169482079.0	169482193.0	antisense	0.061874581772591974	1.20848772356495	0.05
ELF1	35	47	0.6909799566875401	0.0036996300369963003	chr3	169482079.0	169482193.0	antisense	0.06857528532861	1.163832376703629	0.05
ELF4	35	47	0.6879096944938543	0.0035996400359964	chr3	169482079.0	169482193.0	antisense	0.06857528532861	1.163832376703629	0.05
SOX9	32	41	0.6865625810457181	0.011398860113988602	chr3	169482079.0	169482193.0	sense	0.1442928877843923	0.8407550748116677	0.05
FLI1	35	45	0.6850525481466937	0.0030996900309969004	chr3	169482079.0	169482193.0	antisense	0.061874581772591974	1.20848772356495	0.05
GSX2	33	43	0.684706584832837	0.0704929507049295	chr3	169482079.0	169482193.0	antisense	0.345149447319419	0.46199281770177636	0.05
NFATC1	35	45	0.6810147743652245	0.022897710228977103	chr3	169482079.0	169482193.0	sense	0.2350529652917061	0.6288342656341969	0.05
Tcfl5	36	46	0.6753069657459496	0.09759024097590241	chr3	169482079.0	169482193.0	sense	0.36672332766723326	0.43566146321931587	0.05
HLTF	31	41	0.6670374692920509	0.027197280271972803	chr3	169482079.0	169482193.0	antisense	0.2585473595497593	0.5874598931610077	0.05
NRL	35	46	0.6445659707834976	0.0832916708329167	chr3	169482079.0	169482193.0	sense	0.36326367363263673	0.439778029414148	0.05
Hand1::Tcf3	37	47	0.6439454776910205	0.019598040195980403	chr3	169482079.0	169482193.0	antisense	0.21190380961903812	0.673861235447516	0.05
GCM1	37	48	0.6424972474025997	0.0105989401059894	chr3	169482079.0	169482193.0	antisense	0.14104743371816664	0.8506348111901338	0.05
TCF3	36	46	0.6408700290560798	0.0131986801319868	chr3	169482079.0	169482193.0	sense	0.15930499973258486	0.7977705938021415	0.05
TCF4	36	46	0.6393556282075095	0.009099090090990901	chr3	169482079.0	169482193.0	sense	0.13885368219934763	0.8574425988978499	0.05
Pax2	36	44	0.6317331094541963	0.058394160583941604	chr3	169482079.0	169482193.0	sense	0.33303922355017246	0.4775046146370989	0.05
Hes1	32	42	0.6304490805748423	0.21187881211878812	chr3	169482079.0	169482193.0	antisense	0.4403013187053388	0.35625001382370325	0.05
Dmbx1	31	48	0.6184376073913235	0.06679332066793321	chr3	169482079.0	169482193.0	antisense	0.3390796842645833	0.4696982299096001	0.05
ZIC4	35	50	0.6144885788462661	0.024897510248975102	chr3	169482079.0	169482193.0	sense	0.24380769470222788	0.6129525919334575	0.05
IRF8	36	50	0.6118196980545115	0.001999800019998	chr3	169482079.0	169482193.0	antisense	0.051894810518948106	1.2848760694284047	0.05
STAT1	37	48	0.6080187601304436	0.0093990600939906	chr3	169482079.0	169482193.0	antisense	0.13885368219934763	0.8574425988978499	0.05
NFATC3	35	45	0.6059423464586697	0.031796820317968204	chr3	169482079.0	169482193.0	sense	0.2762143140524657	0.5587538190487712	0.05
STAT1::STAT2	34	49	0.5947187189678498	0.008899110088991101	chr3	169482079.0	169482193.0	sense	0.13885368219934763	0.8574425988978499	0.05
HMBOX1	33	43	0.5894210829304192	0.042495750424957505	chr3	169482079.0	169482193.0	sense	0.29976081339234495	0.5232251414670748	0.05
REL	32	42	0.5888937907031417	0.0230976902309769	chr3	169482079.0	169482193.0	sense	0.2350529652917061	0.6288342656341969	0.05
