motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ZNF263	30	51	1.2104811585771917	0.040695930406959305	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
HSF4	30	43	1.1276244664546011	0.0052994700529947	chr12	54362420.0	54362534.0	antisense	0.3712628737126288	0.4303184780507037	0.15
IRF2	29	47	1.093535757782193	0.006199380061993801	chr12	54362420.0	54362534.0	sense	0.3712628737126288	0.4303184780507037	0.15
Hes1	29	39	0.8888442222531957	0.25477452254774524	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
HSF2	30	43	0.87813793711697	0.010498950104989501	chr12	54362420.0	54362534.0	antisense	0.39476052394760525	0.40366628327926357	0.15
MAFF	30	48	0.8772519060777965	0.0710928907109289	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HSF1	30	43	0.8641663865542388	0.007899210078992101	chr12	54362420.0	54362534.0	antisense	0.3712628737126288	0.4303184780507037	0.15
REL	29	39	0.8554774075900472	0.028697130286971302	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
RELA	29	39	0.8186626007506603	0.0064993500649935	chr12	54362420.0	54362534.0	antisense	0.3712628737126288	0.4303184780507037	0.15
Tcfl5	29	39	0.7299966962193651	0.3056694330566943	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
ELF4	31	43	0.7144610794833027	0.030096990300969902	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
ELF1	31	43	0.691985784285078	0.0364963503649635	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
ELF3	31	44	0.6826543259674503	0.044495550444955505	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Zfx	37	51	0.6635206305872559	0.1740825917408259	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HNF4G	30	45	0.6622206748451551	0.1613838616138386	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
NFYA	29	47	0.6548830005764632	0.12568743125687432	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
MNT	29	39	0.648558257357658	0.07729227077292271	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
TCF7L2	30	44	0.6413359716455048	0.19568043195680432	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
YY1	30	42	0.6385308459615529	0.0810918908109189	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Gmeb1	31	48	0.62644038867323	0.6654334566543346	chr12	54362420.0	54362534.0	antisense	0.7989201079892011	0.09749664796287126	0.15
RREB1	29	49	0.6064627705339625	0.17398260173982602	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HEY1	29	39	0.5713348929740765	0.1171882811718828	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
NFIX	37	46	0.5540503380380288	0.2853714628537146	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Tcf7	30	42	0.553073176621653	0.14088591140885912	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
MZF1(var.2)	30	40	0.5471936973187612	0.2585741425857414	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
MIXL1	29	39	0.5379397899310371	0.43195680431956807	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HLTF	34	44	0.5247064071932785	0.37666233376662334	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
SOX9	30	39	0.5170586846584554	0.26707329267073293	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HMBOX1	29	39	0.5134182355803227	0.29547045295470453	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
Gata4	36	47	0.5103247495031168	0.20667933206679331	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
MAFK	32	47	0.5067226146949444	0.32986701329867013	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
LBX2	29	39	0.5052343315159262	0.48255174482551744	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
NFIA	37	47	0.5019411002065279	0.1436856314368563	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
PLAG1	37	51	0.5006070616710727	0.19568043195680432	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Nfe2l2	34	49	0.4888356712741495	0.2521747825217478	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
NRL	36	47	0.4707369585143229	0.5997400259974003	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
TP53	31	49	0.47017154953295137	0.17698230176982302	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
ATF4	29	42	0.46990462209850303	0.2081791820817918	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
SP3	36	47	0.46158338325452897	0.3204679532046795	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HIC2	38	47	0.45905011201913204	0.35366463353664634	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Nr2f6	31	45	0.45550807843360563	0.19978002199780023	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
NR3C1	29	46	0.45349448434086215	0.1810818918108189	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
REST	29	50	0.4436202556874794	0.1260873912608739	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Npas2	29	39	0.44145594746568156	0.2636736326367363	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
NRF1	39	50	0.4322844517829937	0.2722727727227277	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
Arid5a	29	43	0.42792647764233055	0.555944405559444	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
Rfx1	37	51	0.4264128366965926	0.36936306369363064	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
HINFP	38	50	0.4253901423874559	0.3555644435556444	chr12	54362420.0	54362534.0	antisense	0.7923731764754559	0.10107023468052419	0.15
E2F4	36	47	0.42289451647286247	0.2993700629937006	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
E2F6	36	47	0.4200714786935682	0.2900709929007099	chr12	54362420.0	54362534.0	sense	0.7923731764754559	0.10107023468052419	0.15
