motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
THAP1	62	71	3.413080735169286	0.005699430056994301	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
Gmeb1	52	69	2.7398937233983958	0.1100889911008899	chrX	73164003.0	73164117.0	sense	0.7790399531475424	0.10844026891720486	0.15
CTCF	52	71	2.5720225658176243	0.008799120087991202	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
Hes1	60	70	2.400502229821061	0.1730826917308269	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
ETV4	59	69	2.2985425088162166	0.0093990600939906	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
ETV1	59	69	2.2972380172754594	0.009999000099990002	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
ELK3	59	69	2.137010556278506	0.0112988701129887	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
TFAP2A	62	73	2.127781625651403	0.026797320267973202	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
ELK4	58	69	2.108817704025437	0.012798720127987202	chrX	73164003.0	73164117.0	sense	0.7790399531475424	0.10844026891720486	0.15
ETV5	59	69	2.069757808404102	0.031596840315968405	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
Hes2	56	69	2.0681310058159275	0.1852814718528147	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
Hoxb5	52	68	2.0551423507691364	0.0771922807719228	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
ELF5	59	70	2.039482547099522	0.0344965503449655	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
NFIX	64	73	1.9625814502870873	0.04739526047395261	chrX	73164003.0	73164117.0	sense	0.7790399531475424	0.10844026891720486	0.15
ETV3	63	73	1.9558311584777894	0.0156984301569843	chrX	73164003.0	73164117.0	sense	0.7790399531475424	0.10844026891720486	0.15
SP8	53	65	1.9067109423854507	0.0837916208379162	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
RARA::RXRA	53	70	1.8993889399191466	0.0633936606339366	chrX	73164003.0	73164117.0	sense	0.7790399531475424	0.10844026891720486	0.15
YY1	57	69	1.8517288203670434	0.020397960203979604	chrX	73164003.0	73164117.0	sense	0.7790399531475424	0.10844026891720486	0.15
E2F1	60	72	1.834108108863501	0.029997000299970003	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
ERG	59	69	1.7733828023120977	0.024997500249975	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
STAT3	60	71	1.7674833844288955	0.015898410158984102	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
TFAP2C(var.2)	59	70	1.7652020560577146	0.050094990500949906	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
FEV	59	69	1.7601267544345136	0.030396960303969604	chrX	73164003.0	73164117.0	antisense	0.7790399531475424	0.10844026891720486	0.15
