motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
YY1	78	90	9.034048266703076	9.999000099990002e-05	chrX	73164097.0	73164211.0	sense	0.017698230176982303	1.752070160915056	0.05
THAP1	80	89	4.992099634692116	0.0025997400259974	chrX	73164097.0	73164211.0	antisense	0.1533846615338466	0.8142180676639005	0.05
CTCF	72	91	4.499165098145709	0.0010998900109989002	chrX	73164097.0	73164211.0	sense	0.09734026597340267	1.011707471420812	0.05
TBP	75	90	4.078016854637902	0.019998000199980003	chrX	73164097.0	73164211.0	sense	0.3052944705529447	0.5152810615057631	0.05
Hes1	80	90	3.8247660632327958	0.09469053094690531	chrX	73164097.0	73164211.0	sense	0.40263473652634735	0.3950887599219248	0.05
NFIX	81	90	3.5709323536842015	0.014598540145985401	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
E2F1	81	93	3.480842981752935	0.007099290070992901	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
Arid5a	77	91	3.3947474789352157	0.048595140485951406	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
HLTF	78	88	3.271851275429444	0.026297370262973702	chrX	73164097.0	73164211.0	antisense	0.3256474352564744	0.48725233790551953	0.05
GATA2	73	87	3.125040432534597	0.013998600139986002	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
SP3	81	92	3.082309701388665	0.023397660233976603	chrX	73164097.0	73164211.0	antisense	0.31856814318568144	0.49679765581174995	0.05
Arid3b	73	84	3.029312808930085	0.027597240275972403	chrX	73164097.0	73164211.0	antisense	0.3256474352564744	0.48725233790551953	0.05
EGR1	78	92	2.982075136273	0.013298670132986702	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
NFIA	80	90	2.9351283302305067	0.008899110088991101	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
ALX3	76	86	2.916279723639585	0.0922907709229077	chrX	73164097.0	73164211.0	antisense	0.40263473652634735	0.3950887599219248	0.05
SP1	81	92	2.748832210719558	0.007799220077992201	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
HIC2	80	89	2.7285387086918376	0.040995900409959006	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
Gata1	73	84	2.659085365156177	0.013598640135986401	chrX	73164097.0	73164211.0	antisense	0.2583941605839416	0.5877173051306189	0.05
Mitf	78	88	2.4871207926008787	0.1493850614938506	chrX	73164097.0	73164211.0	antisense	0.4896510348965103	0.3101133232586446	0.05
ZBTB7A	78	90	2.4539482559351633	0.05169483051694831	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
TFAP2A	80	91	2.4205549447912027	0.05799420057994201	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
MZF1(var.2)	80	90	2.412026610739377	0.06179382061793821	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
NFATC1	74	84	2.391520102758393	0.13058694130586943	chrX	73164097.0	73164211.0	antisense	0.46327720169159553	0.3341590713123984	0.05
KLF13	76	94	2.3296860486261686	0.0206979302069793	chrX	73164097.0	73164211.0	antisense	0.3052944705529447	0.5152810615057631	0.05
NFATC3	74	84	2.311546445958906	0.11988801119888011	chrX	73164097.0	73164211.0	antisense	0.4514931485574847	0.3453488357519248	0.05
TFAP2A(var.3)	75	88	2.2285414589959354	0.0654934506549345	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
HOXB2	72	82	2.2248534368895143	0.2243775622437756	chrX	73164097.0	73164211.0	sense	0.5335688653356887	0.27280952018484206	0.05
HOXB3	76	86	2.1528319956691626	0.24417558244175583	chrX	73164097.0	73164211.0	antisense	0.5335688653356887	0.27280952018484206	0.05
Gabpa	75	86	2.1025064319756406	0.06189381061893811	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
Dmbx1	73	90	2.0772291000683274	0.18648135186481352	chrX	73164097.0	73164211.0	antisense	0.5157374887511249	0.2875712987542368	0.05
ELK4	74	85	2.069954766574996	0.05849415058494151	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
ZBTB7B	78	90	2.0566256297019256	0.06579342065793421	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
E2F4	83	94	2.0428848173106737	0.04889511048895111	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
HMBOX1	72	82	2.0066937456539735	0.1593840615938406	chrX	73164097.0	73164211.0	sense	0.5011393597482358	0.30004148620149573	0.05
USF1	76	87	1.9911340583841899	0.07089291070892911	chrX	73164097.0	73164211.0	antisense	0.38024379380243795	0.41993786560987695	0.05
SREBF2	82	92	1.952733190948095	0.043695630436956304	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
Myb	83	93	1.9074783461168623	0.05319468053194681	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
E2F6	83	94	1.9071322814747753	0.055694430556944306	chrX	73164097.0	73164211.0	sense	0.3639198580141986	0.4389942456210065	0.05
CENPB	74	89	1.8614524374299457	0.1765823417658234	chrX	73164097.0	73164211.0	antisense	0.5129585402115526	0.28991773524876874	0.05
ZNF740	81	91	1.8058018030186727	0.05449455054494551	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
ZNF263	72	93	1.8029897720091417	0.1947805219478052	chrX	73164097.0	73164211.0	sense	0.5304023443809465	0.2753945650153149	0.05
RFX3	75	91	1.7608368721358902	0.09679032096790322	chrX	73164097.0	73164211.0	antisense	0.40263473652634735	0.3950887599219248	0.05
KLF16	81	92	1.7273180331089817	0.0872912708729127	chrX	73164097.0	73164211.0	antisense	0.40263473652634735	0.3950887599219248	0.05
Tcf12	83	94	1.6967251286419265	0.09429057094290572	chrX	73164097.0	73164211.0	antisense	0.40263473652634735	0.3950887599219248	0.05
TEAD1	78	88	1.6913618179424204	0.21887811218878112	chrX	73164097.0	73164211.0	antisense	0.5335688653356887	0.27280952018484206	0.05
ETV3	74	84	1.6906175539645232	0.1745825417458254	chrX	73164097.0	73164211.0	antisense	0.5129585402115526	0.28991773524876874	0.05
TFAP2A(var.2)	79	91	1.690259887793673	0.2298770122987701	chrX	73164097.0	73164211.0	antisense	0.5335688653356887	0.27280952018484206	0.05
NR2C2	73	88	1.6850640716747272	0.10008999100089991	chrX	73164097.0	73164211.0	sense	0.40263473652634735	0.3950887599219248	0.05
Hmx3	73	90	1.662018051031361	0.3087691230876912	chrX	73164097.0	73164211.0	antisense	0.5940449433317537	0.22618069659691278	0.05
RFX2	75	91	1.635731189961168	0.057694230576942306	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
RFX5	75	91	1.591469305675943	0.06109389061093891	chrX	73164097.0	73164211.0	antisense	0.3639198580141986	0.4389942456210065	0.05
JUND(var.2)	78	93	1.5483220829062876	0.17678232176782321	chrX	73164097.0	73164211.0	sense	0.5129585402115526	0.28991773524876874	0.05
ETV5	74	84	1.5159414185186464	0.31926807319268075	chrX	73164097.0	73164211.0	sense	0.6019241825817419	0.2204582083435317	0.05
TCF3	77	87	1.5124029291186065	0.1832816718328167	chrX	73164097.0	73164211.0	antisense	0.5157374887511249	0.2875712987542368	0.05
ZBTB33	79	94	1.5041031735830077	0.25037496250374963	chrX	73164097.0	73164211.0	antisense	0.5339321489537793	0.2725139287527379	0.05
Mecom	74	88	1.504074056500428	0.11208879112088792	chrX	73164097.0	73164211.0	sense	0.44088257840882583	0.35567706209542654	0.05
SREBF1	82	92	1.4994064299887753	0.09729027097290271	chrX	73164097.0	73164211.0	antisense	0.40263473652634735	0.3950887599219248	0.05
TFE3	74	84	1.4640786982273215	0.41105889411058893	chrX	73164097.0	73164211.0	antisense	0.6581828303656121	0.1816534510825585	0.05
JUN	79	92	1.453387102004053	0.1586841315868413	chrX	73164097.0	73164211.0	sense	0.5011393597482358	0.30004148620149573	0.05
