motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
HMBOX1	24	34	2.706127369977609	0.0045995400459954	chr11	65266377.0	65266491.0	antisense	0.2172227221722272	0.6630947481537274	0.15
RORA(var.2)	24	38	2.651977801296628	0.0008999100089991	chr11	65266377.0	65266491.0	antisense	0.1691830816918308	0.771643068573858	0.15
GRHL1	25	37	2.559387702726005	0.0031996800319968005	chr11	65266377.0	65266491.0	antisense	0.2172227221722272	0.6630947481537274	0.15
SOX9	26	35	2.4216405444159443	0.009799020097990201	chr11	65266377.0	65266491.0	antisense	0.2172227221722272	0.6630947481537274	0.15
MYBL2	19	34	2.353002958055883	0.004999500049995001	chr11	65266377.0	65266491.0	sense	0.2172227221722272	0.6630947481537274	0.15
TFCP2	26	36	2.2882902051976526	0.006399360063993601	chr11	65266377.0	65266491.0	sense	0.2172227221722272	0.6630947481537274	0.15
HLTF	26	36	2.252085311684975	0.027097290270972903	chr11	65266377.0	65266491.0	sense	0.32074292570742924	0.49384291362835153	0.15
LBX2	28	38	2.1776612036331766	0.0665933406659334	chr11	65266377.0	65266491.0	antisense	0.44467277410190015	0.3519594602053872	0.15
ETV4	22	32	2.0441923954707653	0.014698530146985302	chr11	65266377.0	65266491.0	sense	0.2512112425121124	0.5999609284232318	0.15
TCF7L2	19	33	2.031978050168498	0.017298270172982702	chr11	65266377.0	65266491.0	antisense	0.2559436364055902	0.591855663958213	0.15
mix-a	28	39	2.0001106448865342	0.0084991500849915	chr11	65266377.0	65266491.0	antisense	0.2172227221722272	0.6630947481537274	0.15
ELK3	22	32	1.9693357521674235	0.0136986301369863	chr11	65266377.0	65266491.0	sense	0.2512112425121124	0.5999609284232318	0.15
REL	25	35	1.890669620182459	0.0306969303069693	chr11	65266377.0	65266491.0	antisense	0.3394719351594252	0.4691961239142703	0.15
Tcf7	21	33	1.801917259303117	0.0071992800719928	chr11	65266377.0	65266491.0	antisense	0.2172227221722272	0.6630947481537274	0.15
NR2F1	21	34	1.781164841421954	0.0392960703929607	chr11	65266377.0	65266491.0	antisense	0.3888242754671901	0.4102466285905851	0.15
ETV5	22	32	1.70043338462623	0.0660933906609339	chr11	65266377.0	65266491.0	sense	0.44467277410190015	0.3519594602053872	0.15
MIXL1	28	38	1.6971554244319758	0.1730826917308269	chr11	65266377.0	65266491.0	sense	0.6257605008729896	0.20359185377258812	0.15
Nkx3-1	28	37	1.6798066433962082	0.026597340265973404	chr11	65266377.0	65266491.0	sense	0.32074292570742924	0.49384291362835153	0.15
HNF4G	25	40	1.6591839137449573	0.0837916208379162	chr11	65266377.0	65266491.0	antisense	0.4773583247735832	0.32115549926079384	0.15
RORA	25	35	1.6203125577186264	0.027297270272972702	chr11	65266377.0	65266491.0	antisense	0.32074292570742924	0.49384291362835153	0.15
ETV6	27	37	1.607776130693828	0.0336966303369663	chr11	65266377.0	65266491.0	antisense	0.3519425835194258	0.4535281822451503	0.15
ETV3	22	32	1.5377906129231573	0.061993800619938005	chr11	65266377.0	65266491.0	sense	0.44467277410190015	0.3519594602053872	0.15
ERF	22	32	1.4339742037379906	0.04739526047395261	chr11	65266377.0	65266491.0	sense	0.4233663590162723	0.37328365428554267	0.15
Arid5a	25	39	1.3984053290467253	0.2830716928307169	chr11	65266377.0	65266491.0	antisense	0.7214413693765758	0.1417989576971214	0.15
RARA	22	40	1.3923483007086994	0.0103989601039896	chr11	65266377.0	65266491.0	antisense	0.2172227221722272	0.6630947481537274	0.15
Gabpa	23	34	1.3907807088542157	0.0685931406859314	chr11	65266377.0	65266491.0	sense	0.44467277410190015	0.3519594602053872	0.15
HSF4	26	39	1.3801015686033562	0.13208679132086792	chr11	65266377.0	65266491.0	antisense	0.5572598295725983	0.2539422622079963	0.15
Nr2f6	25	39	1.3643236557346616	0.050594940505949405	chr11	65266377.0	65266491.0	antisense	0.4233663590162723	0.37328365428554267	0.15
TEAD1	26	36	1.362014636626902	0.14728527147285272	chr11	65266377.0	65266491.0	sense	0.577754469451014	0.2382566861770147	0.15
ELK1	27	37	1.354149453622773	0.051794820517948204	chr11	65266377.0	65266491.0	antisense	0.4233663590162723	0.37328365428554267	0.15
JUND(var.2)	23	38	1.3509003180298018	0.11558844115588442	chr11	65266377.0	65266491.0	antisense	0.5571955624950325	0.2539923509551718	0.15
NFATC3	22	32	1.3325460360440349	0.1937806219378062	chr11	65266377.0	65266491.0	antisense	0.6647698866476989	0.17732866184570012	0.15
NFIX	22	31	1.318564598868078	0.24647535246475352	chr11	65266377.0	65266491.0	antisense	0.7060687870606879	0.15115298678723005	0.15
LIN54	22	31	1.3049723857086322	0.05549445055494451	chr11	65266377.0	65266491.0	sense	0.43470652934706533	0.36180383660211257	0.15
Nr2f6(var.2)	25	40	1.2992915272176284	0.017698230176982303	chr11	65266377.0	65266491.0	antisense	0.2559436364055902	0.591855663958213	0.15
MNX1	24	34	1.2901005505407181	0.21207879212078792	chr11	65266377.0	65266491.0	sense	0.6757764901475954	0.17019692113876514	0.15
FOXP1	24	39	1.2643128742917529	0.1311868813118688	chr11	65266377.0	65266491.0	sense	0.5572598295725983	0.2539422622079963	0.15
ELF4	27	39	1.2642622101844498	0.07429257074292571	chr11	65266377.0	65266491.0	antisense	0.4566124032758015	0.3404522956467549	0.15
STAT3	19	30	1.2537805564038427	0.11238876112388761	chr11	65266377.0	65266491.0	antisense	0.5560286076655493	0.2549028633969507	0.15
Foxq1	23	34	1.2518563069959172	0.060693930606939304	chr11	65266377.0	65266491.0	antisense	0.44467277410190015	0.3519594602053872	0.15
ELF3	26	39	1.2481597422066937	0.07529247075292471	chr11	65266377.0	65266491.0	antisense	0.4566124032758015	0.3404522956467549	0.15
NFKB2	22	35	1.2302547671598765	0.08139186081391861	chr11	65266377.0	65266491.0	antisense	0.4773583247735832	0.32115549926079384	0.15
TBX2	19	30	1.2265889283763562	0.24787521247875213	chr11	65266377.0	65266491.0	sense	0.7060687870606879	0.15115298678723005	0.15
ELF1	27	39	1.2217819522599302	0.08819118088191182	chr11	65266377.0	65266491.0	antisense	0.4855285899981431	0.3137851918880951	0.15
NRL	26	37	1.2204411852942845	0.47555244475552444	chr11	65266377.0	65266491.0	sense	0.8434326378682887	0.07394959733129905	0.15
STAT1	19	30	1.2042931804497665	0.09399060093990601	chr11	65266377.0	65266491.0	sense	0.49083980490839807	0.3090602251807714	0.15
HSF2	21	34	1.177106205756498	0.0903909609039096	chr11	65266377.0	65266491.0	sense	0.4855285899981431	0.3137851918880951	0.15
RUNX1	27	38	1.1599562108559744	0.2440755924407559	chr11	65266377.0	65266491.0	sense	0.7060687870606879	0.15115298678723005	0.15
Tcfl5	21	31	1.1402125521284971	0.6478352164783522	chr11	65266377.0	65266491.0	sense	0.8933297753027245	0.04898819043281812	0.15
HINFP	21	33	1.1361085416957457	0.1944805519448055	chr11	65266377.0	65266491.0	antisense	0.6647698866476989	0.17732866184570012	0.15
ELK4	26	37	1.130634893379435	0.1464853514648535	chr11	65266377.0	65266491.0	sense	0.577754469451014	0.2382566861770147	0.15
CENPB	21	36	1.1291528054478073	0.2588741125887411	chr11	65266377.0	65266491.0	sense	0.7143285671432856	0.14610198139637268	0.15
Tcf12	19	30	1.108110373206387	0.1496850314968503	chr11	65266377.0	65266491.0	sense	0.577754469451014	0.2382566861770147	0.15
SRY	28	37	1.105821396311184	0.23997600239976002	chr11	65266377.0	65266491.0	antisense	0.7060687870606879	0.15115298678723005	0.15
Rarg	24	40	1.1049867145936203	0.0413958604139586	chr11	65266377.0	65266491.0	antisense	0.38912108789121086	0.40991523255626505	0.15
JUN(var.2)	24	38	1.0847605074740536	0.25647435256474355	chr11	65266377.0	65266491.0	sense	0.7143285671432856	0.14610198139637268	0.15
TBP	25	40	1.0496295988915787	0.46395360463953605	chr11	65266377.0	65266491.0	antisense	0.8386853622330075	0.07640093675708227	0.15
XBP1	25	39	1.0470731423928432	0.21847815218478153	chr11	65266377.0	65266491.0	sense	0.6845648768456488	0.16458538709038578	0.15
Hes1	28	38	1.0111458107490918	0.8586141385861414	chr11	65266377.0	65266491.0	sense	0.9330312683017413	0.030103801673266924	0.15
HNF1A	24	39	1.0062066195260693	0.23267673232676733	chr11	65266377.0	65266491.0	antisense	0.7060687870606879	0.15115298678723005	0.15
Gfi1	29	39	1.0059787423120619	0.38876112388761125	chr11	65266377.0	65266491.0	antisense	0.7944249053355534	0.09994714910450109	0.15
NR2C2	25	40	1.0029966993892598	0.1832816718328167	chr11	65266377.0	65266491.0	antisense	0.650131213293765	0.18699898265175516	0.15
THAP1	29	38	1.002423014042546	0.5943405659434057	chr11	65266377.0	65266491.0	sense	0.8798112314752777	0.05561049821662077	0.15
ZNF263	19	40	0.9794515025411	0.15058494150584942	chr11	65266377.0	65266491.0	antisense	0.577754469451014	0.2382566861770147	0.15
ZBTB7A	20	32	0.9712053013561931	0.3057694230576942	chr11	65266377.0	65266491.0	sense	0.7383616068772869	0.13173089371945854	0.15
Esrra	24	35	0.9668478949019641	0.11188881111888811	chr11	65266377.0	65266491.0	antisense	0.5560286076655493	0.2549028633969507	0.15
Crem	29	39	0.9652741950090031	0.23847615238476152	chr11	65266377.0	65266491.0	antisense	0.7060687870606879	0.15115298678723005	0.15
ZBTB33	24	39	0.9517494654542648	0.34506549345065496	chr11	65266377.0	65266491.0	antisense	0.765321169032522	0.11615627377774541	0.15
Arntl	20	30	0.9293361438726816	0.3681631836816318	chr11	65266377.0	65266491.0	antisense	0.7776930172151324	0.1091918004900997	0.15
HSF1	21	34	0.9275110844780451	0.13338666133386662	chr11	65266377.0	65266491.0	sense	0.5572598295725983	0.2539422622079963	0.15
NFAT5	21	31	0.9240841697722247	0.34976502349765026	chr11	65266377.0	65266491.0	antisense	0.765321169032522	0.11615627377774541	0.15
Arid3b	29	40	0.9184290334170805	0.3585641435856414	chr11	65266377.0	65266491.0	sense	0.766023397660234	0.1157579649371874	0.15
TFAP4	19	29	0.9078625899548439	0.20887911208879112	chr11	65266377.0	65266491.0	sense	0.6757764901475954	0.17019692113876514	0.15
Sox6	29	39	0.8934667415407304	0.1683831616838316	chr11	65266377.0	65266491.0	sense	0.6207065567953008	0.20711366694748848	0.15
RELA	24	34	0.8910598606540705	0.15958404159584041	chr11	65266377.0	65266491.0	antisense	0.60003599640036	0.22182269533449098	0.15
Hnf4a	23	39	0.8824015049865519	0.127987201279872	chr11	65266377.0	65266491.0	antisense	0.5572598295725983	0.2539422622079963	0.15
TFE3	19	29	0.8694448665428673	0.5596440355964404	chr11	65266377.0	65266491.0	sense	0.867922963801181	0.06151882076912152	0.15
