motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
NRF1	12	23	7.273011141703341	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.010378962103789623	1.9838460737644235	0.05
TCF4	14	24	6.986565750742571	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.010378962103789623	1.9838460737644235	0.05
NHLH1	14	24	6.717510153305272	9.999000099990002e-05	chr20	47895099.0	47895213.0	sense	0.010378962103789623	1.9838460737644235	0.05
Gmeb1	7	24	6.0936565375378136	0.012898710128987101	chr20	47895099.0	47895213.0	sense	0.15789272136616125	0.8016378898990605	0.05
Hes1	14	24	5.683479847767885	0.0131986801319868	chr20	47895099.0	47895213.0	antisense	0.15789272136616125	0.8016378898990605	0.05
Hes2	10	23	5.574338398207321	0.006099390060993901	chr20	47895099.0	47895213.0	sense	0.09907191099071912	1.0040494598527105	0.05
TCF3	14	24	5.5595477625140575	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.010378962103789623	1.9838460737644235	0.05
Tcfl5	14	24	5.440961520283411	0.007099290070992901	chr20	47895099.0	47895213.0	sense	0.10527232990986615	0.9776857650596051	0.05
SNAI2	14	23	5.211678310032535	0.00029997000299970003	chr20	47895099.0	47895213.0	sense	0.02224063307954919	1.6528528547229993	0.05
EGR4	9	25	5.057548846943958	0.0015998400159984002	chr20	47895099.0	47895213.0	antisense	0.046128720461287215	1.336028591875786	0.05
TBX5	17	25	4.9313793654369675	0.0010998900109989002	chr20	47895099.0	47895213.0	sense	0.03567768223177683	1.4476033669261046	0.05
Myod1	11	24	4.887918906534804	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.010378962103789623	1.9838460737644235	0.05
Mitf	13	23	4.802745757289001	0.005099490050994901	chr20	47895099.0	47895213.0	sense	0.09452269058808406	1.0244639246726877	0.05
ID4	14	24	4.5913721895466875	0.0004999500049995	chr20	47895099.0	47895213.0	antisense	0.028830450288304506	1.540148574531711	0.05
FIGLA	14	24	4.5665220638530535	0.0014998500149985001	chr20	47895099.0	47895213.0	antisense	0.045789538693189503	1.3392337317509975	0.05
Ascl2	14	24	4.487256625890848	0.00029997000299970003	chr20	47895099.0	47895213.0	antisense	0.02224063307954919	1.6528528547229993	0.05
TBX4	17	25	4.427754914032974	0.0008999100089991	chr20	47895099.0	47895213.0	sense	0.03336094961932378	1.476761595667318	0.05
ZEB1	16	25	4.292758020842554	0.00039996000399960006	chr20	47895099.0	47895213.0	antisense	0.025947405259474053	1.585906065092386	0.05
Pparg::Rxra	8	23	4.253261299896359	0.014198580141985802	chr20	47895099.0	47895213.0	sense	0.15789272136616125	0.8016378898990605	0.05
Arntl	13	23	4.004521325355897	0.0030996900309969004	chr20	47895099.0	47895213.0	sense	0.07312450573124506	1.1359370564163385	0.05
MGA	17	25	3.954523741643956	0.0006999300069993001	chr20	47895099.0	47895213.0	sense	0.030271972802719732	1.5189592754617727	0.05
HEY2	14	24	3.954120746539773	0.0022997700229977	chr20	47895099.0	47895213.0	antisense	0.059679032096790326	1.2241782290747931	0.05
TBX21	16	26	3.926562104562186	0.0008999100089991	chr20	47895099.0	47895213.0	sense	0.03336094961932378	1.476761595667318	0.05
Myog	14	25	3.8186549945994024	0.0010998900109989002	chr20	47895099.0	47895213.0	sense	0.03567768223177683	1.4476033669261046	0.05
Tcf12	14	25	3.726279370354365	0.0016998300169983002	chr20	47895099.0	47895213.0	sense	0.04643219888537462	1.33318074900296	0.05
ISL2	7	15	3.6571315652252365	0.010498950104989501	chr20	47895099.0	47895213.0	antisense	0.14660283971602842	0.8338576172729474	0.05
TFE3	14	24	3.643666035930034	0.011998800119988001	chr20	47895099.0	47895213.0	antisense	0.15188725029936032	0.8184786801005155	0.05
MNT	14	24	3.614904061296112	0.0047995200479952005	chr20	47895099.0	47895213.0	sense	0.09417947094179471	1.0260437535588784	0.05
TBX1	17	25	3.5551754806623292	0.0006999300069993001	chr20	47895099.0	47895213.0	sense	0.030271972802719732	1.5189592754617727	0.05
MAX	14	24	3.522594035555135	0.004199580041995801	chr20	47895099.0	47895213.0	sense	0.0908159184081592	1.0418380207421103	0.05
TBX15	17	25	3.5104923274080213	0.0006999300069993001	chr20	47895099.0	47895213.0	sense	0.030271972802719732	1.5189592754617727	0.05
Npas2	14	24	3.467724906921763	0.0065993400659934	chr20	47895099.0	47895213.0	antisense	0.1007369851250169	0.9968110509287913	0.05
ARNT::HIF1A	15	23	3.4178578557505466	0.0046995300469953	chr20	47895099.0	47895213.0	sense	0.09417947094179471	1.0260437535588784	0.05
HEY1	14	24	3.367775515537108	0.006299370062993701	chr20	47895099.0	47895213.0	sense	0.09907191099071912	1.0040494598527105	0.05
TFEC	14	24	3.2659344304712077	0.0112988701129887	chr20	47895099.0	47895213.0	sense	0.14660283971602842	0.8338576172729474	0.05
NKX2-8	6	15	3.2042850404742786	0.013798620137986202	chr20	47895099.0	47895213.0	antisense	0.15789272136616125	0.8016378898990605	0.05
T	9	25	3.1827527613451716	0.004899510048995101	chr20	47895099.0	47895213.0	sense	0.09417947094179471	1.0260437535588784	0.05
HIC2	11	20	3.128822082375144	0.028697130286971302	chr20	47895099.0	47895213.0	sense	0.2567898382575535	0.5904221662573499	0.05
NFIX	10	19	3.076529363549242	0.0418958104189581	chr20	47895099.0	47895213.0	sense	0.33974883761623836	0.46884202044599665	0.05
HINFP	11	23	3.0621679591849653	0.019098090190980903	chr20	47895099.0	47895213.0	antisense	0.18897544207843367	0.7235946300214201	0.05
Neurog1	14	24	3.0551536076269934	0.1141885811418858	chr20	47895099.0	47895213.0	antisense	0.608584596085846	0.21567904428738086	0.05
Id2	15	23	3.013472568570817	0.0026997300269973002	chr20	47895099.0	47895213.0	antisense	0.06672189923864756	1.1757316000033367	0.05
Mlxip	15	23	3.0101443754353334	0.0036996300369963003	chr20	47895099.0	47895213.0	antisense	0.08348295605222086	1.0784021813790028	0.05
EGR2	12	23	2.995001253240507	0.006299370062993701	chr20	47895099.0	47895213.0	antisense	0.09907191099071912	1.0040494598527105	0.05
Myc	15	25	2.92403008194827	0.0057994200579942	chr20	47895099.0	47895213.0	sense	0.09907191099071912	1.0040494598527105	0.05
NKX2-3	6	16	2.91770820431245	0.0163983601639836	chr20	47895099.0	47895213.0	antisense	0.17368875357362223	0.7602283014092206	0.05
BHLHE40	14	24	2.7967696472700756	0.0110988901109889	chr20	47895099.0	47895213.0	sense	0.14660283971602842	0.8338576172729474	0.05
USF2	14	25	2.7694736918961693	0.014298570142985701	chr20	47895099.0	47895213.0	sense	0.15789272136616125	0.8016378898990605	0.05
MAX::MYC	13	24	2.7634817066154205	0.013998600139986002	chr20	47895099.0	47895213.0	sense	0.15789272136616125	0.8016378898990605	0.05
