motif	start	end
CENPB	5	19
EBF1	7	20
SP2	7	21
GLIS3	7	20
GLIS2	7	20
SP2	8	22
TFAP2B(var.3)	9	21
TFAP2A(var.3)	9	21
TFAP2C(var.3)	9	21
RREB1	11	30
ZNF740	11	20
SP3	11	21
SP1	11	21
RREB1	12	31
ZNF740	12	21
EGR4	12	27
Klf4	12	21
ZNF263	12	32
SP1	12	22
KLF16	12	22
KLF5	12	21
SP3	12	22
Klf4	13	22
KLF5	13	22
E2F4	13	23
SP2	13	27
ZNF740	13	22
EGR3	13	27
E2F4	14	24
E2F6	14	24
NR2C2	14	28
SP2	15	29
EGR1	15	28
EGR2	15	25
SP4	15	31
SP2	16	30
RREB1	16	35
ETV6	17	26
SP3	18	28
KLF16	18	28
KLF5	19	28
EWSR1-FLI1	19	36
EGR1	21	34
EGR4	22	37
EGR1	22	35
EGR2	22	32
EGR4	23	38
E2F6	23	33
EGR3	23	37
SP2	24	38
EGR3	24	38
SP2	25	39
