motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP1	28	39	5.338723528542668	0.0045995400459954	chr11	65265115.0	65265229.0	antisense	0.38936106389361064	0.4096474800928498	0.15
E2F4	25	36	4.916281597635459	0.006299370062993701	chr11	65265115.0	65265229.0	sense	0.38936106389361064	0.4096474800928498	0.15
TFAP2A(var.2)	26	38	4.817738019687488	0.015998400159984	chr11	65265115.0	65265229.0	antisense	0.3913275339132753	0.40745959394467435	0.15
E2F6	25	36	4.44977257789047	0.010498950104989501	chr11	65265115.0	65265229.0	sense	0.38936106389361064	0.4096474800928498	0.15
SP3	28	39	4.421224234122048	0.049095090490950906	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
Zfx	27	41	4.338930259869524	0.0198980101989801	chr11	65265115.0	65265229.0	sense	0.3913275339132753	0.40745959394467435	0.15
THAP1	26	35	4.152174558243548	0.0831916808319168	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
Gabpa	28	39	3.9492225327623456	0.0086991300869913	chr11	65265115.0	65265229.0	sense	0.38936106389361064	0.4096474800928498	0.15
MZF1(var.2)	31	41	3.7938159235932782	0.06409359064093591	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
ELK4	27	38	3.6530245636986463	0.0136986301369863	chr11	65265115.0	65265229.0	antisense	0.3913275339132753	0.40745959394467435	0.15
EGR1	25	39	3.580088906399059	0.1131886811318868	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
Hes1	35	45	3.457978426747672	0.36796320367963203	chr11	65265115.0	65265229.0	sense	0.9042838959347309	0.043695203283496596	0.15
TFAP2A(var.3)	26	39	3.380969076351576	0.029997000299970003	chr11	65265115.0	65265229.0	sense	0.4896510348965103	0.3101133232586446	0.15
NFKB2	33	46	3.2925677077305675	0.010998900109989001	chr11	65265115.0	65265229.0	sense	0.38936106389361064	0.4096474800928498	0.15
TEAD1	33	43	3.1092512895742295	0.06059394060593941	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
Klf1	29	40	3.076258213200063	0.0415958404159584	chr11	65265115.0	65265229.0	antisense	0.5663433656634336	0.24692018259515014	0.15
Tcfl5	35	45	3.0702923409692264	0.3174682531746825	chr11	65265115.0	65265229.0	sense	0.9042838959347309	0.043695203283496596	0.15
ZNF263	25	46	3.0480889080169447	0.12988701129887012	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
TEAD4	33	43	2.992275788718648	0.05599440055994401	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
ZBTB7B	34	46	2.9312621194427404	0.052594740525947405	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
ETV5	27	37	2.912595075729161	0.0847915208479152	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
ZBTB7A	33	45	2.8396570639213174	0.0872912708729127	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
Bcl6	25	39	2.829879025416613	0.065993400659934	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
HIC2	26	35	2.7958540953247333	0.12438756124387561	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
KLF16	28	39	2.718688346334023	0.0983901609839016	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
HINFP	32	44	2.6541792139919744	0.08309169083091691	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
ERF	27	37	2.651894005034846	0.0331966803319668	chr11	65265115.0	65265229.0	sense	0.4896510348965103	0.3101133232586446	0.15
TFAP2A	26	37	2.499125927452663	0.1284871512848715	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
KLF13	28	46	2.4594570676180876	0.032596740325967405	chr11	65265115.0	65265229.0	antisense	0.4896510348965103	0.3101133232586446	0.15
TBP	27	42	2.4361278311605816	0.2873712628737126	chr11	65265115.0	65265229.0	sense	0.9042838959347309	0.043695203283496596	0.15
RELA	34	44	2.4168372661292348	0.017698230176982303	chr11	65265115.0	65265229.0	sense	0.3913275339132753	0.40745959394467435	0.15
HSF4	26	39	2.3338673226842785	0.10598940105989402	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
ETV1	27	37	2.3263473398985006	0.13188681131886812	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
CTCF	25	44	2.3031839796302145	0.09319068093190681	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
ETV4	27	37	2.2835473938451267	0.12168783121687832	chr11	65265115.0	65265229.0	sense	0.5835991400859915	0.23388535669665309	0.15
GATA2	27	41	2.257221532376812	0.145985401459854	chr11	65265115.0	65265229.0	antisense	0.6021514127657002	0.2202942903693317	0.15
Mitf	26	36	2.2041060284148046	0.38546145385461456	chr11	65265115.0	65265229.0	sense	0.9096890310968904	0.041107041919780284	0.15
NRF1	28	39	2.1018965827012974	0.11648835116488351	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
Gata1	27	38	2.046778099213996	0.12888711128887112	chr11	65265115.0	65265229.0	antisense	0.5835991400859915	0.23388535669665309	0.15
HLTF	28	38	2.038747949534866	0.33526647335266474	chr11	65265115.0	65265229.0	antisense	0.9042838959347309	0.043695203283496596	0.15
NFIX	37	46	2.031345416324491	0.2957704229577042	chr11	65265115.0	65265229.0	sense	0.9042838959347309	0.043695203283496596	0.15
