motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	3	20	3.844442267150198	0.023797620237976203	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
TBP	3	18	3.600122859332584	0.0098990100989901	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
Arid5a	7	21	3.1114744535099503	0.015498450154984501	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
Hes1	7	17	3.0651276672310823	0.0648935106489351	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
Gata4	9	20	2.6129832054500604	0.0021997800219978004	chr11	65265021.0	65265135.0	antisense	0.41355864413558646	0.3834628971909766	0.15
ZNF263	2	23	2.4681175450063955	0.012998700129987	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
Nfe2l2	5	20	2.3694264131410105	0.014098590140985901	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
ZBTB7A	3	15	1.9999868636387215	0.03949605039496051	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
HINFP	4	16	1.9838265358387268	0.035596440355964404	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
HLTF	12	22	1.944832647983979	0.09629037096290372	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
TP53	1	19	1.943481986819036	0.022397760223977603	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
MNX1	7	17	1.8213039628235834	0.09479052094790522	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
Rfx1	4	18	1.8124710691820036	0.059694030596940305	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
NRL	7	18	1.8104991380960518	0.21037896210378962	chr11	65265021.0	65265135.0	antisense	0.5802897971072458	0.23635506531170036	0.15
Tcfl5	5	15	1.8078481216759639	0.2973702629737026	chr11	65265021.0	65265135.0	sense	0.6199799067712277	0.20762238553366	0.15
NFATC3	9	19	1.7711959814511098	0.11068893110688931	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
THAP1	3	12	1.7321598784156491	0.20657934206579343	chr11	65265021.0	65265135.0	antisense	0.5802897971072458	0.23635506531170036	0.15
NFAT5	9	19	1.7159247080543467	0.07639236076392361	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
Arid3b	7	18	1.714823396837873	0.09399060093990601	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
LBX2	10	20	1.7077879160076552	0.2585741425857414	chr11	65265021.0	65265135.0	sense	0.5856860097122818	0.23233514984488146	0.15
Npas2	7	17	1.700861922563726	0.054594540545945404	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
Stat6	3	18	1.6899472763790848	0.09529047095290472	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
PPARG	3	23	1.6637667927207154	0.05959404059594041	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
ONECUT2	5	19	1.6628935929767235	0.053394660533946606	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
ONECUT1	5	19	1.6523501584961864	0.04559544045595441	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
RFX3	3	19	1.6479309287208568	0.06919308069193081	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
Foxj3	3	20	1.6387791102702212	0.15028497150284972	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
REL	12	22	1.62141592672376	0.09099090090990901	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
POU2F1	7	19	1.6211631480645246	0.1105889411058894	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
Bcl6	2	16	1.6101042714010982	0.12418758124187582	chr11	65265021.0	65265135.0	antisense	0.5694454944749427	0.2445478388923569	0.15
FOXP1	7	22	1.565356448508349	0.09729027097290271	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
MAFK	3	18	1.5384169740266875	0.15648435156484353	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
ZBTB7B	4	16	1.5355730664912075	0.07579242075792421	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
SOX9	8	17	1.5323585847475492	0.15448455154484553	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
MAFF	2	20	1.5260668391753154	0.24397560243975602	chr11	65265021.0	65265135.0	sense	0.5832176276043282	0.23416935805154632	0.15
IRF2	1	19	1.4749628024526562	0.043795620437956206	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
SP3	1	12	1.4499766320769052	0.133986601339866	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
EGR1	1	15	1.4405280857652036	0.0810918908109189	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
ETV5	9	19	1.427597623606612	0.1964803519648035	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
HIC2	3	12	1.4246090930060946	0.19508049195080493	chr11	65265021.0	65265135.0	antisense	0.5802897971072458	0.23635506531170036	0.15
Myc	4	14	1.4160619154479288	0.06529347065293471	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
YY1	8	20	1.4159714079581154	0.10928907109289071	chr11	65265021.0	65265135.0	antisense	0.5668356241298947	0.24654286329956232	0.15
MIXL1	10	20	1.379475027107787	0.39286071392860716	chr11	65265021.0	65265135.0	sense	0.6478755633208609	0.18850840053784929	0.15
NFYB	4	19	1.3495771232086253	0.1772822717728227	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
ETV4	5	15	1.3408465979787267	0.17588241175882413	chr11	65265021.0	65265135.0	sense	0.5802897971072458	0.23635506531170036	0.15
REST	1	22	1.3159099561612642	0.05449455054494551	chr11	65265021.0	65265135.0	sense	0.5668356241298947	0.24654286329956232	0.15
