motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
NRL	60	71	2.7105801869503408	0.011698830116988301	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
TBP	64	79	2.6100363309077577	0.027797220277972202	chr1	173837092.0	173837206.0	antisense	0.386405803864058	0.41295635904949396	0.15
SRY	65	74	2.21758869484317	0.007999200079992	chr1	173837092.0	173837206.0	antisense	0.386405803864058	0.41295635904949396	0.15
NR3C1	57	74	2.1412907753516177	0.0047995200479952005	chr1	173837092.0	173837206.0	antisense	0.386405803864058	0.41295635904949396	0.15
GATA2	65	79	2.0926146204944347	0.0163983601639836	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
THAP1	66	75	2.0323211228926836	0.0665933406659334	chr1	173837092.0	173837206.0	sense	0.4090015240900152	0.38827507364876995	0.15
MAFF	58	76	2.023330569453207	0.0704929507049295	chr1	173837092.0	173837206.0	antisense	0.4090015240900152	0.38827507364876995	0.15
RUNX1	64	75	1.907055993427234	0.0397960203979602	chr1	173837092.0	173837206.0	sense	0.39377114920086936	0.40475610689232394	0.15
Bcl6	64	78	1.8720504314591069	0.034996500349965	chr1	173837092.0	173837206.0	antisense	0.386405803864058	0.41295635904949396	0.15
YY1	57	69	1.8657580215858023	0.014998500149985002	chr1	173837092.0	173837206.0	antisense	0.386405803864058	0.41295635904949396	0.15
JUN	60	73	1.847763936758913	0.0143985601439856	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
JUND(var.2)	59	74	1.8314503947085872	0.029397060293970604	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
MYBL2	56	71	1.755964149788598	0.026197380261973803	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
REL	66	76	1.739571188777158	0.034896510348965105	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
Sox6	63	73	1.7306660027282557	0.008999100089991	chr1	173837092.0	173837206.0	sense	0.386405803864058	0.41295635904949396	0.15
NFATC3	65	75	1.7204057433950088	0.07179282071792821	chr1	173837092.0	173837206.0	sense	0.4090015240900152	0.38827507364876995	0.15
LBX2	61	71	1.7198086527367036	0.16798320167983202	chr1	173837092.0	173837206.0	antisense	0.5962378121162243	0.22458048541056136	0.15
