motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	72	89	0.7143262238226014	0.022297770222977704	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
Foxj3	72	89	0.520581205359027	0.010198980101989802	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
MZF1(var.2)	74	84	0.5120309036898639	0.004399560043995601	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
TBP	78	93	0.47811386430992747	0.05299470052994701	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
LBX2	79	89	0.47276363827364015	0.07069293070692931	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
THAP1	80	89	0.44880896524413927	0.067993200679932	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
HINFP	76	88	0.4275851408860489	0.021897810218978103	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
MIXL1	75	85	0.4231349517338741	0.09709029097090291	chr1	211556065.0	211556179.0	antisense	0.4203943242039432	0.3763431560680288	0.15
CENPB	72	87	0.42144450901854225	0.0365963403659634	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
FOXP1	74	89	0.4200032718083471	0.014598540145985401	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
HLF	78	90	0.4150351584969301	0.032396760323967606	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
FOXA1	73	88	0.41291551043278146	0.029197080291970802	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
POU2F1	73	85	0.4047291798113594	0.04079592040795921	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
Hes1	75	85	0.40472637991156535	0.25607439256074394	chr1	211556065.0	211556179.0	antisense	0.5423752361605945	0.2657001477625322	0.15
Foxk1	72	89	0.39552951702529315	0.029897010298970104	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
HMBOX1	75	85	0.3833083165458923	0.0740925907409259	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
ELF3	76	89	0.37415774284668724	0.0217978202179782	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
ETV4	77	87	0.3726783195511814	0.0565943405659434	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
TEAD1	72	82	0.36804712595461375	0.08359164083591641	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
MNX1	75	85	0.36145663298705416	0.08559144085591441	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
ELF4	78	90	0.34988868835551695	0.0316968303169683	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
ELF1	78	90	0.34981149039325404	0.031996800319968	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
TEAD4	72	82	0.34697757661895606	0.10938906109389061	chr1	211556065.0	211556179.0	sense	0.44075592440755923	0.35580184143313404	0.15
ELK3	77	87	0.34676779830734883	0.0638936106389361	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
HLTF	76	86	0.3429468674347974	0.1576842315768423	chr1	211556065.0	211556179.0	sense	0.4631974302569743	0.3342338586681671	0.15
Nkx3-1	80	89	0.33880087138478965	0.05649435056494351	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
GATA2	74	88	0.3367011532245502	0.0877912208779122	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
Bcl6	76	90	0.33515204666714915	0.11288871112888711	chr1	211556065.0	211556179.0	sense	0.44214745192147453	0.35443287346380214	0.15
IRF2	73	91	0.32931220432763225	0.016798320167983202	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
ETV5	77	87	0.32924400395149656	0.14358564143585642	chr1	211556065.0	211556179.0	antisense	0.4631974302569743	0.3342338586681671	0.15
ETV3	72	82	0.32628602111763105	0.0897910208979102	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
MYBL2	75	90	0.3261163363649143	0.0761923807619238	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
DBP	74	86	0.3244472099406506	0.06769323067693231	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
ETV6	77	87	0.3220311691468415	0.0665933406659334	chr1	211556065.0	211556179.0	antisense	0.4117246811904175	0.385393098065614	0.15
CEBPB	79	89	0.3191389047814604	0.07169283071692831	chr1	211556065.0	211556179.0	sense	0.4117246811904175	0.385393098065614	0.15
