motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	18	35	1.3422284105382822	0.014198580141985802	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
Hes1	22	32	0.9005474947827203	0.11598840115988401	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
EGR1	24	38	0.8805711989477593	0.0016998300169983002	chr1	211556065.0	211556179.0	antisense	0.31956804319568044	0.4954366566349089	0.15
Crem	21	31	0.7691827573211593	0.0096990300969903	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
CENPB	21	36	0.7312365853137127	0.0435956404359564	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
MZF1(var.2)	27	37	0.7015625864573132	0.036396360363963605	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
Foxo1	26	37	0.6756363853714997	0.019598040195980403	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
SP3	21	32	0.6634991850391908	0.0484951504849515	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
TEF	21	33	0.6235091554445892	0.029497050294970503	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
DBP	21	33	0.6145494899443786	0.03849615038496151	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
Tcfl5	22	32	0.6138091056284571	0.2966703329667033	chr1	211556065.0	211556179.0	sense	0.7775111377751114	0.10929338102829393	0.15
HINFP	23	35	0.5695653220157005	0.0847915208479152	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
MYBL2	23	38	0.5693702767598099	0.0688931106889311	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
HLF	21	33	0.5682005393214045	0.09369063093690631	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
ZBTB33	20	35	0.5607477882593379	0.1121887811218878	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
SP1	27	38	0.5575720767516831	0.027897210278972105	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
ZNF740	27	37	0.5562135247345206	0.025097490250974904	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
ELK4	24	35	0.5401618578628888	0.0704929507049295	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
CREB3	20	34	0.5254815846480664	0.09769023097690231	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
NRF1	24	35	0.5105699327846683	0.06419358064193581	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
ATF7	20	34	0.5091473695008104	0.07289271072892711	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
XBP1	19	33	0.4902942289508355	0.13638636136386362	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
TFE3	22	32	0.48912531375373824	0.22977702229777022	chr1	211556065.0	211556179.0	antisense	0.7775111377751114	0.10929338102829393	0.15
ZBTB7A	24	36	0.48502854511940335	0.15278472152784722	chr1	211556065.0	211556179.0	sense	0.6679890150519832	0.17523067935309822	0.15
MNT	22	32	0.4808519688330193	0.1488851114888511	chr1	211556065.0	211556179.0	antisense	0.6679890150519832	0.17523067935309822	0.15
Gabpa	25	36	0.47386825259083043	0.12218778122187782	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
Arntl	21	31	0.4599245353299664	0.18468153184681532	chr1	211556065.0	211556179.0	sense	0.7387261273872613	0.13151654050865885	0.15
KLF16	21	32	0.45941170035146767	0.0999900009999	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
CEBPB	22	32	0.4573524535868162	0.11148885111488852	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
RUNX1	18	29	0.4533595681727634	0.2521747825217478	chr1	211556065.0	211556179.0	sense	0.7775111377751114	0.10929338102829393	0.15
ETV5	24	34	0.4497087393251369	0.27187281271872815	chr1	211556065.0	211556179.0	sense	0.7775111377751114	0.10929338102829393	0.15
CEBPD	22	32	0.44965320902099704	0.1055894410558944	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
Creb5	21	33	0.4493012811823752	0.09529047095290472	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
ELF4	18	30	0.4374883686124154	0.12308769123087691	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
PLAG1	22	36	0.4351749219836308	0.07289271072892711	chr1	211556065.0	211556179.0	sense	0.6632362404785163	0.1783317511401895	0.15
SP4	18	35	0.43284754482719623	0.10948905109489052	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
FOXH1	26	37	0.4299170187041753	0.1351864813518648	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
BHLHE40	22	32	0.42677592001448394	0.14608539146085392	chr1	211556065.0	211556179.0	antisense	0.6679890150519832	0.17523067935309822	0.15
ELF1	18	30	0.4256027996498562	0.1364863513648635	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
NRL	27	38	0.4247322195857406	0.5520447955204479	chr1	211556065.0	211556179.0	antisense	0.8895652807600597	0.050822175704203464	0.15
ZBTB7B	25	37	0.42315233730520013	0.17328267173282672	chr1	211556065.0	211556179.0	sense	0.7239364952393649	0.14029952907460955	0.15
CEBPG	22	32	0.42279416668825975	0.0948905109489051	chr1	211556065.0	211556179.0	antisense	0.6632362404785163	0.1783317511401895	0.15
FOXA1	23	38	0.41966372455876755	0.285971402859714	chr1	211556065.0	211556179.0	antisense	0.7775111377751114	0.10929338102829393	0.15
Bcl6	23	37	0.41935050671972857	0.29247075292470753	chr1	211556065.0	211556179.0	sense	0.7775111377751114	0.10929338102829393	0.15
ETV6	24	34	0.4184267000373092	0.18118188181181882	chr1	211556065.0	211556179.0	sense	0.7387261273872613	0.13151654050865885	0.15
