motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
EGR1	57	71	1.4895337901658396	0.005499450054994501	chr1	173837344.0	173837458.0	antisense	0.13838616138386162	0.8589073371561237	0.05
THAP1	59	68	1.4106493461916514	9.999000099990002e-05	chr1	173837344.0	173837458.0	antisense	0.025947405259474053	1.585906065092386	0.05
MZF1(var.2)	57	67	1.4032209780948144	0.00019998000199980003	chr1	173837344.0	173837458.0	sense	0.025947405259474053	1.585906065092386	0.05
SP2	56	71	1.3481425847049997	0.016998300169983	chr1	173837344.0	173837458.0	antisense	0.17501779233841322	0.7569177986187923	0.05
SP3	60	71	1.183819251613829	0.017198280171982803	chr1	173837344.0	173837458.0	antisense	0.17501779233841322	0.7569177986187923	0.05
ZNF740	58	68	1.157923889532039	0.0124987501249875	chr1	173837344.0	173837458.0	antisense	0.1655691573699773	0.7810205614614976	0.05
SP1	60	71	1.1559708754807387	0.008899110088991101	chr1	173837344.0	173837458.0	antisense	0.14624901146249014	0.8349070607523571	0.05
KLF16	60	71	1.0770418467435705	0.0086991300869913	chr1	173837344.0	173837458.0	antisense	0.14624901146249014	0.8349070607523571	0.05
GCM2	57	67	1.0305498438926581	9.999000099990002e-05	chr1	173837344.0	173837458.0	sense	0.025947405259474053	1.585906065092386	0.05
ZNF263	51	72	1.0054030592519083	0.15198480151984803	chr1	173837344.0	173837458.0	sense	0.4465299232788586	0.35014943245416885	0.05
MZF1	60	66	0.9912136821650903	0.00019998000199980003	chr1	173837344.0	173837458.0	sense	0.025947405259474053	1.585906065092386	0.05
KLF14	58	72	0.9495956218965492	0.0064993500649935	chr1	173837344.0	173837458.0	antisense	0.14624901146249014	0.8349070607523571	0.05
TFAP2A(var.2)	55	67	0.9428900631599805	0.0031996800319968005	chr1	173837344.0	173837458.0	antisense	0.10378962103789621	0.9838460737644236	0.05
E2F6	58	69	0.939699392972483	0.008399160083991601	chr1	173837344.0	173837458.0	sense	0.14624901146249014	0.8349070607523571	0.05
YY2	56	67	0.9219831579730894	0.00029997000299970003	chr1	173837344.0	173837458.0	antisense	0.031136886311368867	1.506724819044761	0.05
