unique_id	PromType2	cage_activ	cage_ts	mpra_activ	mpra_ts	avg_tf_tissue_sp	log_avg_tf_tissue_sp	n_total_motifs	n_unique_motifs	max_cov	n_bp_cov	log_n_total_motifs	log_n_unique_motifs	log_max_cov	log_n_bp_cov
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	intergenic	1.8107022636010623	0.6650683638989321	1.4000562770744425	0.14223002845835028	0.3900945473443386	0.3293717645015535	48	35	19	83	3.8712010109078916	3.555348061489413	2.9444389791664403	4.418840607796597
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	div_lnc	0.8698339359780342	0.15124258187630202	-0.054568378538540775	0.21438431765737026	0.3944369769695162	0.33249073306593147	37	29	16	84	3.610917912644224	3.3672958299864737	2.772588722239781	4.430816798843313
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	intergenic	2.898406830663104	0.15819137680862366	1.3788496004279145	0.1181028732013019	0.33740320758524733	0.29072982900876015	10	8	3	77	2.302585092994046	2.079441541679836	1.0986122886681098	4.343805421853683
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:97667625..97667739,-__147.1.0.0	intergenic	2.161889847999439	0.14030210346100114	0.13058115938548576	0.2699568385652876	0.41872993473303394	0.3497620592281163	12	8	5	54	2.4849066497880004	2.079441541679836	1.6094379124341005	3.9889840465642745
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:27528316..27528430,+__175.1.0.0	div_lnc	1.0707096543150092	0.2920279050418009	3.0463164987113687	0.0857573822734548	0.3968839439394921	0.3342440016195168	37	31	22	80	3.610917912644224	3.4339872044851463	3.0910424533583165	4.382026634673881
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.0.0	div_lnc	1.0945228321306202	0.5693540272116233	-0.9785752443817384	0.2517358919129264	0.4276692849092479	0.35604324389473924	45	35	30	56	3.80666248977032	3.555348061489413	3.4011973816621555	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:70244500..70244614,-__195.1.0.0	div_lnc	1.750731281144848	0.13619117491949662	0.9339473112597142	0.2583766741574549	0.38052174920737386	0.32246150685098457	49	35	25	86	3.8918202981106265	3.555348061489413	3.218875824868201	4.4543472962535064
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:77850722..77850836,+__199.1.0.0	div_lnc	1.2719304936331424	0.2489103478171873	-1.0876684903562188	0.2367127452849802	0.41609647527711724	0.3479041252084823	32	31	16	71	3.4657359027997265	3.4339872044851463	2.772588722239781	4.262679877041316
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr13:79980346..79980460,+__274.1.0.0	div_lnc	1.023740451207584	0.15223813919591853	3.10504267446073	0.05484368726345831	0.17899461474066858	0.1646620538948178	8	5	3	70	2.079441541679836	1.6094379124341005	1.0986122886681098	4.248495242049359
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:20811533..20811647,-__282.1.0.0	div_lnc	3.4510014665960607	0.1649103530022874	-1.6214206286238633	0.3776460327500979	0.377485254848882	0.32025955770370806	7	7	4	31	1.9459101490553128	1.9459101490553128	1.3862943611198906	3.4339872044851463
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451688..35451802,-__286.1.0.0	div_lnc	2.325149468378205	0.3330603585529842	0.4454498563223341	0.023144416032500503	0.24054865296330905	0.2155537438266541	6	5	3	31	1.791759469228055	1.6094379124341005	1.0986122886681098	3.4339872044851463
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451727..35451841,-__287.1.0.0	div_lnc	0.7801201050308295	0.3425250083906022	0.7886053168322694	0.13449933496388625	0.3455631096779931	0.2968125943420016	14	13	8	47	2.6390573296152584	2.5649493574615367	2.079441541679836	3.8501476017100575
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:41576126..41576240,+__317.1.0.0	intergenic	3.767950798620465	0.10365503421231843	0.9748717087021216	0.0938594922597169	0.47172591271360387	0.38643580236702896	31	30	25	78	3.4339872044851463	3.4011973816621555	3.218875824868201	4.356708826689592
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:50647384..50647498,+__323.1.0.0	div_lnc	0.6103625668957967	0.1937402122905764	-1.2541284132660917	0.22018090374358412	0.32659540231154505	0.28261581233484084	13	13	7	62	2.5649493574615367	2.5649493574615367	1.9459101490553128	4.127134385045092
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:83419244..83419358,+__335.1.0.0	intergenic	2.0296298987086385	0.18692011939145736	2.527774615324708	0.11054567881914107	0.38393186536072843	0.3249286257529427	26	21	13	88	3.258096538021482	3.0445224377234235	2.5649493574615367	4.477336814478207
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr16:699214..699328,-__348.1.0.0	div_lnc	0.3530218342932961	0.5499633117080552	1.626762405369167	0.0700015139026718	0.41847698431112507	0.3495837497640577	75	57	32	90	4.31748811353631	4.043051267834549	3.4657359027997265	4.499809670330264
