motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Klf4	47	57	3.755111634824198	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.051894810518948106	1.2848760694284047	0.1
RUNX1	45	56	3.307546293377446	0.0006999300069993001	chr14	101292375.0	101292489.0	antisense	0.12108789121087893	0.9168992841338104	0.1
EGR4	44	60	3.190599901490652	0.0015998400159984002	chr14	101292375.0	101292489.0	sense	0.13344379847729512	0.8747016043393556	0.1
Klf1	46	57	3.149076744926939	0.00019998000199980003	chr14	101292375.0	101292489.0	sense	0.051894810518948106	1.2848760694284047	0.1
KLF5	47	57	2.8649653369171686	0.000999900009999	chr14	101292375.0	101292489.0	sense	0.12973702629737027	0.8869360607563672	0.1
SP2	47	62	2.852320010226821	0.0221977802219778	chr14	101292375.0	101292489.0	sense	0.29540122910785843	0.5295877020042654	0.1
RREB1	37	57	2.733817145790553	0.009299070092990702	chr14	101292375.0	101292489.0	sense	0.23229105660862484	0.6339675105626255	0.1
Hes1	49	59	2.712962914001179	0.046795320467953205	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
EGR1	47	61	2.6988546721248277	0.026097390260973904	chr14	101292375.0	101292489.0	sense	0.3184916802437403	0.49690190797989275	0.1
HIC2	46	55	2.6667174390912516	0.0017998200179982	chr14	101292375.0	101292489.0	sense	0.13344379847729512	0.8747016043393556	0.1
SP3	49	60	2.622632545831366	0.0164983501649835	chr14	101292375.0	101292489.0	sense	0.2675826167383262	0.5725421035344045	0.1
SP1	47	58	2.5736238537975566	0.006199380061993801	chr14	101292375.0	101292489.0	sense	0.21082266773322667	0.676082695441474	0.1
SP8	47	59	2.545586599818231	0.007499250074992501	chr14	101292375.0	101292489.0	sense	0.22894769346594754	0.6402637274149787	0.1
TBP	39	54	2.50328765766094	0.031296870312968704	chr14	101292375.0	101292489.0	sense	0.3184916802437403	0.49690190797989275	0.1
ZNF263	38	59	2.4596296685270915	0.1568843115688431	chr14	101292375.0	101292489.0	antisense	0.5246788204615122	0.28010646647126564	0.1
ZNF740	48	58	2.390504385122894	0.012898710128987101	chr14	101292375.0	101292489.0	sense	0.24094019169511618	0.6180907484637873	0.1
ZBTB7C	46	58	2.316679677424316	0.021497850214978503	chr14	101292375.0	101292489.0	sense	0.2936153753045748	0.5322212061296097	0.1
Dmbx1	40	57	2.2527749710987726	0.027797220277972202	chr14	101292375.0	101292489.0	antisense	0.3184916802437403	0.49690190797989275	0.1
Hic1	47	56	2.2030450613285915	0.0033996600339966003	chr14	101292375.0	101292489.0	sense	0.18682131786821318	0.7285735686611176	0.1
GSC2	42	52	2.1554730253054672	0.018598140185981403	chr14	101292375.0	101292489.0	sense	0.27578385018640994	0.5594311695607641	0.1
RHOXF1	43	51	2.1549032155774115	0.0017998200179982	chr14	101292375.0	101292489.0	sense	0.13344379847729512	0.8747016043393556	0.1
Gmeb1	39	56	2.153712132060129	0.19968003199680032	chr14	101292375.0	101292489.0	antisense	0.528710495287105	0.2767820684486144	0.1
GSC	42	52	2.1305718733179013	0.0058994100589941	chr14	101292375.0	101292489.0	sense	0.21082266773322667	0.676082695441474	0.1
KLF16	49	60	2.1101729573311623	0.023297670232976703	chr14	101292375.0	101292489.0	sense	0.30228727127287275	0.5195801397303482	0.1
ZIC4	46	61	2.102443666557957	0.045995400459954004	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
RUNX3	45	55	2.0805318282025254	0.0093990600939906	chr14	101292375.0	101292489.0	sense	0.23229105660862484	0.6339675105626255	0.1
GATA1::TAL1	40	58	2.0712996440491342	0.0201979802019798	chr14	101292375.0	101292489.0	sense	0.2833176141845275	0.547726424048776	0.1
TBX5	48	56	2.0709841875834862	0.009299070092990702	chr14	101292375.0	101292489.0	antisense	0.23229105660862484	0.6339675105626255	0.1
Klf12	46	61	2.0666012879923588	0.008799120087991202	chr14	101292375.0	101292489.0	sense	0.23229105660862484	0.6339675105626255	0.1
Rhox11	38	55	2.0482238293350314	0.05649435056494351	chr14	101292375.0	101292489.0	antisense	0.36208424612084245	0.4411903704374058	0.1
RUNX2	45	54	2.03451081581889	0.0053994600539946005	chr14	101292375.0	101292489.0	sense	0.21082266773322667	0.676082695441474	0.1
Hoxb5	38	54	2.03036116805208	0.0476952304769523	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
SP4	44	61	2.0137413559720905	0.0143985601439856	chr14	101292375.0	101292489.0	sense	0.2576845763699492	0.5889115752321112	0.1
PITX3	42	51	1.9993728305247962	0.011398860113988602	chr14	101292375.0	101292489.0	sense	0.24094019169511618	0.6180907484637873	0.1
GLIS1	43	59	1.9783935554471501	0.0027997200279972004	chr14	101292375.0	101292489.0	sense	0.18163183681631836	0.7408080250781293	0.1
Six3	38	55	1.9615851195632081	0.0282971702829717	chr14	101292375.0	101292489.0	antisense	0.3184916802437403	0.49690190797989275	0.1
MZF1	47	53	1.9360519422586702	0.0035996400359964	chr14	101292375.0	101292489.0	antisense	0.18682131786821318	0.7285735686611176	0.1
HLTF	37	47	1.9256245277590194	0.035896410358964105	chr14	101292375.0	101292489.0	sense	0.33868192128155605	0.4702079852189987	0.1
SREBF1	44	54	1.9240780298943279	0.0059994000599940004	chr14	101292375.0	101292489.0	sense	0.21082266773322667	0.676082695441474	0.1
Neurog1	38	48	1.9106278148425981	0.0415958404159584	chr14	101292375.0	101292489.0	antisense	0.3539055930472526	0.4511125738124292	0.1
GLIS2	46	60	1.853459624834331	0.026797320267973202	chr14	101292375.0	101292489.0	sense	0.3184916802437403	0.49690190797989275	0.1
CENPB	47	62	1.8368051119635518	0.050794920507949204	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
EGR2	46	57	1.8186974049523001	0.0124987501249875	chr14	101292375.0	101292489.0	sense	0.24094019169511618	0.6180907484637873	0.1
ESR2	41	56	1.8072956814106378	0.030596940305969402	chr14	101292375.0	101292489.0	sense	0.3184916802437403	0.49690190797989275	0.1
Pitx1	43	51	1.8061540328122156	0.012998700129987	chr14	101292375.0	101292489.0	sense	0.24094019169511618	0.6180907484637873	0.1
Hoxd9	38	48	1.8028453936552329	0.09619038096190381	chr14	101292375.0	101292489.0	sense	0.445739354635965	0.35091902006077347	0.1
Hoxd3	38	54	1.7913741097864315	0.13988601139886012	chr14	101292375.0	101292489.0	antisense	0.5075739001442322	0.29450071777268627	0.1
Pparg::Rxra	39	54	1.7532858373931908	0.1411858814118588	chr14	101292375.0	101292489.0	antisense	0.5075739001442322	0.29450071777268627	0.1
Ddit3::Cebpa	39	51	1.7459958780752503	0.015798420157984203	chr14	101292375.0	101292489.0	sense	0.2644961310320581	0.5775806763082548	0.1
GSX1	36	46	1.737449761383107	0.23217678232176783	chr14	101292375.0	101292489.0	sense	0.5307837637288902	0.27508237034188215	0.1
HOXA10	37	48	1.724607755847843	0.135986401359864	chr14	101292375.0	101292489.0	sense	0.5075739001442322	0.29450071777268627	0.1
CDX1	38	47	1.7238228770097659	0.060193980601939805	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
EMX1	40	50	1.719193786550514	0.08809119088091191	chr14	101292375.0	101292489.0	sense	0.44387697152614836	0.35273738572152913	0.1
Bcl6	37	51	1.7176049596341267	0.026697330266973303	chr14	101292375.0	101292489.0	sense	0.3184916802437403	0.49690190797989275	0.1
CTCF	42	61	1.715251688967884	0.0760923907609239	chr14	101292375.0	101292489.0	antisense	0.4113744875512449	0.3857626456974004	0.1
HOXA13	38	48	1.6858179388024292	0.0613938606139386	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
GLIS3	44	58	1.684200151463295	0.0103989601039896	chr14	101292375.0	101292489.0	sense	0.24094019169511618	0.6180907484637873	0.1
REL	42	52	1.6772871552748698	0.019498050194980503	chr14	101292375.0	101292489.0	antisense	0.28109689031096896	0.5511439588331739	0.1
EGR3	44	59	1.6629956257379646	0.0405959404059594	chr14	101292375.0	101292489.0	sense	0.35115488451154886	0.4545012862348543	0.1
SREBF2	44	54	1.6587027187611147	0.0108989101089891	chr14	101292375.0	101292489.0	antisense	0.24094019169511618	0.6180907484637873	0.1
TFAP2A	46	57	1.6548306493134992	0.0522947705229477	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
ZIC3	44	59	1.6521885186626968	0.06329367063293671	chr14	101292375.0	101292489.0	sense	0.362123128346506	0.44114373645752275	0.1
FOXH1	42	53	1.648298911533714	0.0178982101789821	chr14	101292375.0	101292489.0	sense	0.27578385018640994	0.5594311695607641	0.1
GCM2	45	55	1.6480606817233328	0.030396960303969604	chr14	101292375.0	101292489.0	antisense	0.3184916802437403	0.49690190797989275	0.1
ZEB1	48	57	1.6404711470987303	0.0064993500649935	chr14	101292375.0	101292489.0	sense	0.21082266773322667	0.676082695441474	0.1
MZF1(var.2)	46	56	1.6294784022927895	0.10648935106489352	chr14	101292375.0	101292489.0	antisense	0.47237583933914307	0.3257123233998099	0.1
ZNF354C	48	54	1.611444127390706	0.0064993500649935	chr14	101292375.0	101292489.0	sense	0.21082266773322667	0.676082695441474	0.1
INSM1	45	57	1.608467324348665	0.03849615038496151	chr14	101292375.0	101292489.0	antisense	0.34447417327232793	0.46284333348284146	0.1
FOXA1	38	53	1.5961676736663613	0.11598840115988401	chr14	101292375.0	101292489.0	sense	0.49555290372602084	0.30490997474111525	0.1
Crx	43	54	1.595845573071611	0.027697230276972302	chr14	101292375.0	101292489.0	antisense	0.3184916802437403	0.49690190797989275	0.1
HOXD13	38	48	1.592371321155098	0.059694030596940305	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
Zfx	44	58	1.5708668937233075	0.10308969103089691	chr14	101292375.0	101292489.0	antisense	0.46524825778291734	0.3323152444985	0.1
EOMES	41	54	1.5669038156912969	0.0877912208779122	chr14	101292375.0	101292489.0	antisense	0.44387697152614836	0.35273738572152913	0.1
THAP1	50	59	1.5572871622288904	0.20577942205779423	chr14	101292375.0	101292489.0	sense	0.528710495287105	0.2767820684486144	0.1
MEF2C	37	52	1.555359398852676	0.1638836116388361	chr14	101292375.0	101292489.0	antisense	0.5246788204615122	0.28010646647126564	0.1
RARA::RXRA	45	62	1.5517854172106662	0.12108789121087891	chr14	101292375.0	101292489.0	antisense	0.5068114156326303	0.2951536114475876	0.1
ZBTB7A	45	57	1.5494615263038112	0.07539246075392461	chr14	101292375.0	101292489.0	sense	0.4113744875512449	0.3857626456974004	0.1
Hes2	45	58	1.5305913842887569	0.3294670532946705	chr14	101292375.0	101292489.0	sense	0.5624408987672662	0.24992310643929047	0.1
ESX1	39	49	1.5294802558075906	0.20287971202879712	chr14	101292375.0	101292489.0	sense	0.528710495287105	0.2767820684486144	0.1
Foxj3	38	55	1.513607473346503	0.24997500249975002	chr14	101292375.0	101292489.0	sense	0.5451745148065839	0.26346445426356685	0.1
Nkx2-5(var.2)	48	59	1.5063186199104097	0.030896910308969103	chr14	101292375.0	101292489.0	sense	0.3184916802437403	0.49690190797989275	0.1
TFAP2C(var.2)	46	57	1.5008067714349338	0.052894710528947106	chr14	101292375.0	101292489.0	sense	0.36208424612084245	0.4411903704374058	0.1
Foxk1	38	55	1.4956418449697368	0.20877912208779123	chr14	101292375.0	101292489.0	sense	0.5305626580199122	0.2752633197260755	0.1
