motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	82	92	3.4582568872826163	0.0047995200479952005	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
ZNF263	71	92	2.596676278586644	0.1964803519648035	chr9	21994622.0	21994736.0	sense	0.5141838757300741	0.2888815465015028	0.15
EGR1	67	81	2.5903441673658274	0.08339166083391661	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
MZF1(var.2)	71	81	2.5432951643077324	0.0143985601439856	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
Tcfl5	82	92	2.43530936505273	0.034896510348965105	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
THAP1	67	76	2.062528072734092	0.06519348065193481	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
E2F6	70	81	2.0339169353059434	0.025697430256974303	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
CENPB	75	90	2.0078581839058716	0.028097190280971903	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
Gmeb1	73	90	1.9682656925073863	0.3280671932806719	chr9	21994622.0	21994736.0	sense	0.5818550220449653	0.2351852128919054	0.15
HINFP	83	95	1.8966049320761722	0.013898610138986101	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
SP3	72	83	1.8035981908437202	0.1954804519548045	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
ZBTB33	80	95	1.7990763557155278	0.025197480251974803	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
E2F4	70	81	1.7662822085377048	0.05849415058494151	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
SP1	74	85	1.7651212116070607	0.1376862313768623	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
Zfx	81	95	1.6801473460942244	0.08389161083891611	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
ZNF740	68	78	1.6432208378845023	0.1688831116888311	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
TBX2	73	84	1.6060296703084727	0.072992700729927	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
RREB1	69	89	1.595205452578725	0.19788021197880212	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
KLF5	73	83	1.5210199526191834	0.1593840615938406	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
TEAD1	78	88	1.5162278770323743	0.05399460053994601	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
TEAD4	78	88	1.473680390293823	0.0461953804619538	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
TFE3	82	92	1.4477419145204762	0.042695730426957304	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
HEY1	82	92	1.4449390382893212	0.017998200179982	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
ETV5	67	77	1.4306707473965408	0.061493850614938506	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
ELK4	67	78	1.4137306790034492	0.043995600439956005	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
ETV6	67	77	1.3858411844504632	0.0405959404059594	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
KLF16	72	83	1.3784688704304988	0.2136786321367863	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
MNT	82	92	1.325902427613665	0.0314968503149685	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
SP4	78	95	1.2837963139539734	0.1601839816018398	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
Arntl	83	93	1.258590215446241	0.047495250474952504	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
Npas2	82	92	1.255025904365701	0.026097390260973904	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
NRF1	82	93	1.2480010484950577	0.08839116088391161	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
ZBTB7A	75	87	1.2304909771002137	0.200979902009799	chr9	21994622.0	21994736.0	sense	0.5141838757300741	0.2888815465015028	0.15
CLOCK	82	92	1.2285291906475038	0.0163983601639836	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
Gabpa	68	79	1.2239845020323505	0.0770922907709229	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
Nfe2l2	74	89	1.2145686922096517	0.08859114088591141	chr9	21994622.0	21994736.0	antisense	0.45013876990679313	0.34665358019312703	0.15
NFIX	86	95	1.2028180162093507	0.148985101489851	chr9	21994622.0	21994736.0	sense	0.5141838757300741	0.2888815465015028	0.15
NFATC3	77	87	1.2011454477399592	0.2742725727427257	chr9	21994622.0	21994736.0	antisense	0.5485451454854514	0.26078762400835204	0.15
YY1	78	90	1.1761918814241257	0.0725927407259274	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
NR2C2	70	85	1.1662996366163976	0.2094790520947905	chr9	21994622.0	21994736.0	sense	0.5141838757300741	0.2888815465015028	0.15
IRF2	69	87	1.1652440473438774	0.17378262173782622	chr9	21994622.0	21994736.0	sense	0.5141838757300741	0.2888815465015028	0.15
HNF4G	71	86	1.1615134906406779	0.22857714228577142	chr9	21994622.0	21994736.0	sense	0.5141838757300741	0.2888815465015028	0.15
HIC2	84	93	1.1531307579040198	0.2273772622737726	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
GATA2	73	87	1.1349365667218019	0.25607439256074394	chr9	21994622.0	21994736.0	antisense	0.5470680204706803	0.2619586716949217	0.15
TBP	75	90	1.1334865341594649	0.4771522847715228	chr9	21994622.0	21994736.0	sense	0.6847681644049336	0.16445643867064277	0.15
MAX	82	92	1.1230815268601153	0.053094690530946904	chr9	21994622.0	21994736.0	sense	0.45013876990679313	0.34665358019312703	0.15
IRF1	69	90	1.1188823926730043	0.33226677332266774	chr9	21994622.0	21994736.0	antisense	0.5837958260248741	0.23373901441968145	0.15
MAFF	71	89	1.0902669724491794	0.5346465353464653	chr9	21994622.0	21994736.0	sense	0.7283590481531557	0.13765448031407873	0.15
Bcl6	71	85	1.081631828940609	0.202979702029797	chr9	21994622.0	21994736.0	antisense	0.5141838757300741	0.2888815465015028	0.15
