motif	start	end
REST	59	79
EGR4	63	78
TFAP2C	64	75
EGR3	64	78
HES7	64	75
TFAP2B	64	75
TFAP2A(var.2)	64	75
ZIC4	64	78
HES5	64	75
TFAP2A	65	75
EGR3	65	79
Hes1	65	74
SP2	65	79
SP2	66	80
ZBTB7A	66	77
EGR2	66	76
GLIS2	66	79
EGR1	66	79
GLIS3	66	79
Klf12	67	81
EGR2	67	77
SP4	67	83
THAP1	68	76
KLF14	68	81
EGR4	68	83
KLF16	69	79
SP1	69	79
ZBTB7B	69	80
SP8	69	80
SP3	69	79
ZBTB7C	69	80
SP3	70	80
SP1	70	80
ZBTB7A	70	81
NRF1	70	80
KLF16	70	80
ZNF740	70	79
Klf4	71	80
NRF1	71	81
Klf1	71	81
KLF5	71	80
NFIC::TLX1	71	84
REST	73	93
MYBL2	83	97
PPARG	83	102
GRHL1	90	101
