unique_id	wt_id	SNP	rna_1_wt_med	rna_2_wt_med	rna_3_wt_med	rna_4_wt_med	combined_wt_med	rna_1_snp_med	rna_2_snp_med	rna_3_snp_med	rna_4_snp_med	combined_snp_med	rna_1_l2fc	rna_2_l2fc	rna_3_l2fc	rna_4_l2fc	combined_l2fc	rna_1_pval	rna_2_pval	rna_3_pval	rna_4_pval	combined_pval	rna_1_padj	rna_2_padj	rna_3_padj	rna_4_padj	combined_padj	rna_1_sig	rna_2_sig	rna_3_sig	rna_4_sig	combined_sig
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.0.0	rs4970820	1.4184442755025644	2.515815747528245	3.5015070922733726	2.421496045823349	2.4643157902818826	1.1313785821842608	2.6264442223366586	3.3533917644727653	2.49843965598098	2.4024135562436664	-0.28706569331830356	0.11062847480841365	-0.14811532780060732	0.07694361015763107	-0.06190223403821654	0.313917214294	0.757455001208	0.29495293544	0.591208103411	0.481066053629	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.0.0	rs60844753	-1.3457454024197038	0.6475991783412111	0.7251320632941207	-1.632672575252231	-0.4014216840091508	-1.8101430901067947	-0.3614052882221581	0.7094585532642943	0.6892223846188612	-0.19321686011144928	-0.464397687687091	-1.0090044665633693	-0.01567351002982642	2.3218949598710923	0.2082048238977014	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.0.0	rs60844753	-2.5545876539700316	-3.2594813003869643	-2.4327941295654063	-1.6688314196245653	-2.478923625886742	-3.4983242573989197	-2.7278221450564235	-2.209024485705154	-2.683814326089104	-2.7797463035624004	-0.9437366034288881	0.5316591553305408	0.2237696438602521	-1.0149829064645388	-0.3008226776756585	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.0.0	rs115274951	1.776635989901205	2.5953758287722795	3.4071242305090133	2.1364879715589113	2.478906005185352	1.4812398547171608	2.6478747276723387	3.4242605201115697	2.2679010271358795	2.4553190324092373	-0.2953961351840442	0.05249889890005921	0.01713628960255642	0.13141305557696814	-0.0235869727761151	0.248198866138	0.814225899608	0.8931878581	0.973221425691	0.954842218154	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs1555794	-1.915912518829168	-1.6737729610874543	-1.8967727663206504	-1.2562369679325769	-1.6856738035424625	-2.0703316613039355	-0.8408936514650978	-0.9399186710133531	-0.3805225992406413	-1.057916645755757	-0.15441914247476762	0.8328793096223566	0.9568540953072973	0.8757143686919355	0.6277571577867054	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.2.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs1555795	-1.915912518829168	-1.6737729610874543	-1.8967727663206504	-1.2562369679325769	-1.6856738035424625	-2.6429921260050016	-1.4774409868003349	-0.5351843919490549	-0.5724430190293384	-1.3070151309459326	-0.7270796071758336	0.19633197428711946	1.3615883743715955	0.6837939489032385	0.37865867259652997	NA__not_enough_barcodes	NA__no_active_tile	0.259370210024	NA__not_enough_barcodes	0.259370210024	NA__not_enough_barcodes	NA__no_active_tile	1	NA__not_enough_barcodes	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.3.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs73004198	-1.915912518829168	-1.6737729610874543	-1.8967727663206504	-1.2562369679325769	-1.6856738035424625	-3.2761150980019824	-1.916811893149716	-1.52254102945543	-1.2077955718195001	-1.980815898106657	-1.3602025791728145	-0.24303893206226168	0.3742317368652204	0.04844139611307674	-0.29514209456419477	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.3.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs1555794,rs1555795,rs73004198	-1.915912518829168	-1.6737729610874543	-1.8967727663206504	-1.2562369679325769	-1.6856738035424625	-1.1766304817047166	-1.3853697949136876	-0.8835754371662599	-1.8899097692459224	-1.3338713707576466	0.7392820371244513	0.2884031661737667	1.0131973291543905	-0.6336728013133455	0.35180243278481577	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0	rs3934789	-0.8854173279748486	0.09981331515789554	1.071879689888131	0.2623344922564269	0.13715254233190124	0.3049620663256105	0.6277275782414998	1.544361566623644	0.928974813143405	0.8515065060835398	1.190379394300459	0.5279142630836042	0.472481876735513	0.6666403208869781	0.7143539637516386	0.265084565602	0.248198866138	0.76769033028	0.150801701171	0.210459497458	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.0.0	rs12096448	0.05469648800125715	0.22913230978622695	1.870176126991382	0.2451347895489099	0.599784928581944	-0.4679787518737066	1.0572928902328051	1.8264929199026239	0.23996257584607306	0.663942408526949	-0.5226752398749637	0.8281605804465781	-0.04368320708875806	-0.005172213702836853	0.0641574799450049	0.845630974801	0.382791178922	0.87199428352	0.677233097055	0.876523053497	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
