motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ETV5	45	55	8.262189063736999	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ETV3	45	55	7.072337455352246	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ELK4	44	55	6.860631903273447	9.999000099990002e-05	chr1	173837438.0	173837552.0	sense	0.0012641592983558786	2.898198196593294	0.05
Gabpa	43	54	6.789924320901827	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ETV4	45	55	6.780149150265932	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ETV1	45	55	6.727866086156096	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ELF4	45	57	6.577299032442583	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ELF1	45	57	6.530144336649807	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ETV6	45	55	6.396718968425106	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ERF	45	55	6.395311585888015	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
ELK1	45	55	6.352594756491297	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
THAP1	47	56	5.596438281783713	0.00029997000299970003	chr1	173837438.0	173837552.0	sense	0.0031232170900557	2.5053978275736677	0.05
STAT3	47	58	4.587422787072067	9.999000099990002e-05	chr1	173837438.0	173837552.0	sense	0.0012641592983558786	2.898198196593294	0.05
Stat6	45	60	4.395159590333643	0.00019998000199980003	chr1	173837438.0	173837552.0	sense	0.002212278772122788	2.6551601479069995	0.05
Bcl6	47	61	3.9938860742718205	0.000999900009999	chr1	173837438.0	173837552.0	sense	0.009734026597340267	2.011707471420812	0.05
STAT1	47	58	3.989065426296186	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
E2F6	46	57	3.8888043511546515	0.00019998000199980003	chr1	173837438.0	173837552.0	antisense	0.002212278772122788	2.6551601479069995	0.05
NFATC1	45	55	3.8766131921902955	0.0053994600539946005	chr1	173837438.0	173837552.0	sense	0.03675786267527093	1.4346497490629055	0.05
E2F4	46	57	3.8664928040553423	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.0012641592983558786	2.898198196593294	0.05
IRF1	42	63	3.7367714473480653	0.0028997100289971	chr1	173837438.0	173837552.0	sense	0.021385361463853614	1.669883404727706	0.05
HSF4	48	61	3.5802431730314788	0.0010998900109989002	chr1	173837438.0	173837552.0	sense	0.009734026597340267	2.011707471420812	0.05
NFATC3	45	55	3.503011458807266	0.0072992700729927005	chr1	173837438.0	173837552.0	sense	0.046773894039167506	1.3299964725262992	0.05
REL	42	52	3.4328726138828	0.0028997100289971	chr1	173837438.0	173837552.0	sense	0.021385361463853614	1.669883404727706	0.05
HSF2	48	61	3.083918636754212	0.0012998700129987	chr1	173837438.0	173837552.0	sense	0.010956047252417615	1.9603461033421385	0.05
SPI1	45	59	3.0247503786644185	0.0010998900109989002	chr1	173837438.0	173837552.0	antisense	0.009734026597340267	2.011707471420812	0.05
TFAP2A	45	56	2.9980812322957897	0.0093990600939906	chr1	173837438.0	173837552.0	sense	0.05736667712539091	1.2413403052143135	0.05
ZNF263	43	64	2.940755193803057	0.017698230176982303	chr1	173837438.0	173837552.0	antisense	0.10105118520406024	0.9954585883875221	0.05
TEAD1	44	54	2.923600919649069	0.014798520147985201	chr1	173837438.0	173837552.0	sense	0.08731126887311269	1.058929700239761	0.05
HSF1	48	61	2.8357062223653133	0.0014998500149985001	chr1	173837438.0	173837552.0	sense	0.01206697512066975	1.918401582681581	0.05
NFIX	46	55	2.720009074524518	0.029597040295970403	chr1	173837438.0	173837552.0	sense	0.1455187814551878	0.8370809506234048	0.05
MZF1(var.2)	47	57	2.6540440997057155	0.0235976402359764	chr1	173837438.0	173837552.0	antisense	0.1228465388755242	0.9106370749872046	0.05
Tcfl5	47	57	2.5995392904027494	0.1494850514948505	chr1	173837438.0	173837552.0	sense	0.4199818113426752	0.37676951770818934	0.05
Hes1	47	57	2.575904253306558	0.22797720227977203	chr1	173837438.0	173837552.0	antisense	0.5527666411441048	0.2574581740350581	0.05
Rarg(var.2)	43	60	2.479370677239585	0.0038996100389961006	chr1	173837438.0	173837552.0	antisense	0.02760923907609239	1.5589455625605944	0.05
HINFP	44	56	2.46111484973193	0.024897510248975102	chr1	173837438.0	173837552.0	sense	0.1259102661162455	0.8999388581695953	0.05
Pax6	48	62	2.454731982610288	0.0347965203479652	chr1	173837438.0	173837552.0	sense	0.1579226692715344	0.8015555239949743	0.05
TFAP2A(var.2)	44	56	2.4111848052749334	0.04839516048395161	chr1	173837438.0	173837552.0	sense	0.21237876212378762	0.6728889148674312	0.05
ALX3	43	53	2.3481182754378396	0.13108689131086892	chr1	173837438.0	173837552.0	sense	0.407059294070593	0.3903423248974631	0.05
TFAP2A(var.3)	44	57	2.3451217300349354	0.0342965703429657	chr1	173837438.0	173837552.0	antisense	0.1579226692715344	0.8015555239949743	0.05
NFAT5	46	56	2.255104167174081	0.05039496050394961	chr1	173837438.0	173837552.0	sense	0.21237876212378762	0.6728889148674312	0.05
HOXB2	42	52	2.1841049282103966	0.15948405159484053	chr1	173837438.0	173837552.0	antisense	0.4410730801919808	0.35548944750574324	0.05
EGR1	47	61	2.15746632579337	0.030596940305969402	chr1	173837438.0	173837552.0	sense	0.14636914686909688	0.834550458500471	0.05
TEAD4	44	54	2.119012114985919	0.0715928407159284	chr1	173837438.0	173837552.0	sense	0.2815985068159851	0.5503696523825441	0.05
FOXP1	38	53	2.091319998652338	0.06879312068793121	chr1	173837438.0	173837552.0	antisense	0.2767359627673596	0.5579343991657322	0.05
CENPB	40	55	2.0845855069890997	0.09679032096790322	chr1	173837438.0	173837552.0	antisense	0.3294593617561321	0.4821981472414615	0.05
HMBOX1	42	52	2.0843752197702226	0.08809119088091191	chr1	173837438.0	173837552.0	antisense	0.31184281571842815	0.506064256839027	0.05
MAFG	41	62	1.9988868528600423	0.18698130186981302	chr1	173837438.0	173837552.0	antisense	0.48670132986701325	0.31273746708479344	0.05
BCL6B	44	61	1.9794176297070645	0.007399260073992601	chr1	173837438.0	173837552.0	antisense	0.046773894039167506	1.3299964725262992	0.05
RELA	42	52	1.92734259517825	0.023297670232976703	chr1	173837438.0	173837552.0	sense	0.1228465388755242	0.9106370749872046	0.05
XBP1	46	60	1.8617186380292414	0.08099190080991901	chr1	173837438.0	173837552.0	sense	0.29798040604102854	0.5258122923936446	0.05
ZBTB33	48	63	1.8105014168098745	0.1483851614838516	chr1	173837438.0	173837552.0	sense	0.4199818113426752	0.37676951770818934	0.05
TBX19	40	60	1.8051715757671394	0.18398160183981602	chr1	173837438.0	173837552.0	antisense	0.48604094814399157	0.31332714060634603	0.05
Zfx	46	60	1.8014966342952712	0.14538546145385461	chr1	173837438.0	173837552.0	sense	0.4199818113426752	0.37676951770818934	0.05
CTCF	38	57	1.761541862763798	0.16268373162683733	chr1	173837438.0	173837552.0	antisense	0.4430003153530801	0.3535959646210528	0.05
JUN(var.2)	39	53	1.7517601482683691	0.1421857814218578	chr1	173837438.0	173837552.0	antisense	0.4199818113426752	0.37676951770818934	0.05
E2F8	47	59	1.7392601863866433	0.0221977802219778	chr1	173837438.0	173837552.0	sense	0.12278147185281471	0.9108671647843234	0.05
ZBTB18	47	60	1.7350714678331467	0.0791920807919208	chr1	173837438.0	173837552.0	sense	0.29798040604102854	0.5258122923936446	0.05
ZNF143	48	64	1.7008128336013866	0.0496950304969503	chr1	173837438.0	173837552.0	sense	0.21237876212378762	0.6728889148674312	0.05
TFCP2	47	57	1.689296569551117	0.10058994100589941	chr1	173837438.0	173837552.0	antisense	0.3359324444913999	0.4737480497959365	0.05
CREB3	47	61	1.6833090259403534	0.11848815118488151	chr1	173837438.0	173837552.0	sense	0.3813164138131641	0.41871450006317723	0.05
Gmeb1	47	64	1.6693598192170924	0.8012198780121987	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
Hoxc9	39	52	1.6691725426736475	0.14828517148285172	chr1	173837438.0	173837552.0	antisense	0.4199818113426752	0.37676951770818934	0.05
IRF7	40	54	1.6522425622068204	0.08249175082491751	chr1	173837438.0	173837552.0	antisense	0.29798040604102854	0.5258122923936446	0.05
Mitf	47	57	1.6437554314646639	0.36726327367263273	chr1	173837438.0	173837552.0	sense	0.7303999937084943	0.13643923921467507	0.05
Dmbx1	46	63	1.6323025788206196	0.3551644835516448	chr1	173837438.0	173837552.0	sense	0.7143649271436492	0.14607987595866131	0.05
TBP	39	54	1.5995050942824902	0.42775722427757223	chr1	173837438.0	173837552.0	sense	0.7422845950699047	0.12942955244146442	0.05
RARA(var.2)	42	59	1.5812811241532498	0.059194080591940805	chr1	173837438.0	173837552.0	antisense	0.24365935499473307	0.6132169097717228	0.05
MEF2C	42	57	1.5542443393371888	0.2348765123487651	chr1	173837438.0	173837552.0	antisense	0.5617992254828571	0.25041886386842643	0.05
SP1	47	58	1.4808626257171544	0.09529047095290472	chr1	173837438.0	173837552.0	sense	0.3294593617561321	0.4821981472414615	0.05
MYBL2	48	63	1.3958948598698162	0.2101789821017898	chr1	173837438.0	173837552.0	sense	0.5314525690288113	0.27453548923708954	0.05
GATA2	46	60	1.3843500060664977	0.28777122287771223	chr1	173837438.0	173837552.0	sense	0.6447532461943679	0.19060646260491107	0.05
Tcf7	39	51	1.3571832052740767	0.11828817118288171	chr1	173837438.0	173837552.0	antisense	0.3813164138131641	0.41871450006317723	0.05
YY1	46	58	1.3508549164268915	0.22027797220277973	chr1	173837438.0	173837552.0	antisense	0.5491436771815776	0.2603140124833637	0.05
NFKB2	42	55	1.3501492997515934	0.1478852114788521	chr1	173837438.0	173837552.0	sense	0.4199818113426752	0.37676951770818934	0.05
HIC2	48	57	1.3077526794616032	0.38106189381061895	chr1	173837438.0	173837552.0	sense	0.7376165609245526	0.1321693410902635	0.05
ESRRB	41	52	1.3069540234830461	0.12248775122487751	chr1	173837438.0	173837552.0	antisense	0.3871487851214878	0.4121220992207052	0.05
Arid5a	48	62	1.2946365418500179	0.5762423757624238	chr1	173837438.0	173837552.0	antisense	0.9026097390260974	0.044499984817119656	0.05
SP3	49	60	1.2749284517103354	0.32186781321867813	chr1	173837438.0	173837552.0	sense	0.6782214635679289	0.1686284702913242	0.05
E2F1	48	60	1.2742518925529638	0.34226577342265774	chr1	173837438.0	173837552.0	sense	0.7044307197187257	0.15216171302074674	0.05
TCF4	49	59	1.2462492020099627	0.24887511248875113	chr1	173837438.0	173837552.0	antisense	0.5873452654734527	0.23110652769816287	0.05
NFYA	45	63	1.2395020184672747	0.40505949405059494	chr1	173837438.0	173837552.0	sense	0.7422845950699047	0.12942955244146442	0.05
RFX3	45	61	1.2343743232013182	0.31386861313868614	chr1	173837438.0	173837552.0	sense	0.6723195150364482	0.17242428254322528	0.05
Arid3b	41	52	1.2072597913016356	0.3875612438756124	chr1	173837438.0	173837552.0	sense	0.7376165609245526	0.1321693410902635	0.05
RUNX1	39	50	1.2068744222835905	0.4330566943305669	chr1	173837438.0	173837552.0	sense	0.7441848048204889	0.1283192018903859	0.05
ZBTB7A	49	61	1.1848299142416596	0.37246275372462756	chr1	173837438.0	173837552.0	antisense	0.732510082325101	0.1351863932700692	0.05
HOXB3	42	52	1.173548215979126	0.6342365763423657	chr1	173837438.0	173837552.0	antisense	0.92776755382313	0.03256081983404241	0.05
Gata1	40	51	1.1629908107150677	0.2585741425857414	chr1	173837438.0	173837552.0	sense	0.6022055689167926	0.22025523265147212	0.05
E2F7	46	60	1.1616716073640667	0.08029197080291971	chr1	173837438.0	173837552.0	sense	0.29798040604102854	0.5258122923936446	0.05
Hmx3	47	64	1.1564045080830747	0.6042395760423958	chr1	173837438.0	173837552.0	antisense	0.9063593640635936	0.04269957397272501	0.05
RFX5	45	61	1.1173456116390073	0.22367763223677634	chr1	173837438.0	173837552.0	sense	0.5498741792487418	0.2597366732496948	0.05
PLAG1	43	57	1.101673358684713	0.16868313168683133	chr1	173837438.0	173837552.0	antisense	0.45237748952377493	0.34449901386779946	0.05
Myb	43	53	1.0677338045089617	0.28177182281771823	chr1	173837438.0	173837552.0	sense	0.6447532461943679	0.19060646260491107	0.05
MAFF	46	64	1.0552497900608278	0.7514248575142486	chr1	173837438.0	173837552.0	sense	0.9500157127144429	0.022269211670367103	0.05
Myc	50	60	1.0402611206728394	0.30756924307569244	chr1	173837438.0	173837552.0	sense	0.6720957533876242	0.17256884866431238	0.05
RFX2	45	61	1.0058569074445745	0.2842715728427157	chr1	173837438.0	173837552.0	sense	0.6447532461943679	0.19060646260491107	0.05
HLTF	48	58	0.9962974470173859	0.6970302969703029	chr1	173837438.0	173837552.0	sense	0.9354587268545872	0.028975369141762176	0.05
JUN	38	51	0.9832829936173266	0.41155884411558846	chr1	173837438.0	173837552.0	antisense	0.7422845950699047	0.12942955244146442	0.05
USF2	38	49	0.9815056959930514	0.42695730426957307	chr1	173837438.0	173837552.0	sense	0.7422845950699047	0.12942955244146442	0.05
KLF16	49	60	0.973642622043984	0.31526847315268475	chr1	173837438.0	173837552.0	sense	0.6723195150364482	0.17242428254322528	0.05
POU2F1	45	57	0.9676035612414292	0.5928407159284071	chr1	173837438.0	173837552.0	antisense	0.9045931613735179	0.04354669979701076	0.05
ZBTB7B	49	61	0.9603370332625374	0.41855814418558146	chr1	173837438.0	173837552.0	antisense	0.7422845950699047	0.12942955244146442	0.05
CREB3L1	41	55	0.9468305149097902	0.4527547245275472	chr1	173837438.0	173837552.0	sense	0.7560149645412817	0.12146960799961128	0.05
TCF3	49	59	0.9319576496229434	0.515948405159484	chr1	173837438.0	173837552.0	antisense	0.8302078883020788	0.08081314444606977	0.05
TFE3	48	58	0.9148634717537909	0.7408259174082592	chr1	173837438.0	173837552.0	sense	0.9433538660522438	0.025325366386740707	0.05
NR2C2	43	58	0.8984440876865326	0.46135386461353867	chr1	173837438.0	173837552.0	antisense	0.7608600251086002	0.11869523273583173	0.05
FOXH1	42	53	0.8893866716875195	0.42015798420157985	chr1	173837438.0	173837552.0	antisense	0.7422845950699047	0.12942955244146442	0.05
Nfe2l2	48	63	0.8893854589797479	0.6206379362063794	chr1	173837438.0	173837552.0	sense	0.9154409559044097	0.03836966157728379	0.05
IRF9	46	61	0.8560966281062116	0.19288071192880712	chr1	173837438.0	173837552.0	antisense	0.49478095668694	0.30558702400842686	0.05
ZEB1	51	60	0.8478682540428637	0.39336066393360664	chr1	173837438.0	173837552.0	antisense	0.7406897608111529	0.13036365893143678	0.05
IRF2	46	64	0.8476781524264924	0.35106489351064896	chr1	173837438.0	173837552.0	antisense	0.7142354730044237	0.14615858406832336	0.05
LEF1	47	62	0.8360316861044408	0.46425357464253575	chr1	173837438.0	173837552.0	antisense	0.7608600251086002	0.11869523273583173	0.05
NFIA	46	56	0.8356051502671684	0.5493450654934506	chr1	173837438.0	173837552.0	sense	0.8759826720030699	0.05750448461717039	0.05
Klf1	42	53	0.8234886861327858	0.44825517448255175	chr1	173837438.0	173837552.0	sense	0.7556301512705873	0.1216907211192022	0.05
Sox6	40	50	0.823019868747955	0.39786021397860216	chr1	173837438.0	173837552.0	sense	0.7412763986759219	0.13001982705751552	0.05
USF1	38	49	0.8038043647719036	0.6106389361063893	chr1	173837438.0	173837552.0	sense	0.9082612747128648	0.04178920231172123	0.05
Creb3l2	49	58	0.7915098286493304	0.4413558644135586	chr1	173837438.0	173837552.0	sense	0.751153730780768	0.12427117138820022	0.05
Gfi1b	49	60	0.7722290477949736	0.5826417358264173	chr1	173837438.0	173837552.0	antisense	0.9045931613735179	0.04354669979701076	0.05
NFKB1	42	55	0.7578350973399067	0.2950704929507049	chr1	173837438.0	173837552.0	antisense	0.6528434656534347	0.18519093840704015	0.05
NFYB	48	63	0.7577938051469313	0.7248275172482752	chr1	173837438.0	173837552.0	sense	0.9418817242363354	0.026003629836118466	0.05
Tcf12	48	59	0.7568871203169618	0.5886411358864113	chr1	173837438.0	173837552.0	antisense	0.9045931613735179	0.04354669979701076	0.05
MAFK	47	62	0.7547320914020008	0.8104189581041896	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
MNT	49	59	0.7525123875633719	0.7085291470852915	chr1	173837438.0	173837552.0	sense	0.9418817242363354	0.026003629836118466	0.05
MAX	49	59	0.7514968499215954	0.694930506949305	chr1	173837438.0	173837552.0	sense	0.9354587268545872	0.028975369141762176	0.05
TFEB	48	58	0.7385390900455338	0.7156284371562843	chr1	173837438.0	173837552.0	sense	0.9418817242363354	0.026003629836118466	0.05
ZNF740	49	59	0.7350096848602473	0.38536146385361464	chr1	173837438.0	173837552.0	sense	0.7376165609245526	0.1321693410902635	0.05
Esrra	49	60	0.7264219917164981	0.41325867413258677	chr1	173837438.0	173837552.0	sense	0.7422845950699047	0.12942955244146442	0.05
NRF1	51	62	0.7080275267793485	0.5651434856514349	chr1	173837438.0	173837552.0	antisense	0.8931285442884282	0.049086030408716674	0.05
POU4F1	39	53	0.6978020524384196	0.7653234676532347	chr1	173837438.0	173837552.0	antisense	0.9539595336241024	0.02047004740963203	0.05
CEBPB	47	57	0.6722051268829895	0.6931306869313069	chr1	173837438.0	173837552.0	sense	0.9354587268545872	0.028975369141762176	0.05
ZNF410	45	62	0.6618908900735428	0.33536646335366466	chr1	173837438.0	173837552.0	sense	0.6983513413364546	0.15592602835928185	0.05
TEF	46	58	0.6498960376123493	0.6446355364463554	chr1	173837438.0	173837552.0	sense	0.9327252758595108	0.03024625416072801	0.05
CEBPD	47	57	0.6444220187813923	0.6843315668433156	chr1	173837438.0	173837552.0	sense	0.9354587268545872	0.028975369141762176	0.05
Crem	42	52	0.6261864795990798	0.7582241775822418	chr1	173837438.0	173837552.0	sense	0.9518133293053674	0.021448217583873348	0.05
CEBPG	47	57	0.6220126463207849	0.603039696030397	chr1	173837438.0	173837552.0	sense	0.9063593640635936	0.04269957397272501	0.05
JUND	38	49	0.6019892841939368	0.6792320767923208	chr1	173837438.0	173837552.0	antisense	0.9354587268545872	0.028975369141762176	0.05
ATF7	50	64	0.579179985235469	0.6876312368763123	chr1	173837438.0	173837552.0	sense	0.9354587268545872	0.028975369141762176	0.05
TP53	45	63	0.5702539753531628	0.7371262873712628	chr1	173837438.0	173837552.0	antisense	0.9433538660522438	0.025325366386740707	0.05
Mecom	39	53	0.5674874752970841	0.6534346565343465	chr1	173837438.0	173837552.0	antisense	0.9327252758595108	0.03024625416072801	0.05
LIN54	40	49	0.5630099659657624	0.6616338366163383	chr1	173837438.0	173837552.0	sense	0.9354587268545872	0.028975369141762176	0.05
GRHL1	40	52	0.5540115291090781	0.8072192780721927	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
FOSL1	38	49	0.5481927206110083	0.7290270972902709	chr1	173837438.0	173837552.0	antisense	0.9418817242363354	0.026003629836118466	0.05
JUND(var.2)	48	63	0.5396964143389551	0.8592140785921408	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
FOS	38	49	0.5149069516762249	0.8145185481451854	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
HEY1	53	63	0.49905145709226373	0.8442155784421558	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
JUNB	39	50	0.45271685215463114	0.8734126587341265	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
CLOCK	49	59	0.44724098019349184	0.915008499150085	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
ATF4	46	59	0.40426028619134324	0.8557144285571443	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
MLXIPL	49	59	0.38051308207024864	0.9325067493250675	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
Foxj3	47	64	0.3740030560840615	0.9035096490350965	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
BHLHE40	53	63	0.35749957432150653	0.9248075192480751	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
REST	41	62	0.3574416659282355	0.6976302369763023	chr1	173837438.0	173837552.0	antisense	0.9354587268545872	0.028975369141762176	0.05
JDP2(var.2)	51	63	0.3544381008269305	0.8569143085691431	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
SREBF2(var.2)	38	48	0.33942865181584647	0.8336166383361664	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
Srebf1(var.2)	38	48	0.3376586147364721	0.8923107689231077	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
SREBF1	38	48	0.3323202467000829	0.8485151484851515	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
NFE2	51	62	0.31567699037056324	0.8501149885011499	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
TFAP4	49	59	0.314730662686872	0.9334066593340666	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
MLX	49	59	0.29712577080245467	0.9335066493350664	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
SP4	46	63	0.29563092032835137	0.649035096490351	chr1	173837438.0	173837552.0	sense	0.9327252758595108	0.03024625416072801	0.05
RARA	40	58	0.293244038909963	0.49725027497250274	chr1	173837438.0	173837552.0	antisense	0.8074614556892935	0.09287819962345471	0.05
SREBF2	51	61	0.2453277618439593	0.9473052694730527	chr1	173837438.0	173837552.0	sense	0.9748432133530833	0.011065227430667079	0.05
TGIF2	41	53	0.23402411548409938	0.9082091790820918	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
Foxk1	47	64	0.17590992948640893	0.9223077692230777	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
JDP2	39	48	0.15694881550493356	0.9446055394460554	chr1	173837438.0	173837552.0	sense	0.9748432133530833	0.011065227430667079	0.05
Nr2f6	49	63	0.1455998632248225	0.9168083191680831	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
NR3C1	42	59	0.13475928405271234	0.8867113288671132	chr1	173837438.0	173837552.0	antisense	0.9719451584253338	0.012358239256016272	0.05
PKNOX1	52	64	0.11772715383617217	0.8552144785521448	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
MTF1	39	53	0.1066409173954423	0.8826117388261174	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
TGIF1	52	64	0.0889048716046996	0.8786121387861214	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
RXRB	41	55	-0.0	0.9046095390460954	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
Rxra	41	55	-0.0	0.9049095090490951	chr1	173837438.0	173837552.0	sense	0.9719451584253338	0.012358239256016272	0.05
Nr2f6(var.2)	45	60	-0.20062808182391748	0.9642035796420358	chr1	173837438.0	173837552.0	sense	0.9808277792910364	0.008407242436221929	0.05
Rarg	45	61	-0.24870246356481715	0.9628037196280372	chr1	173837438.0	173837552.0	sense	0.9808277792910364	0.008407242436221929	0.05
RREB1	44	64	-0.3216669530375016	0.7245275472452755	chr1	173837438.0	173837552.0	antisense	0.9418817242363354	0.026003629836118466	0.05
E2F2	42	58	-0.37248295742353754	0.9938006199380062	chr1	173837438.0	173837552.0	sense	0.9946005399460054	0.002351309335136094	0.05
KLF13	38	56	-0.40356505419977634	0.9823017698230176	chr1	173837438.0	173837552.0	sense	0.9935280757638522	0.0028198558042580335	0.05
E2F3	43	61	-0.5281501345406414	0.9946005399460054	chr1	173837438.0	173837552.0	antisense	0.9946005399460054	0.002351309335136094	0.05
