motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP3	20	31	7.580124707670919	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Hes1	20	30	7.194848627208056	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
KLF14	19	33	6.436783841625584	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
KLF16	20	31	6.3904116246755525	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
SP8	20	32	6.091396431993161	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Tcfl5	20	30	5.696668437551818	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Zfx	17	31	5.108614012964746	9.999000099990002e-05	chr3	70048804.0	70048918.0	antisense	0.0032434256574342566	2.4889960520843295	0.05
SP4	17	34	5.078677081507583	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Klf12	19	34	5.048900123950703	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
EGR1	20	34	4.623970636949335	0.0010998900109989002	chr3	70048804.0	70048918.0	sense	0.017838841115888415	1.7486333625900856	0.05
KLF5	20	30	4.51141794359289	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
EGR4	15	31	4.430289788946575	0.0004999500049995	chr3	70048804.0	70048918.0	sense	0.009979771253643866	2.000879413063204	0.05
Klf1	19	30	4.241600310437177	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Pax2	19	27	4.236110660455187	0.00019998000199980003	chr3	70048804.0	70048918.0	sense	0.005766090057660902	2.2391185788677297	0.05
SP1	20	31	4.121953977064853	0.00039996000399960006	chr3	70048804.0	70048918.0	sense	0.008649135086491351	2.0630273198120483	0.05
CREB3	18	32	3.9302983730903454	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
CREB3L1	18	32	3.8933321740525435	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
ARNT::HIF1A	21	29	3.8543606748954655	0.00029997000299970003	chr3	70048804.0	70048918.0	antisense	0.007413544359849729	2.129974109442662	0.05
Klf4	20	30	3.7242488160206473	0.00039996000399960006	chr3	70048804.0	70048918.0	antisense	0.008649135086491351	2.0630273198120483	0.05
EGR3	15	30	3.7032951375288086	0.0006999300069993001	chr3	70048804.0	70048918.0	sense	0.012526333573539198	1.902176027313104	0.05
EGR2	17	28	3.699768652424067	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Mitf	19	29	3.679281429797415	0.0022997700229977	chr3	70048804.0	70048918.0	sense	0.03141001689304754	1.502931830027622	0.05
HEY1	20	30	3.552573258415457	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
Arntl	19	29	3.48646159702067	0.00019998000199980003	chr3	70048804.0	70048918.0	sense	0.005766090057660902	2.2391185788677297	0.05
HEY2	20	30	3.4862948708690973	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0032434256574342566	2.4889960520843295	0.05
MNT	20	30	3.421757955524066	0.0007999200079992001	chr3	70048804.0	70048918.0	sense	0.013838616138386162	1.8589073371561238	0.05
XBP1	17	31	3.3899575083916407	0.0005999400059994001	chr3	70048804.0	70048918.0	sense	0.011120316539774595	1.9538828503869803	0.05
THAP1	23	32	3.3103741084327094	0.0124987501249875	chr3	70048804.0	70048918.0	sense	0.11583663062265202	0.9361540834265488	0.05
Gmeb1	16	33	3.2745490504667014	0.0372962703729627	chr3	70048804.0	70048918.0	antisense	0.23605810150692247	0.6269810900034339	0.05
Ahr::Arnt	22	28	3.1227702815451366	0.00029997000299970003	chr3	70048804.0	70048918.0	antisense	0.007413544359849729	2.129974109442662	0.05
Npas2	20	30	3.1174359341037734	0.0005999400059994001	chr3	70048804.0	70048918.0	antisense	0.011120316539774595	1.9538828503869803	0.05
HINFP	21	33	3.1078512684976274	0.0017998200179982	chr3	70048804.0	70048918.0	sense	0.026688759695459023	1.5736716086753744	0.05
MAX::MYC	20	31	3.010899661687962	0.0004999500049995	chr3	70048804.0	70048918.0	antisense	0.009979771253643866	2.000879413063204	0.05
USF1	20	31	2.979109070379938	0.0008999100089991	chr3	70048804.0	70048918.0	sense	0.015066235311952674	1.8219952538233526	0.05
Hes2	16	29	2.9309766718746633	0.028397160283971604	chr3	70048804.0	70048918.0	sense	0.20342765723427655	0.6915900024079477	0.05
MAX	20	30	2.8703460647820824	0.0015998400159984002	chr3	70048804.0	70048918.0	sense	0.025161120251611206	1.5992700266503674	0.05
SP2	14	29	2.8252078874567075	0.0841915808419158	chr3	70048804.0	70048918.0	sense	0.4083685089434982	0.38894775561396494	0.05
GLI2	17	29	2.816638359270551	0.0028997100289971	chr3	70048804.0	70048918.0	sense	0.03762373762623738	1.4245380628574111	0.05
ZBTB7C	17	29	2.789388619271006	0.0192980701929807	chr3	70048804.0	70048918.0	sense	0.15811700079992003	0.8010214320497739	0.05
TFE3	20	30	2.762335968500365	0.0038996100389961006	chr3	70048804.0	70048918.0	sense	0.04706738628462735	1.327279917981492	0.05
ZBTB7A	16	28	2.7318763139141797	0.006799320067993201	chr3	70048804.0	70048918.0	sense	0.07057694230576943	1.1513371610581873	0.05
Creb3l2	20	29	2.5903619519564933	0.00029997000299970003	chr3	70048804.0	70048918.0	sense	0.007413544359849729	2.129974109442662	0.05
Mycn	20	28	2.5302472258062614	0.00039996000399960006	chr3	70048804.0	70048918.0	sense	0.008649135086491351	2.0630273198120483	0.05
Rfx1	17	31	2.476276485072494	0.0037996200379962005	chr3	70048804.0	70048918.0	antisense	0.04695244761238162	1.3283417632094952	0.05
E2F4	18	29	2.447057740849642	0.0287971202879712	chr3	70048804.0	70048918.0	antisense	0.20342765723427655	0.6915900024079477	0.05
ZNF263	13	34	2.446409554331512	0.10028997100289971	chr3	70048804.0	70048918.0	antisense	0.46429781800581	0.3332033573208235	0.05
TBX5	21	29	2.4291989824296163	0.014798520147985201	chr3	70048804.0	70048918.0	antisense	0.13017681282719187	0.8854663656755916	0.05
NFIX	17	26	2.383186774083313	0.0173982601739826	chr3	70048804.0	70048918.0	antisense	0.14802782016880278	0.8296566561565721	0.05
USF2	20	31	2.257360329394666	0.0024997500249975004	chr3	70048804.0	70048918.0	sense	0.03326590417881289	1.4780006677828665	0.05
PLAG1	17	31	2.2325107370866597	0.027497250274972504	chr3	70048804.0	70048918.0	antisense	0.2010010266578976	0.6968017243172174	0.05
TFEC	20	30	2.22791032170503	0.007599240075992401	chr3	70048804.0	70048918.0	sense	0.07584626152769339	1.1200658207824126	0.05
Hic1	23	32	2.169034224058898	0.023497650234976502	chr3	70048804.0	70048918.0	sense	0.17674319524569285	0.7526572978939238	0.05
CENPB	13	28	2.164197413367954	0.041195880411958805	chr3	70048804.0	70048918.0	sense	0.24921577609680892	0.6034244690155716	0.05
TFEB	20	30	2.1459721523093918	0.006999300069993001	chr3	70048804.0	70048918.0	sense	0.07122817130051701	1.1473482055120843	0.05
BHLHE40	20	30	2.1309875040337345	0.0037996200379962005	chr3	70048804.0	70048918.0	sense	0.04695244761238162	1.3283417632094952	0.05
TFAP2A(var.2)	18	30	2.1180985557643033	0.06929307069293071	chr3	70048804.0	70048918.0	sense	0.3707536462848561	0.43091456908284287	0.05
Id2	21	29	2.1064702643361293	0.0016998300169983002	chr3	70048804.0	70048918.0	antisense	0.025947405259474053	1.585906065092386	0.05
TBX2	19	30	2.106170091282086	0.0476952304769523	chr3	70048804.0	70048918.0	antisense	0.27886332245896295	0.5546086026258781	0.05
Mlxip	21	29	2.1002861039573832	0.0018998100189981002	chr3	70048804.0	70048918.0	antisense	0.02738892777388928	1.5624249692428631	0.05
TBX4	21	29	2.09652918487253	0.015398460153984602	chr3	70048804.0	70048918.0	antisense	0.1331966803319668	0.8755065989755855	0.05
Myc	21	31	2.00297772494009	0.006299370062993701	chr3	70048804.0	70048918.0	sense	0.06672189923864756	1.1757316000033367	0.05
HIC2	17	26	1.976703787708568	0.0660933906609339	chr3	70048804.0	70048918.0	sense	0.35731739326067397	0.446945842982333	0.05
GLIS1	14	30	1.9660725144958633	0.0082991700829917	chr3	70048804.0	70048918.0	sense	0.08126923156740928	1.0900738466531201	0.05
ESR2	18	33	1.9435744350321371	0.050594940505949405	chr3	70048804.0	70048918.0	sense	0.2854214578542146	0.5445133799341609	0.05
REST	13	34	1.9434899292065468	0.0053994600539946005	chr3	70048804.0	70048918.0	antisense	0.05838166183381662	1.2337235469810235	0.05
MTF1	16	30	1.9377650201201893	0.004999500049995001	chr3	70048804.0	70048918.0	sense	0.05766090057660901	1.2391185788677297	0.05
HES5	19	31	1.9376264136198669	0.0047995200479952005	chr3	70048804.0	70048918.0	sense	0.05661252056612521	1.247087508539005	0.05
ZNF354C	19	25	1.9276560027121077	0.0105989401059894	chr3	70048804.0	70048918.0	sense	0.10001545300015453	0.9999328936578784	0.05
RARA::RXRA	13	30	1.91445286476217	0.07339266073392661	chr3	70048804.0	70048918.0	antisense	0.3793863332113391	0.42091831793287643	0.05
SMAD2::SMAD3::SMAD4	14	27	1.9054982636821298	0.036996300369963	chr3	70048804.0	70048918.0	sense	0.23605810150692247	0.6269810900034339	0.05
TFAP2C	17	29	1.8931383838266662	0.09619038096190381	chr3	70048804.0	70048918.0	sense	0.4497550244975502	0.34702397617724934	0.05
Arnt	22	28	1.873439120981357	0.0020997900209979003	chr3	70048804.0	70048918.0	antisense	0.0294538113756192	1.5308584987614804	0.05
TFAP2B	17	29	1.8566056608064019	0.09099090090990901	chr3	70048804.0	70048918.0	sense	0.4332502529563557	0.36326117504793487	0.05
Pax6	20	34	1.848316913584814	0.038396160383961604	chr3	70048804.0	70048918.0	sense	0.24009165348525388	0.619622937436948	0.05
Atf3	23	31	1.8450626983944365	0.0086991300869913	chr3	70048804.0	70048918.0	antisense	0.08360830583608306	1.0777505766327549	0.05
TFAP2A	17	28	1.804064224776004	0.07379262073792621	chr3	70048804.0	70048918.0	sense	0.3793863332113391	0.42091831793287643	0.05
ZBTB33	18	33	1.7975481277658076	0.05699430056994301	chr3	70048804.0	70048918.0	sense	0.3180649676967787	0.4974841623098485	0.05
NR4A2	17	25	1.7798366159577272	0.020897910208979104	chr3	70048804.0	70048918.0	sense	0.16331602133904258	0.7869712087854502	0.05
E2F1	21	33	1.7735530637004284	0.031796820317968204	chr3	70048804.0	70048918.0	sense	0.21290178674440247	0.6718206937989792	0.05
CLOCK	20	30	1.7675999557209896	0.018598140185981403	chr3	70048804.0	70048918.0	antisense	0.1556844315568443	0.8077548147087424	0.05
RFX4	16	32	1.746213177271319	0.032996700329967	chr3	70048804.0	70048918.0	sense	0.21677579077535283	0.6639892208409588	0.05
BHLHE41	20	30	1.735661464901259	0.0053994600539946005	chr3	70048804.0	70048918.0	antisense	0.05838166183381662	1.2337235469810235	0.05
CREB1	21	29	1.7351045096218387	0.014798520147985201	chr3	70048804.0	70048918.0	sense	0.13017681282719187	0.8854663656755916	0.05
YY2	21	32	1.7104487909240123	0.0580941905809419	chr3	70048804.0	70048918.0	sense	0.3207540948032856	0.4938277906377728	0.05
ZNF740	15	25	1.7000800695306546	0.16468353164683533	chr3	70048804.0	70048918.0	sense	0.6307508954986855	0.2001421242271748	0.05
NRF1	19	30	1.6883892078708602	0.0484951504849515	chr3	70048804.0	70048918.0	sense	0.27886332245896295	0.5546086026258781	0.05
HES7	19	31	1.6866542863491536	0.0051994800519948	chr3	70048804.0	70048918.0	sense	0.05838166183381662	1.2337235469810235	0.05
ZIC4	17	32	1.6646755006099863	0.15408459154084592	chr3	70048804.0	70048918.0	sense	0.6203425811265028	0.2073684072703461	0.05
GLIS2	15	29	1.6626642474511977	0.074992500749925	chr3	70048804.0	70048918.0	sense	0.3793863332113391	0.42091831793287643	0.05
GLIS3	15	29	1.650773959952523	0.029397060293970604	chr3	70048804.0	70048918.0	sense	0.20342765723427655	0.6915900024079477	0.05
Atf1	22	30	1.6440008460879811	0.0211978802119788	chr3	70048804.0	70048918.0	antisense	0.16331602133904258	0.7869712087854502	0.05
RXRA::VDR	15	30	1.642504395236664	0.013998600139986002	chr3	70048804.0	70048918.0	antisense	0.12746093811671466	0.8946228894226582	0.05
SREBF1	20	30	1.6313139462122777	0.04889511048895111	chr3	70048804.0	70048918.0	sense	0.27886332245896295	0.5546086026258781	0.05
MLXIPL	20	30	1.6212638451170434	0.021397860213978603	chr3	70048804.0	70048918.0	antisense	0.16331602133904258	0.7869712087854502	0.05
Ar	14	31	1.605619539988568	0.0292970702929707	chr3	70048804.0	70048918.0	antisense	0.20342765723427655	0.6915900024079477	0.05
MGA	21	29	1.600354256147236	0.04129587041295871	chr3	70048804.0	70048918.0	antisense	0.24921577609680892	0.6034244690155716	0.05
E2F6	18	29	1.597638504090763	0.13058694130586943	chr3	70048804.0	70048918.0	antisense	0.5695346431743381	0.24447985388188037	0.05
MEIS3	17	25	1.5133888285148416	0.07529247075292471	chr3	70048804.0	70048918.0	antisense	0.3793863332113391	0.42091831793287643	0.05
