motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
GRHL1	80	92	2.1701161322180216	0.0020997900209979003	chr11	65265021.0	65265135.0	antisense	0.18583141685831417	0.7308808618451179	0.15
TFCP2	81	91	2.1616171042768744	0.0015998400159984002	chr11	65265021.0	65265135.0	sense	0.18583141685831417	0.7308808618451179	0.15
Dmbx1	75	92	2.078219822461346	0.0408959104089591	chr11	65265021.0	65265135.0	antisense	0.48338291170882913	0.31570870660055894	0.15
HLTF	82	92	2.0645084970108853	0.022297770222977704	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
HSF4	78	91	2.0579084623363144	0.008399160083991601	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
TBP	71	86	1.9983472348633364	0.08209179082091791	chr11	65265021.0	65265135.0	antisense	0.49555044495550443	0.3049121295728368	0.15
THAP1	80	89	1.87367671816362	0.07889211078892111	chr11	65265021.0	65265135.0	sense	0.49555044495550443	0.3049121295728368	0.15
ZNF263	71	92	1.7988298030624967	0.1136886311368863	chr11	65265021.0	65265135.0	antisense	0.49555044495550443	0.3049121295728368	0.15
Hes1	70	80	1.7942449300244	0.3006699330066993	chr11	65265021.0	65265135.0	sense	0.527338528283094	0.2779104971884056	0.15
ETV1	83	93	1.7840819247387496	0.0165983401659834	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
ETV4	83	93	1.7803555190646454	0.0160983901609839	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
MEF2C	72	87	1.681803772792161	0.05909409059094091	chr11	65265021.0	65265135.0	antisense	0.49555044495550443	0.3049121295728368	0.15
ZBTB33	78	93	1.6318163753949673	0.05469453054694531	chr11	65265021.0	65265135.0	sense	0.49555044495550443	0.3049121295728368	0.15
ETV5	83	93	1.593229928988171	0.05399460053994601	chr11	65265021.0	65265135.0	sense	0.49555044495550443	0.3049121295728368	0.15
Gmeb1	76	93	1.5840566591496832	0.5880411958804119	chr11	65265021.0	65265135.0	antisense	0.6715051075537607	0.17295067968330993	0.15
ETV3	83	93	1.5592822792830703	0.027097290270972903	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
GATA2	75	89	1.490308760467888	0.0715928407159284	chr11	65265021.0	65265135.0	sense	0.49555044495550443	0.3049121295728368	0.15
CENPB	74	89	1.455284248375735	0.1110888911108889	chr11	65265021.0	65265135.0	antisense	0.49555044495550443	0.3049121295728368	0.15
TCF4	80	90	1.4239369838819194	0.031996800319968	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
ZEB1	79	88	1.423496519531347	0.012598740125987402	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
REL	76	86	1.3830638515883598	0.0670932906709329	chr11	65265021.0	65265135.0	sense	0.49555044495550443	0.3049121295728368	0.15
E2F6	80	91	1.372054276682423	0.043695630436956304	chr11	65265021.0	65265135.0	antisense	0.48338291170882913	0.31570870660055894	0.15
HMBOX1	79	89	1.3575963268087827	0.1110888911108889	chr11	65265021.0	65265135.0	antisense	0.49555044495550443	0.3049121295728368	0.15
EGR1	78	92	1.3575070474448165	0.11758824117588242	chr11	65265021.0	65265135.0	sense	0.49555044495550443	0.3049121295728368	0.15
ALX3	73	83	1.3325508470296634	0.28247175282471754	chr11	65265021.0	65265135.0	sense	0.527338528283094	0.2779104971884056	0.15
NR3C1	69	86	1.325370000164974	0.04329567043295671	chr11	65265021.0	65265135.0	antisense	0.48338291170882913	0.31570870660055894	0.15
Mitf	71	81	1.3216690482220574	0.26707329267073293	chr11	65265021.0	65265135.0	antisense	0.527338528283094	0.2779104971884056	0.15
E2F4	80	91	1.3069572677202979	0.058994100589941006	chr11	65265021.0	65265135.0	antisense	0.49555044495550443	0.3049121295728368	0.15
ERF	83	93	1.3019239180517856	0.037696230376962306	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
HOXB3	79	89	1.2901955487603403	0.28757124287571245	chr11	65265021.0	65265135.0	antisense	0.527338528283094	0.2779104971884056	0.15
MTF1	77	91	1.2356193599096463	0.028897110288971104	chr11	65265021.0	65265135.0	sense	0.48338291170882913	0.31570870660055894	0.15
