motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
EGR1	1	15	2.7615335451284717	0.0011998800119988001	chr1	211556065.0	211556179.0	sense	0.31136886311368867	0.5067248190447611	0.1
SP2	1	16	2.5225749122207826	0.0059994000599940004	chr1	211556065.0	211556179.0	sense	0.6642535746425359	0.17766609978053635	0.1
SPIB	2	9	2.0753715898184253	9.999000099990002e-05	chr1	211556065.0	211556179.0	antisense	0.051894810518948106	1.2848760694284047	0.1
EGR4	2	18	2.018027213697291	0.0047995200479952005	chr1	211556065.0	211556179.0	sense	0.6642535746425359	0.17766609978053635	0.1
SP1	1	12	1.6921616082380444	0.020097990200979902	chr1	211556065.0	211556179.0	sense	0.9482597194825972	0.023072697166140965	0.1
EGR3	2	17	1.633473083572718	0.006399360063993601	chr1	211556065.0	211556179.0	sense	0.6642535746425359	0.17766609978053635	0.1
CTCF	2	21	1.548590883770901	0.015798420157984203	chr1	211556065.0	211556179.0	antisense	0.9482597194825972	0.023072697166140965	0.1
MZF1(var.2)	2	12	1.4635029607277847	0.0382961703829617	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
E2F4	1	12	1.4287786541037804	0.027297270272972702	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
ZNF263	1	22	1.4196895146477007	0.18668133186681332	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
MAFG	1	22	1.3850171881417517	0.0240975902409759	chr1	211556065.0	211556179.0	antisense	0.9620499488512687	0.016802379160373207	0.1
SP3	1	12	1.3816811272085874	0.11598840115988401	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Hes1	5	15	1.3600882797132754	0.2278772122787721	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Tcfl5	1	11	1.3443202361178357	0.1528847115288471	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
THAP1	4	13	1.261051082042396	0.12988701129887012	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
TBX2	2	13	1.225535007356371	0.06579342065793421	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
PAX5	1	20	1.196097966710415	0.12378762123787622	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
E2F1	2	14	1.1860319560009749	0.015498450154984501	chr1	211556065.0	211556179.0	sense	0.9482597194825972	0.023072697166140965	0.1
EGR2	4	15	1.1688933771517669	0.030296970302969704	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
KLF5	1	11	1.166052120258689	0.0888911108889111	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
NRL	1	12	1.1641166191183796	0.09369063093690631	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
E2F6	5	16	1.1357119164975076	0.07779222077792221	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
CENPB	3	18	1.135367611916475	0.09019098090190981	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
ZBTB7C	2	14	1.0989830653083512	0.15608439156084392	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
ELK4	4	15	1.0742485920388303	0.0408959104089591	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
SP8	3	15	1.0592012945881737	0.1591840815918408	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
KLF16	3	14	1.0200919451110246	0.1518848115188481	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
INSM1	5	17	1.0120427299621642	0.0796920307969203	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
ZIC4	6	21	1.0092465048428105	0.17578242175782421	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Gabpa	3	14	1.0072176398868347	0.047295270472952705	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
RARA::RXRA	1	18	1.0032639955611407	0.14008599140085992	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
Hes2	1	14	0.9877819639772645	0.38666133386661333	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
CEBPE	1	11	0.9828215632699022	0.023697630236976304	chr1	211556065.0	211556179.0	sense	0.9620499488512687	0.016802379160373207	0.1
TFAP2A(var.2)	5	17	0.9680338017537807	0.19908009199080093	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Klf4	3	13	0.9680131785368832	0.132986701329867	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
YY2	2	13	0.9611325632989793	0.0745925407459254	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
ZIC3	6	21	0.95350619723837	0.1294870512948705	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
ZBTB33	1	16	0.947849827651978	0.12098790120987901	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
CEBPB	1	11	0.9464218719679142	0.0187981201879812	chr1	211556065.0	211556179.0	sense	0.9482597194825972	0.023072697166140965	0.1
KLF14	2	16	0.9463577973556931	0.1284871512848715	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Gmeb1	1	18	0.9459658315735822	0.6491350864913509	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
NRF1	3	14	0.9434876558622254	0.0731926807319268	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
ZNF740	4	14	0.9360761994600333	0.18818118188181182	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Myog	1	12	0.9284589837989403	0.0380961903809619	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
CEBPD	1	11	0.9180500023372408	0.019498050194980503	chr1	211556065.0	211556179.0	sense	0.9482597194825972	0.023072697166140965	0.1
SP4	3	20	0.9176436199144247	0.0958904109589041	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
STAT3	1	12	0.9152498686298777	0.0367963203679632	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
IRF1	1	22	0.9067436918009086	0.1912808719128087	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
TBR1	2	12	0.8976014762078335	0.08159184081591841	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
Pax6	1	15	0.8841455000126632	0.11938806119388061	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
HSF4	2	15	0.8748865210064467	0.11188881111888811	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
TCF4	5	15	0.862672301280234	0.0745925407459254	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Spz1	3	14	0.8597214877391873	0.11868813118688132	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
CEBPG	1	11	0.8593958296495334	0.014298570142985701	chr1	211556065.0	211556179.0	sense	0.9482597194825972	0.023072697166140965	0.1
ZBTB7A	3	15	0.8578143514803092	0.1887811218878112	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
ETV5	3	13	0.8559950545427291	0.1618838116188381	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
NR2C2	5	20	0.8506496231519195	0.1521847815218478	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
Bcl6	1	15	0.8487786324009162	0.14428557144285573	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Pax2	4	12	0.8463845274904386	0.24527547245275472	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
Klf12	6	21	0.8455763611203444	0.11798820117988201	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
HINFP	2	14	0.8360327451166731	0.17248275172482752	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
REST	2	23	0.8358374159243511	0.052094790520947905	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
Hand1::Tcf3	1	11	0.8332890381160373	0.1536846315368463	chr1	211556065.0	211556179.0	antisense	0.9843828482648811	0.006835961983468235	0.1
TFAP2A	5	16	0.8296021558995782	0.192980701929807	chr1	211556065.0	211556179.0	sense	0.9843828482648811	0.006835961983468235	0.1
