motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	11	28	5.6470942386611735	0.0020997900209979003	chr13	50656285.0	50656399.0	antisense	0.08649135086491351	1.0630273198120483	0.1
NRF1	12	23	5.32621085272842	9.999000099990002e-05	chr13	50656285.0	50656399.0	sense	0.051894810518948106	1.2848760694284047	0.1
Tcfl5	11	21	4.975888242911458	0.0011998800119988001	chr13	50656285.0	50656399.0	sense	0.07784221577842217	1.1087848103727236	0.1
Hes1	11	21	4.6931244242786025	0.0057994200579942	chr13	50656285.0	50656399.0	antisense	0.11776130079299763	0.9289974057570786	0.1
Hes2	12	25	4.289453630530541	0.004199580041995801	chr13	50656285.0	50656399.0	antisense	0.10626080249117946	0.9736269085827375	0.1
HINFP	12	24	3.6854328157776832	0.0005999400059994001	chr13	50656285.0	50656399.0	sense	0.06672189923864756	1.1757316000033367	0.1
Mitf	12	22	3.4602776068022303	0.0058994100589941	chr13	50656285.0	50656399.0	antisense	0.11776130079299763	0.9289974057570786	0.1
NRL	15	26	3.4387757533333487	0.010798920107989201	chr13	50656285.0	50656399.0	sense	0.16983756169837563	0.7699662538193426	0.1
CEBPE	15	25	3.2829743080365024	0.0007999200079992001	chr13	50656285.0	50656399.0	sense	0.06672189923864756	1.1757316000033367	0.1
NHLH1	11	21	3.2766024256706126	0.0008999100089991	chr13	50656285.0	50656399.0	antisense	0.06672189923864756	1.1757316000033367	0.1
CEBPB	15	25	3.1321712842771237	0.0007999200079992001	chr13	50656285.0	50656399.0	sense	0.06672189923864756	1.1757316000033367	0.1
GSC2	12	22	3.0899271632296124	0.017198280171982803	chr13	50656285.0	50656399.0	sense	0.20286153202861534	0.6928002990070433	0.1
Npas2	11	21	3.0845338206463686	0.0023997600239976003	chr13	50656285.0	50656399.0	antisense	0.08649135086491351	1.0630273198120483	0.1
CEBPD	15	25	3.0571001870451697	0.0006999300069993001	chr13	50656285.0	50656399.0	sense	0.06672189923864756	1.1757316000033367	0.1
Arntl	12	22	3.0431789953829047	0.0029997000299970002	chr13	50656285.0	50656399.0	antisense	0.08649135086491351	1.0630273198120483	0.1
MNT	11	21	3.0271983570445995	0.0029997000299970002	chr13	50656285.0	50656399.0	antisense	0.08649135086491351	1.0630273198120483	0.1
HEY2	11	21	3.007113729581461	0.0020997900209979003	chr13	50656285.0	50656399.0	sense	0.08649135086491351	1.0630273198120483	0.1
CEBPG	15	25	2.974180122768501	0.0004999500049995	chr13	50656285.0	50656399.0	sense	0.06672189923864756	1.1757316000033367	0.1
TCF4	11	21	2.9677621729114043	0.001999800019998	chr13	50656285.0	50656399.0	sense	0.08649135086491351	1.0630273198120483	0.1
Myc	10	20	2.9639642341719563	0.0017998200179982	chr13	50656285.0	50656399.0	antisense	0.08649135086491351	1.0630273198120483	0.1
TFE3	11	21	2.9074583950702912	0.010198980101989802	chr13	50656285.0	50656399.0	antisense	0.16703642135786423	0.7771888230431385	0.1
Neurog1	11	21	2.8784062476891235	0.04229577042295771	chr13	50656285.0	50656399.0	sense	0.3784742215433629	0.42196369561629976	0.1
HEY1	11	21	2.827015301853921	0.0029997000299970002	chr13	50656285.0	50656399.0	sense	0.08649135086491351	1.0630273198120483	0.1
ARNT::HIF1A	12	20	2.817289866920605	0.0024997500249975004	chr13	50656285.0	50656399.0	sense	0.08649135086491351	1.0630273198120483	0.1
MAX::MYC	11	22	2.8138402479885944	0.0026997300269973002	chr13	50656285.0	50656399.0	antisense	0.08649135086491351	1.0630273198120483	0.1
MAX	11	21	2.698697402749221	0.007399260073992601	chr13	50656285.0	50656399.0	sense	0.1422302214223022	0.847008113856416	0.1
TCF3	11	21	2.679877291788192	0.0047995200479952005	chr13	50656285.0	50656399.0	sense	0.11055850936645466	0.956407825417484	0.1
USF2	10	21	2.662965217531651	0.004899510048995101	chr13	50656285.0	50656399.0	antisense	0.11055850936645466	0.956407825417484	0.1
TFEC	11	21	2.6263018239690603	0.009099090090990901	chr13	50656285.0	50656399.0	antisense	0.1574142585741426	0.8029559318269737	0.1
LBX2	12	22	2.570545670385872	0.061993800619938005	chr13	50656285.0	50656399.0	antisense	0.4303809619038096	0.36614694812928616	0.1
SNAI2	12	21	2.5233618012387176	0.012598740125987402	chr13	50656285.0	50656399.0	antisense	0.17812543070017323	0.7492740725394429	0.1
TFEB	11	21	2.453416667347214	0.011898810118988102	chr13	50656285.0	50656399.0	antisense	0.17644235576442355	0.7533971523861498	0.1
BHLHE40	11	21	2.4409384644808414	0.0057994200579942	chr13	50656285.0	50656399.0	antisense	0.11776130079299763	0.9289974057570786	0.1
NEUROD2	11	21	2.3951669970564593	0.015898410158984102	chr13	50656285.0	50656399.0	sense	0.19645892553601782	0.7067282355058538	0.1
CEBPA	15	26	2.344391342510403	0.010298970102989701	chr13	50656285.0	50656399.0	sense	0.16703642135786423	0.7771888230431385	0.1
Id2	12	20	2.3398551085605774	0.0035996400359964	chr13	50656285.0	50656399.0	antisense	0.09832700940432272	1.0073271696139465	0.1
Myod1	11	24	2.328330285375693	0.018198180181981802	chr13	50656285.0	50656399.0	sense	0.20532294596627293	0.6875625131249041	0.1
Mlxip	12	20	2.3066621643984737	0.004299570042995701	chr13	50656285.0	50656399.0	antisense	0.10626080249117946	0.9736269085827375	0.1
USF1	10	21	2.301286210024812	0.011698830116988301	chr13	50656285.0	50656399.0	antisense	0.17644235576442355	0.7533971523861498	0.1
Barhl1	11	21	2.2867311404816273	0.1274872512748725	chr13	50656285.0	50656399.0	sense	0.5776118040369876	0.2383639401341481	0.1
ETV5	13	23	2.237072437646522	0.041495850414958506	chr13	50656285.0	50656399.0	antisense	0.3784742215433629	0.42196369561629976	0.1
CLOCK	13	23	2.2312834266500117	0.0178982101789821	chr13	50656285.0	50656399.0	antisense	0.20532294596627293	0.6875625131249041	0.1
ETV6	13	23	2.1839063727549206	0.0170982901709829	chr13	50656285.0	50656399.0	antisense	0.20286153202861534	0.6928002990070433	0.1
Ascl2	11	21	2.1682370503242647	0.013898610138986101	chr13	50656285.0	50656399.0	sense	0.1855239476052395	0.7316000232913054	0.1
Myog	11	22	2.1665772031374892	0.014298570142985701	chr13	50656285.0	50656399.0	sense	0.1855239476052395	0.7316000232913054	0.1
E2F1	14	26	2.163183819273302	0.031796820317968204	chr13	50656285.0	50656399.0	antisense	0.30560277305602773	0.5148427092669406	0.1
Mafb	15	27	2.1630996487009995	0.050594940505949405	chr13	50656285.0	50656399.0	sense	0.41029334566543346	0.3869055265724929	0.1
CENPB	8	23	2.131453985185275	0.04789521047895211	chr13	50656285.0	50656399.0	sense	0.40092926191251843	0.3969322455120955	0.1
EGR4	10	26	2.1301713769522497	0.049095090490950906	chr13	50656285.0	50656399.0	antisense	0.4044500311873575	0.39313512675901796	0.1
FIGLA	11	21	2.0871674330405647	0.043995600439956005	chr13	50656285.0	50656399.0	sense	0.3857514248575143	0.41369246109990654	0.1
ID4	11	21	2.0647630665980103	0.029597040295970403	chr13	50656285.0	50656399.0	sense	0.29540122910785843	0.5295877020042654	0.1
Mycn	11	19	2.060035539357561	0.007899210078992101	chr13	50656285.0	50656399.0	sense	0.14494757420809645	0.838789048448711	0.1
CREB3L1	9	23	2.051464601198743	0.020897910208979104	chr13	50656285.0	50656399.0	sense	0.2307662850736203	0.6368276412530682	0.1
POU6F2	17	27	2.051194762519566	0.028897110288971104	chr13	50656285.0	50656399.0	sense	0.29540122910785843	0.5295877020042654	0.1
HIC2	15	24	2.049144845576881	0.061193880611938804	chr13	50656285.0	50656399.0	antisense	0.4303809619038096	0.36614694812928616	0.1
Twist2	11	21	2.045071413457825	0.025597440255974404	chr13	50656285.0	50656399.0	sense	0.2711239080173615	0.566832184145069	0.1
TBX2	15	26	2.035665755888201	0.07329267073292671	chr13	50656285.0	50656399.0	sense	0.4334396105843961	0.3630714024943785	0.1
Pax2	14	22	2.002914673028059	0.1434856514348565	chr13	50656285.0	50656399.0	sense	0.6054394560543945	0.21792927979779161	0.1
NKX2-8	12	21	1.9911843888290655	0.05399460053994601	chr13	50656285.0	50656399.0	sense	0.41210584823870555	0.3849912223116726	0.1
TBX5	14	22	1.9419450805148772	0.062193780621937804	chr13	50656285.0	50656399.0	sense	0.4303809619038096	0.36614694812928616	0.1
REL	12	22	1.9314143054928024	0.05499450054994501	chr13	50656285.0	50656399.0	antisense	0.4136542867452386	0.3833624706714162	0.1
THAP1	15	24	1.9309133811827413	0.1688831116888311	chr13	50656285.0	50656399.0	antisense	0.6640176891401769	0.177820351063246	0.1
ZEB1	13	22	1.92411761981861	0.012698730126987301	chr13	50656285.0	50656399.0	antisense	0.17812543070017323	0.7492740725394429	0.1
MTF1	11	25	1.879271433959609	0.015398460153984602	chr13	50656285.0	50656399.0	antisense	0.1949219712175124	0.7101392053116773	0.1
Atoh1	11	21	1.86733744762379	0.0453954604539546	chr13	50656285.0	50656399.0	sense	0.3862335077967613	0.41315005158206797	0.1
Arnt	13	19	1.8631764470847845	0.008099190080991902	chr13	50656285.0	50656399.0	sense	0.14494757420809645	0.838789048448711	0.1
HOXB3	12	22	1.8616395283208975	0.1857814218578142	chr13	50656285.0	50656399.0	antisense	0.7037996930233983	0.1525509269271887	0.1
MZF1(var.2)	14	24	1.8510893731784488	0.06989301069893011	chr13	50656285.0	50656399.0	sense	0.4334396105843961	0.3630714024943785	0.1
ISL2	12	20	1.842051072908295	0.097990200979902	chr13	50656285.0	50656399.0	antisense	0.5588671902040565	0.25269138605700353	0.1
ZIC3	7	22	1.8321653751406677	0.030496950304969503	chr13	50656285.0	50656399.0	sense	0.2986399473260221	0.524852099682408	0.1
BHLHE41	11	21	1.831719011071939	0.014098590140985901	chr13	50656285.0	50656399.0	antisense	0.1855239476052395	0.7316000232913054	0.1
NFIX	17	26	1.8221068140150396	0.14008599140085992	chr13	50656285.0	50656399.0	sense	0.6054394560543945	0.21792927979779161	0.1
TBP	9	24	1.8003649773522858	0.19838016198380162	chr13	50656285.0	50656399.0	sense	0.7406804774068048	0.13036910217739614	0.1
GSC	12	22	1.7909382054147571	0.10538946105389461	chr13	50656285.0	50656399.0	sense	0.5621081456210815	0.2501801212136354	0.1
Bhlha15	12	20	1.7903374353826722	0.023797620237976203	chr13	50656285.0	50656399.0	antisense	0.25731176882311774	0.58954034974748	0.1
FEV	13	23	1.772471504101975	0.056194380561943806	chr13	50656285.0	50656399.0	antisense	0.4136966585031638	0.38331798695920866	0.1
SPIC	12	26	1.7701999929838796	0.11628837116288371	chr13	50656285.0	50656399.0	sense	0.5750130344108446	0.2403223105998566	0.1
MLXIPL	11	21	1.7680241407468138	0.0420957904209579	chr13	50656285.0	50656399.0	sense	0.3784742215433629	0.42196369561629976	0.1
NKX2-3	11	21	1.7585422145419498	0.07039296070392961	chr13	50656285.0	50656399.0	sense	0.4334396105843961	0.3630714024943785	0.1
ETV3	13	23	1.7574855875316755	0.0734926507349265	chr13	50656285.0	50656399.0	antisense	0.4334396105843961	0.3630714024943785	0.1
Tcf12	11	22	1.7557237812182482	0.04459554044595541	chr13	50656285.0	50656399.0	sense	0.3857514248575143	0.41369246109990654	0.1
Gabpa	11	22	1.745590928398662	0.052594740525947405	chr13	50656285.0	50656399.0	antisense	0.41210584823870555	0.3849912223116726	0.1
OLIG3	11	21	1.7148488364673489	0.0725927407259274	chr13	50656285.0	50656399.0	sense	0.4334396105843961	0.3630714024943785	0.1
POU3F1	14	26	1.7117445426446531	0.10478952104789521	chr13	50656285.0	50656399.0	antisense	0.5621081456210815	0.2501801212136354	0.1
Arid5a	7	21	1.708612394596034	0.23847615238476152	chr13	50656285.0	50656399.0	antisense	0.7916437655597498	0.10147020408705651	0.1
RUNX1	9	20	1.7035493368088828	0.127987201279872	chr13	50656285.0	50656399.0	antisense	0.5776118040369876	0.2383639401341481	0.1
MIXL1	12	22	1.697555014126982	0.27317268273172685	chr13	50656285.0	50656399.0	sense	0.8149514657472801	0.08886825480085726	0.1
POU2F2	8	21	1.6893897024355262	0.053394660533946606	chr13	50656285.0	50656399.0	antisense	0.41210584823870555	0.3849912223116726	0.1
ERG	13	23	1.6681516843628874	0.06569343065693431	chr13	50656285.0	50656399.0	antisense	0.4334396105843961	0.3630714024943785	0.1
EN2	11	21	1.6504429349034846	0.1822817718228177	chr13	50656285.0	50656399.0	antisense	0.7037996930233983	0.1525509269271887	0.1
HSF4	12	25	1.6333587534298926	0.10878912108789121	chr13	50656285.0	50656399.0	antisense	0.5621081456210815	0.2501801212136354	0.1
ETV4	13	23	1.6236247421294583	0.10518948105189481	chr13	50656285.0	50656399.0	antisense	0.5621081456210815	0.2501801212136354	0.1
DBP	14	26	1.617194751878123	0.0683931606839316	chr13	50656285.0	50656399.0	sense	0.4334396105843961	0.3630714024943785	0.1
POU1F1	7	21	1.6162330921572978	0.10058994100589941	chr13	50656285.0	50656399.0	sense	0.5613567675490515	0.2507610372624314	0.1
ETS1	13	23	1.6142814241043852	0.0683931606839316	chr13	50656285.0	50656399.0	antisense	0.4334396105843961	0.3630714024943785	0.1
ETV1	13	23	1.5948494209949577	0.12018798120187982	chr13	50656285.0	50656399.0	antisense	0.5750130344108446	0.2403223105998566	0.1
