motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
CENPB	1	16	1.2279014470186482	9.999000099990002e-05	chr16	86543137.0	86543251.0	antisense	0.018798120187981205	1.7258855780131828	0.05
ZBTB7B	1	13	0.7347766853221324	0.0038996100389961006	chr16	86543137.0	86543251.0	antisense	0.3665633436656335	0.43585096665066475	0.05
SRY	1	10	0.5808418495358652	0.0263973602639736	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
ZBTB7A	2	14	0.5761318907951508	0.029797020297970205	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
Hes1	1	11	0.5472076531571032	0.25837416258374163	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
THAP1	9	18	0.49313767879310155	0.1628837116288371	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
HSF4	1	14	0.48421236560069325	0.055194480551944806	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
Gmeb1	2	19	0.4656242509459412	0.48735126487351266	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
ZNF263	2	23	0.4336287111758304	0.22797720227977203	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
Tcfl5	1	11	0.4249962156156896	0.36196380361963804	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
HSF2	1	14	0.4146052423264424	0.04889511048895111	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
IRF1	1	22	0.40397541045803925	0.1536846315368463	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
Zfx	2	16	0.4022262962913833	0.17748225177482252	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
HNF4G	2	17	0.4011249017534707	0.17148285171482852	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
MTF1	1	15	0.3980846050691865	0.03799620037996201	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
HSF1	1	14	0.3956353783083151	0.0438956104389561	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
MAFG	1	22	0.36667568296906533	0.23817618238176183	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
NRF1	9	20	0.35845075204353494	0.11588841115888411	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
FOXA1	1	16	0.34457461370835957	0.2685731426857314	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
CTCF	2	21	0.3425264577968905	0.23067693230676933	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
ZBTB33	1	16	0.34045320856272615	0.2440755924407559	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
MZF1(var.2)	7	17	0.3226357972292035	0.28387161283871615	chr16	86543137.0	86543251.0	antisense	0.9899639249558191	0.004380631137885411	0.05
EGR1	6	20	0.30433244573494944	0.31116888311168883	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
TCF3	8	18	0.3025935004138784	0.23297670232976703	chr16	86543137.0	86543251.0	sense	0.9899639249558191	0.004380631137885411	0.05
