motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP3	2	13	3.1311182602959904	0.0065993400659934	chr16	86543231.0	86543345.0	antisense	0.4892939277500821	0.31043017390079297	0.15
KLF5	3	13	3.0818135040189185	0.0012998700129987	chr16	86543231.0	86543345.0	antisense	0.42380761923807625	0.3728312397835347	0.15
SP1	2	13	3.0621015365588455	0.0027997200279972004	chr16	86543231.0	86543345.0	antisense	0.42380761923807625	0.3728312397835347	0.15
KLF16	2	13	2.7526416457487985	0.004899510048995101	chr16	86543231.0	86543345.0	antisense	0.42380761923807625	0.3728312397835347	0.15
ZNF740	1	11	2.5863304121256054	0.026997300269973004	chr16	86543231.0	86543345.0	antisense	0.5439344954393449	0.2644533980631019	0.15
ZNF263	2	23	2.4235309953419604	0.1723827617238276	chr16	86543231.0	86543345.0	sense	0.8561575941171315	0.06744628677619535	0.15
SP8	1	13	2.3466563895631696	0.0193980601939806	chr16	86543231.0	86543345.0	antisense	0.5439344954393449	0.2644533980631019	0.15
THAP1	1	10	2.332067451862835	0.017298270172982702	chr16	86543231.0	86543345.0	antisense	0.5439344954393449	0.2644533980631019	0.15
Klf4	3	13	2.3057085826031782	0.010698930106989302	chr16	86543231.0	86543345.0	sense	0.5439344954393449	0.2644533980631019	0.15
SP2	3	18	2.06702200743173	0.1710828917108289	chr16	86543231.0	86543345.0	antisense	0.8561575941171315	0.06744628677619535	0.15
E2F6	4	15	2.0151297497612406	0.026497350264973504	chr16	86543231.0	86543345.0	sense	0.5439344954393449	0.2644533980631019	0.15
EGR1	5	19	1.9821967740159259	0.19258074192580743	chr16	86543231.0	86543345.0	antisense	0.8561575941171315	0.06744628677619535	0.15
E2F4	4	15	1.9723373148649432	0.025797420257974202	chr16	86543231.0	86543345.0	sense	0.5439344954393449	0.2644533980631019	0.15
MZF1	2	8	1.932877060168415	0.0040995900409959	chr16	86543231.0	86543345.0	sense	0.42380761923807625	0.3728312397835347	0.15
RREB1	3	23	1.8388535408747406	0.18018198180181982	chr16	86543231.0	86543345.0	antisense	0.8561575941171315	0.06744628677619535	0.15
RARA::RXRA	3	20	1.8026772121223582	0.0044995500449955	chr16	86543231.0	86543345.0	sense	0.42380761923807625	0.3728312397835347	0.15
Klf1	3	14	1.7223859587866404	0.027997200279972004	chr16	86543231.0	86543345.0	antisense	0.5439344954393449	0.2644533980631019	0.15
PLAG1	3	17	1.7202022910989099	0.05449455054494551	chr16	86543231.0	86543345.0	sense	0.7395010498950104	0.13106120508387586	0.15
Zfx	2	16	1.6740072343751138	0.023797620237976203	chr16	86543231.0	86543345.0	sense	0.5439344954393449	0.2644533980631019	0.15
Hes1	3	13	1.66576949477582	0.13588641135886412	chr16	86543231.0	86543345.0	antisense	0.8561575941171315	0.06744628677619535	0.15
HINFP	1	13	1.5707227882398342	0.012798720127987202	chr16	86543231.0	86543345.0	antisense	0.5439344954393449	0.2644533980631019	0.15
Gmeb1	3	20	1.5315023906509566	0.1476852314768523	chr16	86543231.0	86543345.0	sense	0.8561575941171315	0.06744628677619535	0.15
TBX5	2	10	1.5126175123446144	0.024397560243975602	chr16	86543231.0	86543345.0	sense	0.5439344954393449	0.2644533980631019	0.15
KLF14	1	15	1.4496751699995543	0.10258974102589741	chr16	86543231.0	86543345.0	antisense	0.8561575941171315	0.06744628677619535	0.15
PAX5	3	22	1.4467587305464342	0.0744925507449255	chr16	86543231.0	86543345.0	sense	0.7732326767323267	0.11168980101613084	0.15
HIC2	1	10	1.4045224405831906	0.06469353064693531	chr16	86543231.0	86543345.0	antisense	0.7395010498950104	0.13106120508387586	0.15
Pax2	1	9	1.3997859036789486	0.0026997300269973002	chr16	86543231.0	86543345.0	antisense	0.42380761923807625	0.3728312397835347	0.15
Nr1h3::Rxra	1	20	1.3896422858466246	0.032596740325967405	chr16	86543231.0	86543345.0	antisense	0.5541026542507039	0.25640976948695876	0.15
SREBF1	1	11	1.3187431561590863	0.031996800319968	chr16	86543231.0	86543345.0	antisense	0.5541026542507039	0.25640976948695876	0.15
SREBF2	1	11	1.2978297276078934	0.014598540145985401	chr16	86543231.0	86543345.0	sense	0.5439344954393449	0.2644533980631019	0.15
EOMES	3	16	1.2905970488299336	0.0448955104489551	chr16	86543231.0	86543345.0	sense	0.6853167624414028	0.1641086454673368	0.15
GSC	3	13	1.2704193229675385	0.0173982601739826	chr16	86543231.0	86543345.0	antisense	0.5439344954393449	0.2644533980631019	0.15
Pparg::Rxra	1	16	1.2667840724477963	0.18688131186881313	chr16	86543231.0	86543345.0	sense	0.8561575941171315	0.06744628677619535	0.15
NR2C2	2	17	1.2595480422869945	0.10028997100289971	chr16	86543231.0	86543345.0	sense	0.8561575941171315	0.06744628677619535	0.15
ZBTB7A	1	13	1.2468521133768184	0.0861913808619138	chr16	86543231.0	86543345.0	antisense	0.8360830583608305	0.07775057663275482	0.15
