motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ZNF263	30	51	3.244314108115054	0.015898410158984102	chr11	65187510.0	65187624.0	sense	0.34380311968803123	0.4636901868195593	0.05
KLF5	31	41	3.204764567336617	9.999000099990002e-05	chr11	65187510.0	65187624.0	antisense	0.017298270172982702	1.7619973241480673	0.05
SP1	30	41	3.1412740267550294	0.0004999500049995	chr11	65187510.0	65187624.0	antisense	0.06486851314868514	1.1879660564203482	0.05
Klf4	31	41	3.1411196032003694	9.999000099990002e-05	chr11	65187510.0	65187624.0	sense	0.017298270172982702	1.7619973241480673	0.05
SP2	26	41	2.90319816108179	0.014498550144985502	chr11	65187510.0	65187624.0	antisense	0.34380311968803123	0.4636901868195593	0.05
SP3	30	41	2.846332378641421	0.0059994000599940004	chr11	65187510.0	65187624.0	antisense	0.28778031287780315	0.5409389195758628	0.05
ZBTB7C	27	39	2.8177925512500788	0.0016998300169983002	chr11	65187510.0	65187624.0	antisense	0.14703529647035296	0.8325783984337746	0.05
EGR1	27	41	2.7928612970742948	0.014798520147985201	chr11	65187510.0	65187624.0	antisense	0.34380311968803123	0.4636901868195593	0.05
Klf1	31	42	2.501956397076809	0.0008999100089991	chr11	65187510.0	65187624.0	antisense	0.09341065893410659	1.0296035643250987	0.05
RREB1	31	51	2.3801550785880132	0.0115988401159884	chr11	65187510.0	65187624.0	antisense	0.33443322334433223	0.4756905853047924	0.05
CTCF	24	43	2.211967953414544	0.008899110088991101	chr11	65187510.0	65187624.0	sense	0.3079092090790921	0.5115773218391733	0.05
ZNF354C	34	40	2.2036890552966417	9.999000099990002e-05	chr11	65187510.0	65187624.0	antisense	0.017298270172982702	1.7619973241480673	0.05
EGR4	24	40	2.1915372004418834	0.021997800219978002	chr11	65187510.0	65187624.0	antisense	0.36326367363263673	0.439778029414148	0.05
ZIC4	24	39	2.14100606699314	0.024397560243975602	chr11	65187510.0	65187624.0	antisense	0.36326367363263673	0.439778029414148	0.05
Hes1	29	39	2.053263315123492	0.11298870112988701	chr11	65187510.0	65187624.0	antisense	0.48806854851704906	0.31151917768580256	0.05
Gmeb1	31	48	2.0390448542544566	0.17538246175382463	chr11	65187510.0	65187624.0	sense	0.566125205661252	0.24708750853900505	0.05
TFAP2A(var.2)	27	39	2.0093190602010433	0.0192980701929807	chr11	65187510.0	65187624.0	antisense	0.3453689113847236	0.46171675831958714	0.05
Rhox11	34	51	1.9423204760348918	0.049295070492950704	chr11	65187510.0	65187624.0	sense	0.4360234079684815	0.36049019495467305	0.05
SP8	29	41	1.9223741066328126	0.045295470452954706	chr11	65187510.0	65187624.0	antisense	0.4360234079684815	0.36049019495467305	0.05
KLF16	30	41	1.9190027833968188	0.036396360363963605	chr11	65187510.0	65187624.0	antisense	0.4197713561977136	0.37698719955469245	0.05
