filename	seq_name
enhancer_NEAT1__pX__tile2.chr11:65187510-65187624.minus.av.log2FC.K562.txt	enhancer_NEAT1__pX__tile2__minus
enhancer_MALAT1__pX__tile1.chr11:65265115-65265229.minus.av.log2FC.K562.txt	enhancer_MALAT1__pX__tile1__minus
enhancer_MALAT1__pX__tile2.chr11:65265021-65265135.minus.av.log2FC.K562.txt	enhancer_MALAT1__pX__tile2__minus
enhancer_ZFAS1__pX__tile1.chr20:47893191-47893305.minus.av.log2FC.K562.txt	enhancer_ZFAS1__pX__tile1__minus
enhancer_ZFAS1__pX__tile2.chr20:47893097-47893211.minus.av.log2FC.K562.txt	enhancer_ZFAS1__pX__tile2__minus
enhancer_TERC__pX__tile1.chr3:169482173-169482287.minus.av.log2FC.K562.txt	enhancer_TERC__pX__tile1__minus
enhancer_TERC__pX__tile2.chr3:169482079-169482193.minus.av.log2FC.K562.txt	enhancer_TERC__pX__tile2__minus
enhancer_LINC_PINT__pX__tile1.chr7:130796183-130796297.minus.av.log2FC.K562.txt	enhancer_LINC_PINT__pX__tile1__minus
enhancer_LINC_PINT__pX__tile2.chr7:130796089-130796203.minus.av.log2FC.K562.txt	enhancer_LINC_PINT__pX__tile2__minus
FALEC__p1__tile2.chr1:150488170-150488284.plus.av.log2FC.K562.txt	FALEC__p1__tile2__plus
GAS5__p1__tile1.chr1:173837186-173837300.minus.av.log2FC.K562.txt	GAS5__p1__tile1__minus
GAS5__p1__tile2.chr1:173837092-173837206.minus.av.log2FC.K562.txt	GAS5__p1__tile2__minus
ZBTB37__p1__tile1.chr1:173837344-173837458.plus.av.log2FC.K562.txt	ZBTB37__p1__tile1__plus
ZBTB37__p1__tile2.chr1:173837438-173837552.plus.av.log2FC.K562.txt	ZBTB37__p1__tile2__plus
LINC00467__p1__tile1.chr1:211555971-211556085.plus.av.log2FC.K562.txt	LINC00467__p1__tile1__plus
LINC00467__p1__tile2.chr1:211556065-211556179.plus.av.log2FC.K562.txt	LINC00467__p1__tile2__plus
NEAT1__p1__tile1.chr11:65190095-65190209.plus.av.log2FC.K562.txt	NEAT1__p1__tile1__plus
NEAT1__p1__tile2.chr11:65190189-65190303.plus.av.log2FC.K562.txt	NEAT1__p1__tile2__plus
MALAT1__p4__tile1.chr11:65265059-65265173.plus.av.log2FC.K562.txt	MALAT1__p4__tile1__plus
