motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Mecom	64	78	2.4298628205217443	0.00019998000199980003	chr1	173837092.0	173837206.0	antisense	0.035396460353964605	1.451040165251075	0.05
Myb	62	72	1.9965632872942751	0.0010998900109989002	chr1	173837092.0	173837206.0	sense	0.09734026597340267	1.011707471420812	0.05
NR3C1	57	74	1.9768210978390819	0.001999800019998	chr1	173837092.0	173837206.0	antisense	0.11798820117988201	0.9281614199707373	0.05
TBP	64	79	1.9145439764620853	0.0514948505149485	chr1	173837092.0	173837206.0	antisense	0.3645835416458354	0.43820294054590264	0.05
NFATC1	65	75	1.8604303481501663	0.028997100289971003	chr1	173837092.0	173837206.0	sense	0.2969369729693697	0.5273357230612115	0.05
JUN	60	73	1.8007912140842426	0.0034996500349965005	chr1	173837092.0	173837206.0	sense	0.15485951404859516	0.8100621078927428	0.05
RUNX1	64	75	1.7983916077959556	0.015798420157984203	chr1	173837092.0	173837206.0	sense	0.28478061284780615	0.5454895797114744	0.05
GATA2	60	74	1.7858884848512389	0.014898510148985102	chr1	173837092.0	173837206.0	sense	0.28478061284780615	0.5454895797114744	0.05
NFATC3	65	75	1.7852213029648691	0.025597440255974404	chr1	173837092.0	173837206.0	sense	0.2853839616038396	0.5445704376077507	0.05
JUND(var.2)	59	74	1.7723899152358007	0.0108989101089891	chr1	173837092.0	173837206.0	sense	0.2755867270415815	0.5597417029886893	0.05
YY1	57	69	1.748482887271165	0.0066993300669933005	chr1	173837092.0	173837206.0	antisense	0.20647935206479354	0.6851233712844428	0.05
MAFF	58	76	1.7428331199168365	0.06409359064093591	chr1	173837092.0	173837206.0	antisense	0.3795287137952871	0.42075536134660724	0.05
THAP1	66	75	1.710744607834832	0.0638936106389361	chr1	173837092.0	173837206.0	sense	0.3795287137952871	0.42075536134660724	0.05
Bcl6	64	78	1.7057970288645432	0.022997700229977002	chr1	173837092.0	173837206.0	antisense	0.2853839616038396	0.5445704376077507	0.05
NFAT5	65	75	1.6438941745619804	0.0230976902309769	chr1	173837092.0	173837206.0	sense	0.2853839616038396	0.5445704376077507	0.05
Mitf	67	77	1.6036492084851295	0.0700929907009299	chr1	173837092.0	173837206.0	sense	0.3795287137952871	0.42075536134660724	0.05
Sox6	63	73	1.48729068200807	0.006999300069993001	chr1	173837092.0	173837206.0	sense	0.20647935206479354	0.6851233712844428	0.05
MYBL2	56	71	1.4597706734403084	0.0301969803019698	chr1	173837092.0	173837206.0	sense	0.2969369729693697	0.5273357230612115	0.05
Gata1	63	74	1.4257323259889219	0.017698230176982303	chr1	173837092.0	173837206.0	sense	0.28478061284780615	0.5454895797114744	0.05
GRHL1	61	73	1.4095764131632498	0.025797420257974202	chr1	173837092.0	173837206.0	antisense	0.2853839616038396	0.5445704376077507	0.05
Gfi1b	64	75	1.4022436050810851	0.017598240175982403	chr1	173837092.0	173837206.0	antisense	0.28478061284780615	0.5454895797114744	0.05
Hes1	57	67	1.3769753200279475	0.42075792420757924	chr1	173837092.0	173837206.0	sense	0.6304631831898778	0.20034026960529847	0.05
Nfe2l2	64	79	1.362949322942812	0.055894410558944105	chr1	173837092.0	173837206.0	antisense	0.3795287137952871	0.42075536134660724	0.05
IRF7	65	79	1.3553427659407178	0.0206979302069793	chr1	173837092.0	173837206.0	antisense	0.2853839616038396	0.5445704376077507	0.05
ZNF263	57	78	1.3376584801065619	0.1483851614838516	chr1	173837092.0	173837206.0	antisense	0.5053827950538279	0.2963795470230864	0.05
MAFK	60	75	1.3372351269312663	0.09429057094290572	chr1	173837092.0	173837206.0	antisense	0.407059294070593	0.3903423248974631	0.05
ETV5	60	70	1.336977542886022	0.07579242075792421	chr1	173837092.0	173837206.0	antisense	0.3795287137952871	0.42075536134660724	0.05
CENPB	64	79	1.3356974846772731	0.0978902109789021	chr1	173837092.0	173837206.0	antisense	0.4125373176968017	0.38453675950981875	0.05
Gmeb1	55	72	1.3234363036909802	0.6602339766023397	chr1	173837092.0	173837206.0	sense	0.7474965879208257	0.12639078541228094	0.05
HOXB2	62	72	1.3155070065851189	0.18888111188881113	chr1	173837092.0	173837206.0	antisense	0.5586741325867414	0.25284143663144504	0.05
TEAD1	60	70	1.303286544325127	0.0771922807719228	chr1	173837092.0	173837206.0	sense	0.3795287137952871	0.42075536134660724	0.05
IRF2	60	78	1.2736486141776784	0.031996800319968	chr1	173837092.0	173837206.0	antisense	0.2980754556123335	0.525673783547979	0.05
ETV1	60	70	1.2704994833465315	0.06479352064793521	chr1	173837092.0	173837206.0	antisense	0.3795287137952871	0.42075536134660724	0.05
