SNP	unique_id	HepG2_ref_activ	HepG2_alt_activ	HepG2_effect_size	HepG2_padj	HepG2_sig_status	HepG2_downsampled_sig_status	K562_ref_activ	K562_alt_activ	K562_effect_size	K562_padj	K562_sig_status
rs4970820	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.1.0	2.432022198652762	2.3636942285541935	-0.06832797009856877	1.0	not sig	not sig	2.4643157902818826	2.4024135562436664	-0.06190223403821654	1.0	not sig
rs60844753	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.1.0	-0.513298668848596	-0.3103928815701605	0.20290578727843553				-0.4014216840091508	-0.19321686011144928	0.2082048238977014		
rs60844753	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.1.0	-0.962267695548929	-0.9783167616107332	-0.01604906606180424	1.0	not sig	not sig	-2.478923625886742	-2.7797463035624004	-0.3008226776756585		
rs115274951	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.1.0	2.9148073654452986	2.9915481927661376	0.07674082732083942	1.0	not sig	not sig	2.478906005185352	2.4553190324092373	-0.0235869727761151	1.0	not sig
rs1555794	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.1.0	-0.5524703403979219	-0.5407866369378401	0.011683703460081745	1.0	not sig	not sig	-1.6856738035424625	-1.057916645755757	0.6277571577867054		
rs1555795	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.2.0	-0.5524703403979219	-0.05635140741477445	0.4961189329831474	0.004627088235120013	sig	not sig	-1.6856738035424625	-1.3070151309459326	0.37865867259652997	1.0	not sig
rs73004198	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.3.0	-0.5524703403979219	-0.9183207585259864	-0.36585041812806457	1.0	not sig	not sig	-1.6856738035424625	-1.980815898106657	-0.29514209456419477		
rs1555794,rs1555795,rs73004198	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.3.1	-0.5524703403979219	-0.5630528774783718	-0.010582537080450094	1.0	not sig	not sig	-1.6856738035424625	-1.3338713707576466	0.35180243278481577		
rs3934789	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.1.0	0.5485763714726893	0.6750733184403405	0.12649694696765112	1.0	not sig	not sig	0.13715254233190124	0.8515065060835398	0.7143539637516386	1.0	not sig
rs12096448	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.1.0	1.1016650904296477	0.8799086799557733	-0.22175641047387462	1.0	not sig	not sig	0.599784928581944	0.663942408526949	0.0641574799450049	1.0	not sig
rs542065471	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.1.0	1.6663308982955496	1.5635634143639356	-0.10276748393161382	1.0	not sig	not sig	1.3866218576918976	1.062439580095774	-0.32418227759612356	1.0	not sig
rs681814	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:146989664..146989778,-__17.1.1.0	2.472229836192188	2.706791908278438	0.23456207208625027	0.024043565168132584	sig	not sig	2.6679347993509683	2.815676087216911	0.14774128786594248	1.0	not sig
rs73000031	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:151584446..151584560,+__20.1.1.0	0.6318334843876247	1.132682654600101	0.5008491702124761	2.625347021502628e-16	sig	sig	0.23088691292040253	0.5813920273183786	0.3505051143979761	1.0	not sig
rs3811414	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:151763230..151763344,+__21.1.1.0	-1.2371624254946603	-1.1809758209113477	0.05618660458331281				-2.8833481760581434	-2.23434789897322	0.6490002770849232		
