motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
YY1	78	90	10.786306823178107	9.999000099990002e-05	chrX	73164097.0	73164211.0	sense	0.051894810518948106	1.2848760694284047	0.1
YY2	80	91	6.786617739507286	0.00019998000199980003	chrX	73164097.0	73164211.0	antisense	0.051894810518948106	1.2848760694284047	0.1
THAP1	80	89	5.751669914761799	0.0029997000299970002	chrX	73164097.0	73164211.0	antisense	0.2298198751553416	0.638612415608389	0.1
Neurog1	77	87	5.342548477796855	0.007099290070992901	chrX	73164097.0	73164211.0	sense	0.44629537046295376	0.35037761818483704	0.1
CTCF	72	91	5.082103088876636	0.0014998500149985001	chrX	73164097.0	73164211.0	sense	0.2298198751553416	0.638612415608389	0.1
NEUROD2	77	87	4.692682288998286	0.001999800019998	chrX	73164097.0	73164211.0	antisense	0.2298198751553416	0.638612415608389	0.1
TBP	75	90	4.679113363555946	0.019198080191980802	chrX	73164097.0	73164211.0	sense	0.47516185881411854	0.32315842739420136	0.1
GSX1	76	86	4.594164764159608	0.037696230376962306	chrX	73164097.0	73164211.0	antisense	0.5463370329633704	0.26253936022761964	0.1
Hic1	80	89	4.448177628489058	0.0030996900309969004	chrX	73164097.0	73164211.0	antisense	0.2298198751553416	0.638612415608389	0.1
Arid5a	77	91	4.349250815933137	0.025197480251974803	chrX	73164097.0	73164211.0	sense	0.47516185881411854	0.32315842739420136	0.1
Hes1	80	90	4.288661178839539	0.10968903109689031	chrX	73164097.0	73164211.0	sense	0.6307558085393178	0.20013874143669236	0.1
NFIX	81	90	4.1394195574802675	0.011898810118988102	chrX	73164097.0	73164211.0	antisense	0.47516185881411854	0.32315842739420136	0.1
NFIC	82	88	4.079431739907964	0.0026997300269973002	chrX	73164097.0	73164211.0	sense	0.2298198751553416	0.638612415608389	0.1
HLTF	78	88	3.9516395508246065	0.021397860213978603	chrX	73164097.0	73164211.0	antisense	0.47516185881411854	0.32315842739420136	0.1
GSX2	76	86	3.702022894431905	0.11478852114788521	chrX	73164097.0	73164211.0	antisense	0.6307558085393178	0.20013874143669236	0.1
OLIG3	77	87	3.5352400223350102	0.008599140085991401	chrX	73164097.0	73164211.0	antisense	0.44629537046295376	0.35037761818483704	0.1
SP2	77	92	3.510095936771629	0.019098090190980903	chrX	73164097.0	73164211.0	antisense	0.47516185881411854	0.32315842739420136	0.1
Nr1h3::Rxra	73	92	3.4355676430027184	0.046295370462953706	chrX	73164097.0	73164211.0	sense	0.5860316407383652	0.23207893513018713	0.1
GATA2	73	87	3.432479246153317	0.017298270172982702	chrX	73164097.0	73164211.0	antisense	0.47516185881411854	0.32315842739420136	0.1
Arid3b	73	84	3.430435307954323	0.0287971202879712	chrX	73164097.0	73164211.0	antisense	0.47516185881411854	0.32315842739420136	0.1
RUNX3	82	92	3.423529218255269	0.013498650134986502	chrX	73164097.0	73164211.0	antisense	0.47516185881411854	0.32315842739420136	0.1
TAL1::TCF3	77	89	3.41669887534493	0.008099190080991902	chrX	73164097.0	73164211.0	antisense	0.44629537046295376	0.35037761818483704	0.1
