motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TFE3	74	84	1.675453019160897	0.00039996000399960006	chr9	21994716.0	21994830.0	sense	0.020757924207579246	1.6828160781004424	0.05
USF2	73	84	1.6339570709643276	9.999000099990002e-05	chr9	21994716.0	21994830.0	antisense	0.008649135086491351	2.0630273198120483	0.05
TFEB	74	84	1.5756318079156189	0.00019998000199980003	chr9	21994716.0	21994830.0	sense	0.01482708871969946	1.8289441137786804	0.05
Hes1	74	84	1.5700631049554703	0.0082991700829917	chr9	21994716.0	21994830.0	antisense	0.08973477652234776	1.0470392144279181	0.05
TFEC	74	84	1.562256874727387	0.00029997000299970003	chr9	21994716.0	21994830.0	sense	0.01946055394460554	1.7108448017006859	0.05
Tcfl5	74	84	1.5470089736463268	0.0029997000299970002	chr9	21994716.0	21994830.0	sense	0.050220784373175585	1.299116508543015	0.05
Mitf	75	85	1.5466508420165799	0.0011998800119988001	chr9	21994716.0	21994830.0	antisense	0.04108339166083392	1.3863337101871818	0.05
BHLHE41	74	84	1.5267066781737895	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.008649135086491351	2.0630273198120483	0.05
USF1	74	85	1.4709256731623943	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.008649135086491351	2.0630273198120483	0.05
Srebf1(var.2)	74	84	1.313936782214282	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.008649135086491351	2.0630273198120483	0.05
Hes2	70	83	1.3134895603664443	0.016998300169983	chr9	21994716.0	21994830.0	sense	0.12800719928007198	0.8927656044170911	0.05
BHLHE40	74	84	1.3127237168425345	0.00039996000399960006	chr9	21994716.0	21994830.0	antisense	0.020757924207579246	1.6828160781004424	0.05
Pax2	77	85	1.29672766800571	0.0037996200379962005	chr9	21994716.0	21994830.0	antisense	0.05800008234470671	1.2365713898538497	0.05
NRL	73	84	1.2877328999392674	0.007999200079992	chr9	21994716.0	21994830.0	sense	0.0894357372773361	1.0484889084854725	0.05
INSM1	73	85	1.2775482907672306	9.999000099990002e-05	chr9	21994716.0	21994830.0	antisense	0.008649135086491351	2.0630273198120483	0.05
SREBF2(var.2)	74	84	1.2721522373829357	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.008649135086491351	2.0630273198120483	0.05
Arntl	75	85	1.2262716927779136	0.0012998700129987	chr9	21994716.0	21994830.0	antisense	0.04108339166083392	1.3863337101871818	0.05
MEIS3	79	87	1.1521511780547193	0.0018998100189981002	chr9	21994716.0	21994830.0	sense	0.04108339166083392	1.3863337101871818	0.05
Gmeb1	71	88	1.1408923137174631	0.1014898510148985	chr9	21994716.0	21994830.0	sense	0.327162935880325	0.4852359032110228	0.05
TP73	71	89	1.134563569955126	0.0035996400359964	chr9	21994716.0	21994830.0	antisense	0.05800008234470671	1.2365713898538497	0.05
