motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
EGR1	3	17	0.9046847403175474	0.000999900009999	chr7	130794716.0	130794830.0	sense	0.20757924207579243	0.6828160781004424	0.15
Zfx	5	19	0.7942299729494482	0.0013998600139986002	chr7	130794716.0	130794830.0	sense	0.20757924207579243	0.6828160781004424	0.15
SP2	9	24	0.7822791229950377	0.006099390060993901	chr7	130794716.0	130794830.0	sense	0.25532246775322465	0.5929109666610446	0.15
KLF14	8	22	0.7103366591022229	0.0012998700129987	chr7	130794716.0	130794830.0	sense	0.20757924207579243	0.6828160781004424	0.15
ZNF263	2	23	0.7015183044171711	0.0217978202179782	chr7	130794716.0	130794830.0	antisense	0.2828267173282672	0.5484795671517624	0.15
ZBTB7C	8	20	0.6956554893576836	0.0046995300469953	chr7	130794716.0	130794830.0	sense	0.25532246775322465	0.5929109666610446	0.15
SP3	8	19	0.6841134608458651	0.014598540145985401	chr7	130794716.0	130794830.0	sense	0.2612635288195318	0.5829212115429239	0.15
SP1	9	20	0.6506072872422938	0.0044995500449955	chr7	130794716.0	130794830.0	sense	0.25532246775322465	0.5929109666610446	0.15
SP8	8	20	0.6439263979521249	0.007799220077992201	chr7	130794716.0	130794830.0	sense	0.25532246775322465	0.5929109666610446	0.15
THAP1	12	21	0.6426039135437657	0.0231976802319768	chr7	130794716.0	130794830.0	sense	0.2936486839120966	0.5321719412572407	0.15
KLF16	8	19	0.616699318415363	0.008799120087991202	chr7	130794716.0	130794830.0	sense	0.25532246775322465	0.5929109666610446	0.15
SP4	5	22	0.6009820730089794	0.0023997600239976003	chr7	130794716.0	130794830.0	sense	0.24909509049095094	0.6036348320528175	0.15
ZBTB7A	7	19	0.5949445638875527	0.0066993300669933005	chr7	130794716.0	130794830.0	sense	0.25532246775322465	0.5929109666610446	0.15
YY1	11	23	0.5843633827378266	0.0015998400159984002	chr7	130794716.0	130794830.0	antisense	0.20757924207579243	0.6828160781004424	0.15
