motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Nfe2l2	15	30	13.070399942638032	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
MAFG	11	32	10.040083484826786	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.0015665100156651004	2.8050668240608077	0.05
MAFF	16	34	9.515516890537196	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.0015665100156651004	2.8050668240608077	0.05
FOSL2	17	28	9.447294545486002	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
JUNB	17	28	9.419517127188243	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
JUN(var.2)	17	31	8.467375018631877	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
JUND	16	27	7.934644968498517	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.0015665100156651004	2.8050668240608077	0.05
FOSL1	16	27	7.274538661530565	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
MAFK	17	32	7.060729867655674	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.0015665100156651004	2.8050668240608077	0.05
NFE2	16	27	7.041378445241129	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
FOS	16	27	6.642449017677787	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.0015665100156651004	2.8050668240608077	0.05
JDP2	17	26	6.4806793886881096	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.0015665100156651004	2.8050668240608077	0.05
NRL	21	32	5.109208112546847	0.008599140085991401	chr5	90610184.0	90610298.0	antisense	0.08177182281771822	1.0873963210585456	0.05
PPARG	16	36	4.803673325609497	0.0018998100189981002	chr5	90610184.0	90610298.0	antisense	0.025511734540831634	1.5932600127385919	0.05
ATF4	15	28	4.67608977101723	0.0010998900109989002	chr5	90610184.0	90610298.0	antisense	0.015906101697522556	1.7984362451617946	0.05
LBX2	16	26	4.423098855364319	0.024197580241975804	chr5	90610184.0	90610298.0	antisense	0.19778891676049787	0.7037980480503444	0.05
HMBOX1	17	27	4.098727975578247	0.0081991800819918	chr5	90610184.0	90610298.0	sense	0.08177182281771822	1.0873963210585456	0.05
XBP1	13	27	4.084370655334413	0.0034996500349965005	chr5	90610184.0	90610298.0	sense	0.0438622804386228	1.3579087927185884	0.05
FOXA1	17	32	4.014284896716191	0.0086991300869913	chr5	90610184.0	90610298.0	antisense	0.08177182281771822	1.0873963210585456	0.05
Hes1	21	31	3.989506122317652	0.15278472152784722	chr5	90610184.0	90610298.0	sense	0.5206407930635508	0.2834618072057783	0.05
ZNF263	13	34	3.813452484184067	0.025397460253974602	chr5	90610184.0	90610298.0	antisense	0.19894677198946772	0.7012631031048507	0.05
Foxa2	16	28	3.7233432638204693	0.004899510048995101	chr5	90610184.0	90610298.0	antisense	0.05756924307569244	1.239809480640594	0.05
RUNX1	15	26	3.513016338588607	0.023897610238976102	chr5	90610184.0	90610298.0	sense	0.19778891676049787	0.7037980480503444	0.05
Gmeb1	13	30	3.3838345455534493	0.45785421457854214	chr5	90610184.0	90610298.0	sense	0.7263906942639069	0.13882972816500322	0.05
GATA2	22	36	3.133070427310047	0.0365963403659634	chr5	90610184.0	90610298.0	sense	0.2548189625481896	0.5937682567777596	0.05
Foxj3	16	33	2.9668617114670366	0.1050894910508949	chr5	90610184.0	90610298.0	sense	0.45950960459509604	0.33770540663030146	0.05
ZEB1	14	23	2.895512986027306	0.008399160083991601	chr5	90610184.0	90610298.0	antisense	0.08177182281771822	1.0873963210585456	0.05
REL	18	28	2.879298875793239	0.044995500449955005	chr5	90610184.0	90610298.0	sense	0.29169496843419107	0.5350710621367952	0.05
Arid5a	21	35	2.867173000484006	0.21647835216478353	chr5	90610184.0	90610298.0	sense	0.5608952618251688	0.25111822868699774	0.05
USF1	20	31	2.794952471098395	0.029097090290970903	chr5	90610184.0	90610298.0	antisense	0.21881011898810118	0.6599325976993131	0.05
TBX2	14	25	2.7619863586581	0.10998900109989002	chr5	90610184.0	90610298.0	sense	0.45950960459509604	0.33770540663030146	0.05
ETV5	21	31	2.757597232241674	0.0806919308069193	chr5	90610184.0	90610298.0	antisense	0.42556855425568557	0.37103047004049344	0.05
TFAP4	12	22	2.6604389828343282	0.0170982901709829	chr5	90610184.0	90610298.0	sense	0.15307040724498977	0.8151087623549482	0.05
DBP	15	27	2.4912005252573746	0.04789521047895211	chr5	90610184.0	90610298.0	antisense	0.3001433190014332	0.522671319318282	0.05
HLTF	24	34	2.490551458700689	0.19588041195880412	chr5	90610184.0	90610298.0	sense	0.5608952618251688	0.25111822868699774	0.05
MIXL1	13	23	2.4709777200292975	0.33096690330966905	chr5	90610184.0	90610298.0	antisense	0.6619338066193381	0.17918543783716273	0.05
HLF	15	27	2.45964195576853	0.0953904609539046	chr5	90610184.0	90610298.0	antisense	0.45950960459509604	0.33770540663030146	0.05
Tcf12	12	23	2.3960860449175456	0.05039496050394961	chr5	90610184.0	90610298.0	sense	0.305621050798146	0.5148167354019302	0.05
SREBF2	21	31	2.3935427285822475	0.0395960403959604	chr5	90610184.0	90610298.0	antisense	0.265859128372877	0.5753484234298897	0.05
SREBF1	12	22	2.3593971406332193	0.030896910308969103	chr5	90610184.0	90610298.0	antisense	0.22340842838793043	0.6509004465591661	0.05
ETV4	21	31	2.351750004555734	0.098990100989901	chr5	90610184.0	90610298.0	antisense	0.45950960459509604	0.33770540663030146	0.05
Bcl6	12	26	2.267370454254922	0.17738226177382263	chr5	90610184.0	90610298.0	antisense	0.5608952618251688	0.25111822868699774	0.05
ZBTB18	23	36	2.256804765816423	0.07269273072692731	chr5	90610184.0	90610298.0	sense	0.41412828414128283	0.38286510703203247	0.05
JUND(var.2)	15	30	2.1702270956271565	0.14328567143285673	chr5	90610184.0	90610298.0	antisense	0.4988464116551308	0.3020331474388069	0.05
TBP	21	36	2.129097050011859	0.47095290470952905	chr5	90610184.0	90610298.0	antisense	0.7317284800445576	0.13565004120073668	0.05
POU2F1	11	23	2.128947523867708	0.20907909209079092	chr5	90610184.0	90610298.0	sense	0.5608952618251688	0.25111822868699774	0.05
